"County","Race","2019","2018","2017","2016","2015"
"Nolan","Black",NA,NA,NA,0,NA
"Nolan","Other",NA,0,NA,0,NA
"Nolan","White",NA,0,NA,NA,NA
"Ochiltree","Hispanic",NA,NA,0,0,NA
"Ochiltree","Black",NA,0,0,0,NA
"Ochiltree","Other",NA,0,0,0,NA
"Ochiltree","White",NA,0,NA,NA,NA
"Panola","Hispanic",NA,0,NA,NA,0
"Panola","Black",NA,0,0,NA,NA
"Panola","Other",NA,0,NA,0,0
"Panola","White",NA,NA,0,NA,NA
"Pecos","Hispanic",NA,NA,NA,NA,NA
"Pecos","Black",NA,0,NA,0,0
"Pecos","Other",NA,0,NA,0,0
"Pecos","White",NA,0,NA,0,0
"Red River","Hispanic",NA,0,0,0,NA
"Red River","Black",NA,0,NA,0,0
"Red River","Other",NA,0,0,0,0
"Red River","White",NA,NA,NA,NA,NA
"Sabine","Hispanic",NA,0,NA,0,0
"Sabine","Black",NA,0,NA,0,0
"Sabine","Other",NA,0,NA,0,0
"Sabine","White",NA,NA,NA,NA,NA
"Somervell","Hispanic",NA,NA,0,NA,0
"Somervell","Black",NA,0,0,0,0
"Somervell","Other",NA,0,0,0,0
"Somervell","White",NA,0,NA,0,NA
"Trinity","Hispanic",NA,0,NA,0,NA
"Trinity","Black",NA,NA,NA,NA,NA
"Trinity","Other",NA,0,NA,0,NA
"Trinity","White",NA,0,NA,0,NA
"Ward","Hispanic",NA,0,0,NA,0
"Ward","Black",NA,0,0,0,0
"Ward","Other",NA,0,0,0,0
"Ward","White",NA,NA,NA,0,NA
"Young","Hispanic",NA,0,NA,0,0
"Young","Black",NA,0,NA,0,0
"Young","Other",NA,0,NA,0,0
"Young","White",NA,NA,NA,NA,NA
"Brewster","Hispanic",NA,NA,NA,NA,NA
"Brewster","Black",NA,NA,0,NA,NA
"Brewster","Other",NA,NA,0,NA,NA
"Brewster","White",NA,NA,0,NA,NA
"Burnet","Hispanic",NA,NA,0,0,NA
"Burnet","Black",NA,NA,0,0,NA
"Burnet","Other",NA,NA,0,0,NA
"Burnet","White",NA,NA,NA,NA,NA
"Callahan","Hispanic",NA,NA,0,NA,NA
"Callahan","Black",NA,NA,0,0,NA
"Callahan","Other",NA,NA,0,0,NA
"Callahan","White",NA,NA,NA,NA,NA
"Cochran","Hispanic",NA,NA,NA,0,NA
"Cochran","Black",NA,NA,0,0,NA
"Cochran","Other",NA,NA,0,0,NA
"Cochran","White",NA,NA,0,NA,NA
"Eastland","Hispanic",NA,NA,0,0,0
"Eastland","Black",NA,NA,0,0,NA
"Eastland","Other",NA,NA,0,0,0
"Eastland","White",NA,NA,NA,NA,NA
"Gaines","Hispanic",NA,NA,0,NA,0
"Gaines","Black",NA,NA,0,NA,0
"Gaines","Other",NA,NA,0,NA,0
"Gaines","White",NA,NA,NA,NA,NA
"Hansford","Hispanic",NA,NA,NA,NA,NA
"Hansford","Black",NA,NA,0,NA,NA
"Hansford","Other",NA,NA,0,NA,NA
"Hansford","White",NA,NA,0,NA,NA
"Leon","Hispanic",NA,NA,0,NA,0
"Leon","Black",NA,NA,0,NA,0
"Leon","Other",NA,NA,0,NA,0
"Leon","White",NA,NA,NA,NA,NA
"Lipscomb","Hispanic",NA,NA,0,NA,NA
"Lipscomb","Black",NA,NA,0,0,NA
"Lipscomb","Other",NA,NA,0,0,NA
"Lipscomb","White",NA,NA,NA,0,NA
"Live Oak","Hispanic",NA,NA,NA,NA,NA
"Live Oak","Black",NA,NA,0,NA,NA
"Live Oak","Other",NA,NA,0,NA,NA
"Live Oak","White",NA,NA,0,NA,NA
"Menard","Hispanic",NA,NA,NA,NA,NA
"Menard","Black",NA,NA,0,NA,NA
"Menard","Other",NA,NA,0,NA,NA
"Menard","White",NA,NA,0,NA,NA
"Newton","Hispanic",NA,NA,0,NA,0
"Newton","Black",NA,NA,0,NA,0
"Newton","Other",NA,NA,0,NA,0
"Newton","White",NA,NA,NA,NA,NA
"Rains","Hispanic",NA,NA,0,NA,0
"Rains","Black",NA,NA,0,NA,0
"Rains","Other",NA,NA,0,NA,0
"Rains","White",NA,NA,NA,NA,NA
"Reeves","Hispanic",NA,NA,0,NA,NA
"Reeves","Black",NA,NA,0,0,0
"Reeves","Other",NA,NA,0,0,0
"Reeves","White",NA,NA,NA,NA,0
"Sherman","Hispanic",NA,NA,0,NA,NA
"Sherman","Black",NA,NA,0,NA,NA
"Sherman","Other",NA,NA,0,NA,NA
"Sherman","White",NA,NA,NA,NA,NA
"Stephens","Hispanic",NA,NA,NA,0,NA
"Stephens","Black",NA,NA,0,0,0
"Stephens","Other",NA,NA,0,0,0
"Stephens","White",NA,NA,NA,NA,NA
"Terrell","Hispanic",NA,NA,NA,NA,NA
"Terrell","Black",NA,NA,0,NA,NA
"Terrell","Other",NA,NA,0,NA,NA
"Terrell","White",NA,NA,0,NA,NA
"Archer","Hispanic",NA,NA,NA,0,NA
"Archer","Black",NA,NA,NA,0,0
"Archer","Other",NA,NA,NA,0,0
"Archer","White",NA,NA,NA,NA,NA
"Bailey","Hispanic",NA,NA,NA,NA,0
"Bailey","Black",NA,NA,NA,0,0
"Bailey","Other",NA,NA,NA,0,0
"Bailey","White",NA,NA,NA,0,NA
"Camp","Hispanic",NA,NA,NA,0,0
"Camp","Black",NA,NA,NA,0,NA
"Camp","Other",NA,NA,NA,0,0
"Camp","White",NA,NA,NA,NA,0
"Lynn","Hispanic",NA,NA,NA,NA,NA
"Lynn","Black",NA,NA,NA,0,NA
"Lynn","Other",NA,NA,NA,0,NA
"Lynn","White",NA,NA,NA,0,NA
"Marion","Hispanic",NA,NA,NA,0,NA
"Marion","Black",NA,NA,NA,0,NA
"Marion","Other",NA,NA,NA,0,NA
"Marion","White",NA,NA,NA,NA,NA
"Mcculloch","Hispanic",NA,NA,NA,0,NA
"Mcculloch","Black",NA,NA,NA,0,0
"Mcculloch","Other",NA,NA,NA,0,0
"Mcculloch","White",NA,NA,NA,NA,0
"Refugio","Hispanic",NA,NA,NA,NA,NA
"Refugio","Black",NA,NA,NA,0,NA
"Refugio","Other",NA,NA,NA,0,NA
"Refugio","White",NA,NA,NA,0,NA
"Scurry","Hispanic",NA,NA,NA,NA,NA
"Scurry","Black",NA,NA,NA,0,0
"Scurry","Other",NA,NA,NA,0,0
"Scurry","White",NA,NA,NA,0,0
"Armstrong","Hispanic",NA,NA,NA,NA,0
"Armstrong","Black",NA,NA,NA,NA,0
"Armstrong","Other",NA,NA,NA,NA,0
"Armstrong","White",NA,NA,NA,NA,NA
"Carson","Hispanic",NA,NA,NA,NA,0
"Carson","Black",NA,NA,NA,NA,0
"Carson","Other",NA,NA,NA,NA,0
"Carson","White",NA,NA,NA,NA,NA
"Crane","Hispanic",NA,NA,NA,NA,0
"Crane","Black",NA,NA,NA,NA,0
"Crane","Other",NA,NA,NA,NA,0
"Crane","White",NA,NA,NA,NA,NA
"Hemphill","Hispanic",NA,NA,NA,NA,0
"Hemphill","Black",NA,NA,NA,NA,0
"Hemphill","Other",NA,NA,NA,NA,0
"Hemphill","White",NA,NA,NA,NA,NA
