"County","2015","2016","2017","2018","2019","2020"
"Limestone",NA,NA,NA,NA,NA,NA
"Live Oak",NA,NA,NA,NA,NA,NA
"Llano",NA,NA,NA,NA,NA,NA
"Loving",NA,NA,NA,NA,NA,NA
"Lubbock",23,27,18,27,29,37
"Lynn",NA,NA,NA,NA,NA,NA
"Madison",NA,NA,NA,NA,NA,NA
"Marion",NA,NA,NA,NA,NA,NA
"Martin",NA,NA,NA,NA,NA,NA
"Mason",NA,NA,NA,NA,NA,NA
"Matagorda",NA,NA,NA,NA,NA,NA
"Maverick",NA,NA,NA,NA,NA,NA
"McCulloch",NA,NA,NA,NA,NA,NA
"McLennan",15,20,18,24,29,26
"McMullen",NA,NA,NA,NA,NA,NA
"Medina",NA,NA,NA,NA,NA,NA
"Menard",NA,NA,NA,NA,NA,NA
"Midland",12,NA,NA,27,18,17
"Milam",NA,NA,NA,NA,NA,NA
"Mills",NA,NA,NA,NA,NA,NA
"Mitchell",NA,NA,NA,NA,NA,NA
"Montague",NA,NA,NA,NA,NA,NA
"Montgomery",53,56,50,51,52,61
"Moore",NA,NA,NA,NA,NA,NA
"Morris",NA,NA,NA,NA,NA,NA
"Motley",NA,NA,NA,NA,NA,NA
"Nacogdoches",NA,NA,NA,11,NA,NA
"Navarro",10,NA,NA,NA,NA,NA
"Newton",NA,NA,NA,NA,NA,NA
"Nolan",NA,NA,NA,NA,NA,NA
"Nueces",30,21,32,32,38,28
"Ochiltree",NA,NA,NA,NA,NA,NA
"Oldham",NA,NA,NA,NA,NA,NA
"Orange",NA,10,10,11,NA,NA
"Palo Pinto",NA,NA,NA,NA,NA,NA
"Panola",NA,NA,NA,NA,NA,NA
"Parker",23,17,10,16,16,24
"Parmer",NA,NA,NA,NA,NA,NA
"Pecos",NA,NA,NA,NA,NA,NA
"Polk",NA,NA,NA,12,10,NA
"Potter",10,18,11,15,17,17
"Presidio",NA,NA,NA,NA,NA,NA
"Rains",NA,NA,NA,NA,NA,NA
"Randall",20,11,18,19,21,17
"Real",NA,NA,NA,NA,NA,NA
"Red River",NA,NA,NA,NA,NA,NA
"Reeves",NA,NA,NA,NA,NA,NA
"Refugio",NA,NA,NA,NA,NA,NA
"Roberts",NA,NA,NA,NA,NA,NA
"Robertson",NA,NA,NA,NA,NA,NA
"Rockwall",NA,NA,11,11,12,NA
"Runnels",NA,NA,NA,NA,NA,NA
"Rusk",NA,NA,NA,NA,NA,12
"Sabine",NA,NA,NA,NA,NA,NA
"San Augustine",NA,NA,NA,NA,NA,NA
"San Jacinto",NA,NA,NA,NA,NA,NA
"San Patricio",13,NA,NA,NA,NA,NA
"San Saba",NA,NA,NA,NA,NA,NA
"Schleicher",NA,NA,NA,NA,NA,NA
"Scurry",NA,NA,NA,NA,NA,NA
"Shackelford",NA,NA,NA,NA,NA,NA
"Shelby",NA,NA,NA,NA,NA,NA
"Sherman",NA,NA,NA,NA,NA,NA
"Smith",29,23,35,31,36,29
"Somervell",NA,NA,NA,NA,NA,NA
"Starr",NA,NA,NA,NA,NA,NA
"Stephens",NA,NA,NA,NA,NA,NA
"Stonewall",NA,NA,NA,NA,NA,NA
"Sutton",NA,NA,NA,NA,NA,NA
"Swisher",NA,NA,NA,NA,NA,NA
"Tarrant",125,154,144,174,151,161
"Taylor",13,23,19,11,12,22
"Terry",NA,NA,NA,NA,NA,NA
"Throckmorton",NA,NA,NA,NA,NA,NA
"Titus",NA,NA,NA,NA,NA,NA
"Tom Green",NA,NA,17,13,15,12
"Travis",69,56,80,66,87,77
"Trinity",NA,NA,NA,NA,NA,NA
"Tyler",NA,NA,NA,NA,NA,NA
"Upshur",NA,NA,NA,NA,NA,NA
"Upton",NA,NA,NA,NA,NA,NA
"Uvalde",NA,NA,NA,NA,NA,NA
"Val Verde",NA,NA,NA,NA,NA,NA
"Van Zandt",NA,NA,NA,NA,NA,NA
"Victoria",NA,12,NA,NA,15,15
"Walker",12,NA,NA,NA,NA,NA
"Waller",NA,NA,NA,NA,NA,NA
"Ward",NA,NA,NA,NA,NA,NA
"Washington",NA,NA,NA,NA,NA,NA
"Webb",NA,NA,NA,NA,NA,11
"Wharton",NA,NA,NA,NA,NA,NA
"Wheeler",NA,NA,NA,NA,NA,NA
"Wichita",10,16,15,14,NA,NA
"Wilbarger",NA,NA,NA,NA,NA,NA
"Willacy",NA,NA,NA,NA,NA,NA
"Williamson",37,58,42,47,48,35
"Wilson",NA,NA,NA,NA,NA,NA
"Winkler",NA,NA,NA,NA,NA,NA
"Wise",NA,NA,NA,NA,NA,11
"Wood",NA,NA,12,NA,NA,NA
"Yoakum",NA,NA,NA,NA,NA,NA
"Young",NA,NA,NA,NA,NA,NA
"Zapata",NA,NA,NA,NA,NA,NA
"Zavala",NA,NA,NA,NA,NA,NA
