"County.Name","YearText","Birth_Defects_Per_10k"
"Goliad",2017,882.35
"Gonzales",2017,395.68
"Gray",2017,685.92
"Grayson",2017,502.23
"Gregg",2017,413.58
"Grimes",2017,298.01
"Guadalupe",2017,507.9
"Hale",2017,674.42
"Hall",2017,0
"Hamilton",2017,833.33
"Hansford",2017,NA
"Hardeman",2017,NA
"Hardin",2017,501.43
"Harris",2017,590.84
"Harrison",2017,408.43
"Hartley",2017,NA
"Haskell",2017,NA
"Hays",2017,403.57
"Hemphill",2017,NA
"Henderson",2017,424.8
"Hidalgo",2017,660.9
"Hill",2017,554.09
"Hockley",2017,528.05
"Hood",2017,572.34
"Hopkins",2017,878.05
"Houston",2017,296.61
"Howard",2017,471.91
"Hudspeth",2017,NA
"Hunt",2017,644.1
"Hutchinson",2017,471.01
"Irion",2017,NA
"Jack",2017,NA
"Jackson",2017,486.73
"Jasper",2017,379.46
"Jeff Davis",2017,NA
"Jefferson",2017,446.43
"Jim Hogg",2017,NA
"Jim Wells",2017,903.73
"Johnson",2017,562.65
"Jones",2017,625
"Karnes",2017,659.34
"Kaufman",2017,705.74
"Kendall",2017,796.92
"Kenedy",2017,NA
"Kent",2017,NA
"Kerr",2017,733.94
"Kimble",2017,NA
"King",2017,NA
"Kinney",2017,NA
"Kleberg",2017,525
"Knox",2017,0
"La Salle",2017,769.23
"Lamar",2017,369.18
"Lamb",2017,481.93
"Lampasas",2017,426.54
"Lavaca",2017,570.18
"Lee",2017,315.79
"Leon",2017,422.54
"Liberty",2017,599.82
"Limestone",2017,722.02
"Lipscomb",2017,0
"Live Oak",2017,962.96
"Llano",2017,875
"Loving",2017,NA
"Lubbock",2017,707.88
"Lynn",2017,789.47
"Madison",2017,434.78
"Marion",2017,NA
"Martin",2017,864.2
"Mason",2017,NA
"Matagorda",2017,396.4
"Maverick",2017,372.44
"McCulloch",2017,NA
"McLennan",2017,761.63
"McMullen",2017,NA
"Medina",2017,591.13
"Menard",2017,NA
"Midland",2017,718.84
"Milam",2017,454.55
"Mills",2017,NA
"Mitchell",2017,727.27
"Montague",2017,379.15
"Montgomery",2017,658.36
"Moore",2017,491.8
"Morris",2017,653.59
"Motley",2017,NA
"Nacogdoches",2017,353.98
"Navarro",2017,544.41
"Newton",2017,NA
"Nolan",2017,421.05
"Nueces",2017,856.57
"Ochiltree",2017,476.19
"Oldham",2017,NA
"Orange",2017,476.19
"Palo Pinto",2017,666.67
"Panola",2017,340.91
"Parker",2017,493.99
"Parmer",2017,NA
"Pecos",2017,505.62
"Polk",2017,391.75
"Potter",2017,619.16
"Presidio",2017,NA
"Rains",2017,NA
"Randall",2017,612.9
"Reagan",2017,NA
"Real",2017,NA
"Red River",2017,NA
"Reeves",2017,434.78
"Refugio",2017,823.53
"Roberts",2017,NA
"Robertson",2017,422.54
"Rockwall",2017,766.9
"Runnels",2017,NA
"Rusk",2017,527.21
"Sabine",2017,NA
"San Augustine",2017,NA
"San Jacinto",2017,405.41
"San Patricio",2017,730.16
"San Saba",2017,NA
"Schleicher",2017,NA
"Scurry",2017,483.09
"Shackelford",2017,0
"Shelby",2017,591.72
"Sherman",2017,NA
"Smith",2017,620.08
"Somervell",2017,NA
"Starr",2017,639.87
"Stephens",2017,679.61
"Sterling",2017,NA
"Stonewall",2017,NA
"Sutton",2017,NA
"Swisher",2017,NA
"Tarrant",2017,634.06
"Taylor",2017,434.99
"Terrell",2017,NA
"Terry",2017,729.17
"Throckmorton",2017,NA
"Titus",2017,505.84
"Tom Green",2017,722.58
"Travis",2017,597.22
"Trinity",2017,NA
"Tyler",2017,515.46
"Upshur",2017,506.33
"Upton",2017,NA
"Uvalde",2017,531.65
"Val Verde",2017,366.49
"Van Zandt",2017,706.44
"Victoria",2017,558.33
"Walker",2017,558.29
"Waller",2017,479.76
"Ward",2017,NA
"Washington",2017,391.64
"Webb",2017,523.4
"Wharton",2017,400
"Wheeler",2017,NA
"Wichita",2017,400.99
"Wilbarger",2017,748.3
"Willacy",2017,411.99
"Williamson",2017,573.12
"Wilson",2017,587.12
"Winkler",2017,NA
"Wise",2017,431.94
"Wood",2017,687.96
"Yoakum",2017,425.53
"Young",2017,386.47
"Zapata",2017,711.3
"Zavala",2017,457.52
