"County.Name","YearText","Birth_Defects_Per_10k"
"Zapata",2013,328.47
"Zavala",2013,343.14
"Anderson",2014,437.83
"Andrews",2014,377.91
"Angelina",2014,391.82
"Aransas",2014,547.45
"Archer",2014,NA
"Armstrong",2014,NA
"Atascosa",2014,481.59
"Austin",2014,552.49
"Bailey",2014,733.94
"Bandera",2014,569.62
"Bastrop",2014,490.38
"Baylor",2014,0
"Bee",2014,480.77
"Bell",2014,685.22
"Bexar",2014,574.07
"Blanco",2014,NA
"Borden",2014,NA
"Bosque",2014,363.64
"Bowie",2014,410.85
"Brazoria",2014,554.28
"Brazos",2014,544.94
"Brewster",2014,582.52
"Briscoe",2014,NA
"Brooks",2014,NA
"Brown",2014,470.59
"Burleson",2014,333.33
"Burnet",2014,660.79
"Caldwell",2014,565.3
"Calhoun",2014,561.06
"Callahan",2014,740.74
"Cameron",2014,449.47
"Camp",2014,319.63
"Carson",2014,NA
"Cass",2014,554.02
"Castro",2014,NA
"Chambers",2014,736.84
"Cherokee",2014,512.82
"Childress",2014,731.71
"Clay",2014,NA
"Cochran",2014,0
"Coke",2014,NA
"Coleman",2014,NA
"Collin",2014,607.18
"Collingsworth",2014,NA
"Colorado",2014,559.7
"Comal",2014,505.54
"Comanche",2014,652.17
"Concho",2014,NA
"Cooke",2014,623.89
"Coryell",2014,555.03
"Cottle",2014,NA
"Crane",2014,NA
"Crockett",2014,NA
"Crosby",2014,NA
"Culberson",2014,NA
"Dallam",2014,NA
"Dallas",2014,692.65
"Dawson",2014,361.45
"Deaf Smith",2014,590.06
"Delta",2014,NA
"Denton",2014,548.46
"DeWitt",2014,553.63
"Dickens",2014,NA
"Dimmit",2014,NA
"Donley",2014,NA
"Duval",2014,673.58
"Eastland",2014,368.66
"Ector",2014,591.58
"Edwards",2014,NA
"El Paso",2014,475.56
"Ellis",2014,691.91
"Erath",2014,453.69
"Falls",2014,917.43
"Fannin",2014,640.24
"Fayette",2014,329.22
"Fisher",2014,0
"Floyd",2014,NA
"Foard",2014,NA
"Fort Bend",2014,520.37
"Franklin",2014,NA
"Freestone",2014,392.16
"Frio",2014,NA
"Gaines",2014,443.35
"Galveston",2014,612.44
"Garza",2014,952.38
"Gillespie",2014,312.5
"Glasscock",2014,NA
"Goliad",2014,0
"Gonzales",2014,468.75
"Gray",2014,323.53
"Grayson",2014,448.72
"Gregg",2014,448.98
"Grimes",2014,473.37
"Guadalupe",2014,554.62
"Hale",2014,323.28
"Hall",2014,NA
"Hamilton",2014,NA
"Hansford",2014,NA
"Hardeman",2014,NA
"Hardin",2014,447.98
"Harris",2014,542
"Harrison",2014,458.28
"Hartley",2014,0
"Haskell",2014,NA
"Hays",2014,456.47
"Hemphill",2014,NA
"Henderson",2014,586.91
"Hidalgo",2014,605.21
"Hill",2014,677.97
"Hockley",2014,483.87
"Hood",2014,554.59
"Hopkins",2014,488.32
"Houston",2014,434.78
"Howard",2014,754.35
"Hudspeth",2014,NA
"Hunt",2014,638.11
"Hutchinson",2014,456.03
"Irion",2014,NA
"Jack",2014,NA
"Jackson",2014,396.04
"Jasper",2014,303.8
"Jeff Davis",2014,NA
"Jefferson",2014,478.94
"Jim Hogg",2014,752.69
"Jim Wells",2014,602.74
"Johnson",2014,678.22
"Jones",2014,810.81
"Karnes",2014,314.14
"Kaufman",2014,688.07
"Kendall",2014,332.41
"Kenedy",2014,NA
"Kent",2014,NA
"Kerr",2014,532.11
"Kimble",2014,NA
"King",2014,NA
"Kinney",2014,0
"Kleberg",2014,375.78
"Knox",2014,NA
"La Salle",2014,NA
"Lamar",2014,332.41
"Lamb",2014,703.52
"Lampasas",2014,483.87
"Lavaca",2014,537.19
"Lee",2014,535.71
"Leon",2014,634.15
"Liberty",2014,573.01
"Limestone",2014,380.12
"Lipscomb",2014,0
"Live Oak",2014,NA
"Llano",2014,559.01
"Loving",2014,NA
"Lubbock",2014,693.89
"Lynn",2014,NA
"Madison",2014,602.41
"Marion",2014,919.54
"Martin",2014,588.24
"Mason",2014,NA
"Matagorda",2014,524.48
"Maverick",2014,392.83
"McCulloch",2014,NA
"McLennan",2014,646.94
"McMullen",2014,NA
"Medina",2014,448.5
"Menard",2014,NA
"Midland",2014,537.86
"Milam",2014,813.25
"Mills",2014,NA
"Mitchell",2014,NA
"Montague",2014,409.09
"Montgomery",2014,579.71
"Moore",2014,522.57
"Morris",2014,419.58
"Motley",2014,NA
"Nacogdoches",2014,507.9
