"County","FIPS.Code","Population","Overall.Social.Vulnerability","Socioeconomic.Social.Vulnerability","Household.Characteristics.Social.Vulnerability","Race.Ethnicity.Social.Vulnerability","Housing.Transport.Social.Vulnerability","Median.Age","Percent.Age.0.to.17","Percent.Age.Over.65","Percent.Asian","Percent.Black","Percent.Hispanic","Percent.White","Percent.Households_Limited_English","Percent.Veteran","NCHS.Rural.Urban.Code","Percent.Households.No.Computer.Device","Percent.Households.Smarphone.Only","Percent.Households.No.Internet","Percent.Commute.Less.than.15min","Percent.Commute.15min.to.29min","Percent.Commute.30min.to.59min","Percent.Commute.60min.or.More","Percent.Housing.Units.No.Vehicle","Alc.Establisments.per.100k","Percent.Days.Good.Air.Quality","Toxic.Sites.Insufficient.Data","Toxic.Sites.Under.Control","Toxic.Sites.Not.Under.Control","GINI.Index","Percent.Unemployed","Median.Household.Income","Median.Household.Income.Asian","Median.Household.Income.Black","Median.Household.Income.Hispanic","Median.Household.Income.White","Percent.in.Poverty","Percent.in.Poverty.Asian","Percent.in.Poverty.Black","Percent.in.Poverty.Hispanic","Percent.in.Poverty.White","Percent.Households.Food.Stamps","Median.Home.Value","Median.Rent","Percent.Less.than.Highschool","Percent.Highschool.Graduate","Percent.with.Associate.Degree","Percent.with.Bachelor.Degree","Percent.with.Graduate.Degree","Percent.Medicaid","Percent.Medicare.Only","Percent.Health.Insurance.Other","Percent.No.Health.Insurance","Obesity.Rate","Diabetes.Rate.Year","Diabetes.Rate.LocationName","Diabetes.Rate.Data_Value","Binge.Drinking.Rate","Smoking.Rate.Year","Smoking.Rate.LocationName","Smoking.Rate.Data_Value","Depression.Rate.Year","Depression.Rate.LocationName","Depression.Rate.Data_Value","Anxiety.Disorders.Rate.Medicare","Bipolar.Disorder.Rate.Medicare","Depressive.Disorders.Rate.Medicare","Personality.Disorders.Rate.Medicare","Opioid.Overuse.Disorder.Rate.Medicare","Birth.Defects.per.10k","Deaths.from.Injury.per.100k","Deaths.from.Transport.Accident.per.100k","Deaths.from.Suicide.per.100k","Deaths.from.Assault.per.100k","Maternal.Deaths.per.100k","Opioid.Overdose.Deaths.per.100k","Drug.Poisoning.Deaths.per.100k","Traffic.Fatalities.per.100k","Traffic.Fatalities.BAC.08.per.100k","Opioid.Dispensing.Rate.per.100","PCPs.per.100k","LCDCs.per.100k","LPCs.per.100k","LCSWs.per.100k","LBSWs.per.100k","LMSWs.per.100k","Dentists.per.1k","Nurse.Practitioners.per.1k","Physician.Assistants.per.1k","Mental.Health.Providers.per.100k","Percent.Clinicians.Accpeting.Medicaid","Dentist.Shortage.Code","Mental.Healthcare.Shortage.Code","Primary.Care.Shortage.Code","Urgent.Care.Orgs.per.1k","Health.Centers.per.1k","Community.Mental.Health.Centers.per.1k","Rural.Health.Clinics.per.1k","Home.Health.Agencies.per.1k","Hospices.per.1k","Nursing.Facilities.per.1k","Nursing.Facility.Beds.per.1k","Skilled.Nursing.Facilities.per.1k","Skilled.Nursing.Facility.Beds.per.1k","Nursing.Home.Occupancy.Rate","Percent.Nursing.Homes.For.Profit","Percent.Nursing.Homes.Chain","Average.Rehospitalization.Rate","Average.Successful.Discharge.Rate","Percent.Hospitals.Private.For.Profit","Percent.Hospitals.Non.Profit","Percent.Hospitals.Government","Syringe.Exchange.Programs.per.1k","Substance.Abuse.Facilities.per.1k","Substance.Abuse.Facilities.Accepting.Medicare.per.1k","Mental.Health.Facilities.per.1k","Mental.Health.Facilities.Accepting.Medicare.per.1k","Median.Distance.to.Urgent.Care","Median.Distance.to.Emergency.Department","Median.Distance.to.Medical.Surgical.ICU","Median.Distance.to.Trauma.Center","Median.Distance.to.Pediatric.ICU","Median.Distance.to.Obstetrics.Department","Median.Distance.to.Health.Clinic","Median.Distance.to.Alcohol.Drug.Incare"
"Deaf Smith","48117","18617","0.7273","0.668","0.747","0.9091","0.502","31.8","31.14","12.86","0.71","0.97","73.53","81.07","12.69","4.12","5","10.89","24.95","18.82","56.65","29.08","10.68","3.59","4.2","","","0","0","0","0.39","3.6","49790","127727","56250","46206","61442","13.83","19.7","21.77","14.64","11.3","15.78","91800","766","27.28","37.77","22.95","8.53","3.48","19.02","6.24","3.13","22.08","39","2020","DeWitt","15.7","16.3","2020","DeWitt","20.2","2020","DeWitt","21.2","11","1","13","0","2","457.32","54.69","23.59","15.01","","","","","16.114304","5.371435","4.9","33.1","0","33.1","5.5","44.1","27.6","0.33","0.93","0.16","5.39","96.88","2","1","1","0","0.05","0","0.16","0.11","0.05","0.38","18.37","0","0","54.32","50","0","0.16","0.59","47.06","41.18","11.76","0","0","0","0.0547","0.0547","36.36","0.93","0.93","0.93","37.2","0.93","0.64","29.55"
"Delta","48119","5277","0.0949","0.1897","0.2925","0.083","0.1146","41.7","23.12","20.16","0.36","7.35","8.28","85.39","0","9.19","6","15.1","17.76","26.19","25.29","27.14","33.85","13.72","5.91","","","0","0","0","0.45","5.5","49868","","28036","91167","50112","16.18","0","40.1","3.74","15.86","9.78","107600","625","12.59","33.87","31.93","13.98","7.63","10.81","8.71","9.89","9.74","39.7","2020","Deaf Smith","15.1","16.8","2020","Deaf Smith","18","2020","Deaf Smith","20.7","19","3","19","1","1","","67.82","","","","","","","","","4.2","0","0","55.9","0","0","18.6","0","0.56","0","56.27","100","1","2","1","0","0","0","0.19","0","0.19","0.76","26.15","0","0","","","","0.19","0.25","80","20","0","0","0","0","0","0","20.4","14.95","16.21","16.21","16.21","16.21","0.96","27.85"
"Denton","48121","861690","0.0751","0.0751","0.0395","0.502","0.1621","35.8","24.66","10.27","9.17","9.88","19.36","71.36","3.31","6.41","2","2.17","4.66","4.59","20.09","34.24","36.84","8.83","2.7","6.84701","75.68","0","0","0","0.43","6.5","90354","119911","64692","69798","99573","7.44","6.37","11.36","10.67","6.01","4.47","297100","1269","7.23","17.61","29.4","30.78","14.98","5.9","3.76","3.52","10.81","36.6","2020","Delta","14","16.6","2020","Delta","19.5","2020","Delta","22.7","17","3","18","1","2","551.46","25.58","8.26","11.56","2.02","0.35","4.34","8.47","6.382806","2.32102","30.7","55.2","16.3","104.8","23.5","9.9","35.9","0.58","0.64","0.25","118.57","93.46","2","2","2","0.01","0","0","0.01","0.02","0.01","0.02","1.04","0","0.03","66.93","80","70","0.18","0.44","61.83","34.35","3.82","0","0.0011","0.0065","0.0098","0.0076","2.3","2.22","2.36","6.39","12.13","2.65","5.19","6.41"
"DeWitt","48123","20217","0.585","0.581","0.1739","0.6087","0.7747","41.7","22.57","19.58","0.05","8.89","35.67","64.85","2.18","6.7","6","19.39","12.31","26.72","43.6","23.09","23.58","9.73","6.43","","","0","0","0","0.5","6","53815","","27500","55179","58042","17.9","33.33","23.6","24.28","13.27","12.06","121900","813","17.18","39.97","30.63","9.15","3.06","14.31","6.65","6.81","14.09","30.6","2020","Denton","9.2","20.1","2020","Denton","13.3","2020","Denton","19.6","18","3","13","0","5","432.9","52.16","17.71","20.67","","","","11.81","19.785329","4.946332","34.8","","","","","","","0.25","0.45","0.2","14.88","100","2","2","2","0","0","0","0.15","0.05","0.05","0.45","25.72","0","0","63.14","50","100","0.09","0.43","63.16","26.32","10.53","0","0","0","0","0","26.38","2.31","2.96","2.96","74.97","2.96","2.06","24.81"
"Dickens","48125","2182","0.6008","0.751","0.664","0.336","0.2964","45.2","20.76","24.24","0.55","2.66","29.51","87.99","1.28","5.67","6","10.34","11.5","14.75","54.92","12.5","12.12","20.45","8.25","","","0","0","0","0.5","6.3","41141","","2499","25833","49934","15.28","8.33","67.24","23.45","10.06","11.15","53100","550","19.84","33.33","28.22","11.4","7.21","17.55","6.92","5.53","17.84","37.2","2020","Dickens","15","16.7","2020","Dickens","19.3","2020","Dickens","21","16","1","13","1","0","","109.16","","","","","","","45.829514","0","","0","46","0","0","46","0","0","0.47","0","45.23","0","1","1","1","0","0","0","0.92","0","0","0.46","17.87","0","0","","","","","","0","100","0","0","0","0","0","0","56.73","23.76","57.34","45.45","59.49","45.15","5.93","57.34"
"Dimmit","48127","10232","1","0.9763","0.996","0.9565","0.9684","36.5","28.46","17.26","1.6","0.09","87.35","70.19","8.37","4.52","6","23.51","11.86","28.35","55.91","29.33","7.98","6.78","11.58","","","0","0","0","0.49","6.4","25996","","","23455","53927","42.6","0","100","45.58","26","23.13","61300","694","32.24","30.53","22.38","8.08","6.76","32.07","8.14","0.84","21.34","45","2020","Dimmit","22.2","13.9","2020","Dimmit","20.7","2020","Dimmit","20.5","14","3","15","0","1","","58.17","27.15","","","","","","58.639562","29.319781","6","59.6","0","17","0","8.5","0","0.3","0.5","0.3","29.63","100","1","1","1","0","0.2","0","0","0.2","0","0.1","9.77","0","0","50","100","100","0.3","0","62.5","37.5","0","0","0","0.1008","0","0","49.18","1.33","38.83","1.33","102.13","1.33","1.45","40.64"
"Donley","48129","3317","0.0514","0.0751","0.0158","0.083","0.2846","41.6","20.11","23.03","0.3","6.24","11.28","89.66","0.74","9.06","6","11.16","21.35","30.88","55.83","19.49","12.16","12.52","2.9","","","0","0","0","0.42","4.4","51875","","29643","44250","55061","12.45","0","14.37","20.59","11.43","3.42","70200","691","10.52","29.47","41.93","12.83","5.26","7.91","7.6","3.51","15.39","35.2","2020","Donley","13.3","16.7","2020","Donley","16.9","2020","Donley","22.4","16","3","15","1","3","0","108.3","","","","","","","60.295448","30.147724","0.4","29.3","0","0","0","58.7","0","0.3","0.6","0.6","","100","1","1","1","0","0","0","0.6","0.3","0","0.3","15.98","0","0","","","","","","0","66.67","33.33","0","0","0","0.3023","0.3023","59.92","22.45","42.97","38.52","62.57","42.97","4.1","60.29"
"Duval","48131","11194","0.9368","0.7984","0.9802","0.9605","0.8063","36.4","25.66","17.32","0","1.37","89.25","92.28","8.57","4.63","6","23.1","21.93","33.72","46.17","14.42","19.2","20.22","12.44","","","0","0","0","0.43","12.1","45349","","","41702","58953","19.12","","0","20.78","1.63","27.56","61800","685","29.55","30.4","30.89","5.35","3.81","24.64","4.56","5.23","19.39","41.1","2020","Duval","18.3","15.9","2020","Duval","15.9","2020","Duval","18.7","24","3","20","1","3","547.95","57.01","","21.38","","","","17.82","8.933357","0","3.1","0","67.8","25.4","0","8.5","8.5","0","0.36","0.09","8.96","100","1","1","1","0","0.18","0","0.54","0.45","0","0.27","17.06","0","0","70","0","100","0.13","0.85","54.55","45.45","0","0","0","0","0","0","54.04","27.07","27.07","27.07","64.03","27.07","3.7","58.54"
"Eastland","48133","18289","0.502","0.4506","0.6008","0.1067","0.6719","41.5","21.15","22.35","0.34","2.33","16.68","92.16","2.72","9.79","6","16.45","10.18","25.45","49.04","27.88","15.55","7.53","6.3","","","0","0","0","0.51","6.7","41559","","","34792","42150","18.74","20.45","25.84","33.91","15.84","14.01","82600","653","14.8","31.05","34.91","12.04","7.21","15.39","5.36","8.28","16.71","37.5","2020","Eastland","14.4","16.3","2020","Eastland","19.9","2020","Eastland","23.2","15","2","15","1","1","528.85","69.75","21.8","19.62","","","","","54.677675","27.338838","14.5","49.4","43.9","65.9","0","38.5","22","0.27","0.38","0.16","27.23","97.37","1","1","1","0.05","0.05","0","0.44","0.22","0","0.38","29.47","0.05","0.33","50.41","75","75","0.32","0.27","52.17","30.43","17.39","0","0","0.0544","0","0","20.03","1.97","26.68","9.64","54.16","34.32","1.14","16.08"
"Ector","48135","162067","0.83","0.83","0.6838","0.8696","0.7352","30.6","30.3","9.58","1.14","4.8","61.61","73.39","8.84","4.76","4","7.81","18","13.79","33.76","38.08","18.55","9.61","4.84","11.723546","89.88","0","3","1","0.45","11","63096","92727","47329","58139","73010","13","7.66","15.7","15.21","8.76","11.2","147900","1073","23.45","30.15","29.79","11.72","4.89","12.99","3.34","3.68","20.16","39.4","2020","Ector","11.9","19.2","2020","Ector","17.4","2020","Ector","20.8","16","3","17","1","1","654.31","62.05","34.3","15.42","7.28","","6.66","15.54","31.468467","17.893834","41.2","55.7","15.7","34.6","4.9","12.4","4.3","0.44","0.73","0.28","46.32","93.26","2","1","1","0","0","0","0","0.06","0.03","0.06","4.72","0.01","0.15","68.43","100","100","0.21","0.27","50","46.3","3.7","0","0.006","0.0119","0","0","16.76","3.08","3.08","3.1","114.87","3.1","31.48","3.67"
"Edwards","48137","1944","0.4506","0.5771","0.8538","0.6798","0.0356","40.7","21.3","24.13","0","0.05","52.11","99.9","3.68","6.08","6","24.27","17.03","38.12","52.73","6.44","36.57","4.25","0","","","0","0","0","0.46","3.5","40643","","","40675","40179","10.24","","","2.48","18.68","7.12","71800","627","23.14","28.75","29.9","15.07","3.15","22.49","9.98","3.15","20.99","40.3","2020","Edwards","21.2","13.1","2020","Edwards","19.1","2020","Edwards","20.2","11","1","11","0","2","","","","","","","","","","","0.6","50.2","50.2","50.2","0","0","0","0","0","0","51.76","0","1","1","2","0","0","0","0","0","0","0","0","0","0","","","","","","0","0","100","0","0","0","0","0","58.65","2.11","43.53","43.51","100.35","43.53","24.74","70.34"
"El Paso","48141","836915","0.1937","0.1621","0.3597","0.4822","0.2095","32.4","27.18","12.18","1.27","3.22","82.68","69.31","22.01","7.78","3","10.36","12.82","14.22","24.73","45.45","25.6","4.22","6.9","14.935806","41.26","0","0","0","0.47","8.3","48292","58581","54656","44100","66229","19.49","12.28","12.3","21.13","11.05","20.08","126500","855","21.05","23.16","31.77","16.07","7.95","20.3","5","5.31","20.52","37","2020","El Paso","15.7","16.6","2020","El Paso","14.4","2020","El Paso","19.5","16","2","15","1","2","531.76","36","12.86","10.86","3.5","0.5","7.62","13.62","8.244565","3.106648","27","58.4","18","57.3","21.7","16.1","42","0.48","0.83","0.27","97.47","96.39","2","1","2","0.01","0.04","0","0","0.04","0.01","0.03","1.68","0","0","79.6","94.44","61.11","0.17","0.49","60.73","37.44","1.83","0","0.0012","0.0119","0.0131","0.0095","2.62","2.07","2.67","7.1","7.96","3.09","1.37","4.17"
"Ellis","48139","179484","0.9526","0.9526","0.83","0.9447","0.8538","36.4","26.65","12.81","0.72","10.48","26.61","78.06","2.55","7.59","2","4.93","9.35","8.16","24.26","28.1","33.78","13.86","2.82","2.228611","81.69","0","0","0","0.41","6","79834","97917","65120","66622","88567","8.09","3.14","15.01","11.53","5.45","7.56","214500","1104","13.39","27.42","33.91","17.23","8.05","9.54","5.33","4.55","15.67","35","2020","Ellis","11.2","18.5","2020","Ellis","16.9","2020","Ellis","21.5","18","4","20","1","2","723.98","40.42","16.81","13.14","4.34","","4.12","10.91","23.957567","10.585902","30.8","58.5","10.1","78.2","15.8","9","33.8","0.34","0.5","0.18","66.01","98.64","2","2","2","0.01","0","0","0.02","0.04","0.02","0.08","5.11","0","0","60.61","66.67","100","0.14","0.35","57.41","35.19","7.41","0","0","0","0.0052","0.0052","5.11","5.38","5.38","9.78","25.53","5.51","7.09","8.66"
"Erath","48143","42226","0.3834","0.5178","0.0356","0.2174","0.7945","30.8","20.72","13.91","0.99","1.67","21.29","88.55","2.47","7.61","5","5.45","11.68","10.49","56.2","22.9","14.44","6.45","4.98","14.209255","","0","0","0","0.47","5.7","55383","74063","","47057","56863","16.5","0.65","40.44","21.01","14.44","7.81","166300","951","12.8","25.93","28.3","22.23","10.74","9.34","4.32","6.59","14.86","31.9","2020","Erath","10.2","19.6","2020","Erath","16.3","2020","Erath","23.3","16","3","19","1","1","503.14","52.83","27.36","12.74","","","","8.49","18.945673","9.472837","35.2","50.6","53","120.4","12","14.4","40.9","0.56","0.42","0.16","100.71","85.26","0","1","2","0","0","0.02","0.09","0.05","0.07","0.14","12.91","0","0","81.62","100","33.33","0.05","0.46","78.57","21.43","0","0","0","0.0231","0","0","25.81","2.4","3.79","3.79","62.56","2.4","2.48","19.58"
"Falls","48145","17281","0.8893","0.9091","0.4743","0.6482","0.9684","41","21.24","18.74","0.64","23.49","23.52","70.08","1.26","9.19","3","24.5","12.23","29.11","24.59","27.43","40.99","6.99","10.12","","","0","0","0","0.5","6","36854","","23150","30372","50049","25.02","0","35.2","37.79","15.55","18.01","76900","552","22.55","34.92","30.1","8.98","3.44","19.86","5.11","9.62","14.63","40.5","2020","Falls","16.2","15.4","2020","Falls","22.5","2020","Falls","22.7","16","4","16","1","2","815.22","53.11","23.09","11.55","","","","12.7","34.720213","28.933511","27.4","6","24.1","66.3","24.1","12","12","0.29","0.52","0.17","11.56","100","2","2","1","0","0","0","0.35","0.17","0","0.46","40.97","0.06","2.89","46.1","100","100","0.11","0.33","84.21","15.79","0","0","0","0","0.0579","0.0579","22.21","1.88","20.11","7.21","27.76","14.44","1.79","20.4"
"Fannin","48147","35046","0.1897","0.3557","0.0514","0.1225","0.3636","41","21.17","18.62","0.56","5.69","11.6","86.97","0.82","9.47","6","11.61","14.95","20.52","28.17","24.49","29.82","17.52","3.47","","","0","0","0","0.47","4.7","57898","63264","24643","49196","60773","12.49","30.53","32.95","24.86","10.14","11.84","139200","859","14.44","36.04","31.59","12.19","5.75","12.53","7.8","5.92","17.51","35.2","2020","Fannin","12.9","18","2020","Fannin","20.5","2020","Fannin","22.4","18","4","19","1","2","658.31","71.92","33.68","23.97","","","","13.13","25.680534","8.560178","18.4","28.9","11.6","37.6","43.4","34.7","37.6","0.25","0.39","0.22","98.55","98.31","1","1","1","0","0.06","0","0.23","0.09","0","0.31","19.63","0","0","73.73","50","75","0.16","0.14","63.16","31.58","5.26","0","0","0.0557","0.0557","0.0278","24.88","9.63","9.63","9.63","36.62","23.54","1.66","24.95"
"Fayette","48149","25247","0.1067","0.0593","0.1383","0.2846","0.3241","48.1","20.27","25.39","0.49","6.4","21.36","89.67","1.21","7.8","6","21.63","8.28","30.27","46.81","29.97","12.41","10.81","4.77","27.726066","","0","0","0","0.45","4.7","62872","223450","13382","56600","65110","11.23","3.28","33.1","14.6","8.42","7.46","193200","804","10.88","39.5","27.29","16.3","6.03","6.52","8.13","6.37","10.56","36.1","2020","Fayette","14.6","15.7","2020","Fayette","16.6","2020","Fayette","21","17","2","15","1","1","400","66.32","27.63","11.05","","","","7.89","47.5304","7.921733","63.2","46","0","19.2","0","23","15.3","0.55","0.31","0.2","27.62","93.9","2","2","2","0","0","0","0.24","0.16","0.08","0.12","10.26","0","0","57.71","50","75","0.18","0.31","66.67","28.57","4.76","0","0","0.0391","0","0","20.17","5.37","31.05","12.04","56.7","10.71","4.04","20.59"
"Fisher","48151","3827","0.0316","0.0356","0.2846","0.3478","0.0237","44.5","21.45","22.21","0.31","3.06","27.31","86.15","3.82","10.05","6","18.08","10.8","21.96","47.29","22.47","25.21","5.03","4.47","","","0","0","0","0.43","4.5","52683","","","41371","55505","12.4","0","64.04","13.76","8.59","9.73","63900","621","11.05","35.21","33.42","14.86","5.45","12.65","6.8","8.42","10.39","37.3","2020","Fisher","14.5","16.2","2020","Fisher","16.4","2020","Fisher","20.6","13","1","17","0","1","","72.97","","","","","","","26.130128","26.130128","3.1","50.2","0","25.1","0","0","25.1","0.26","1.06","0","","100","0","2","1","0","0","0","1.31","0","0","0.78","30.57","0","0","","","","","","50","33.33","16.67","0","0","0","0","0","45.15","6.01","21.61","6.01","44.75","21.61","1.84","46.69"
"Floyd","48153","5782","0.668","0.502","0.8775","0.8063","0.3162","36.5","26.88","18.78","0.07","5.15","58.65","89.33","5.4","7.02","6","12.96","18.96","22.85","48.25","23.06","21.35","7.34","7.1","","","0","0","0","0.41","6.2","52714","","","44715","66172","15.25","0","40.94","19.57","6.89","19.87","70300","710","24.85","29.63","29.84","11.13","4.55","18.62","6.38","3.69","23.3","38.4","2020","Floyd","16.2","15.7","2020","Floyd","17.5","2020","Floyd","20.5","15","2","14","1","1","","65.53","","","","","","","17.295054","0","28.6","51.8","0","51.8","0","17.3","17.3","0.18","0.35","0.35","","93.75","1","1","2","0","0","0","0.35","0.52","0.17","0.35","8.99","0","0","46.15","100","100","0.43","0","18.18","36.36","45.45","0","0","0","0","0","44.85","0.78","22.72","6.48","43.76","6.48","0.78","42.47"
"Foard","48155","1207","0.3676","0.6996","0.1502","0.2925","0.2372","55.1","17.81","33.97","0","0.17","22.62","80.12","4.52","7.66","6","13.36","12.57","23.97","54.47","27.83","10.34","7.36","8.06","","","0","0","0","0.51","4.2","39306","","","","45750","9.54","","","14.29","5.07","11","48500","489","18.76","28.81","39.66","9.49","3.28","13.31","12.54","2.3","14.51","36.7","2020","Foard","17","14.3","2020","Foard","19.3","2020","Foard","22.3","17","2","17","1","2","","","","","","","","","","","51.7","0","0","0","0","161.3","80.6","0","0.88","0","","100","0","2","1","0","0","0","1.66","0","0","0.83","66.28","0","0","50","0","0","0","0.17","33.33","33.33","33.33","0","0","0","0","0","47.8","1.17","39.58","21.16","84.15","25.25","1.14","69.24"
"Fort Bend","48157","790892","0.1502","0.1304","0.2253","0.8419","0.1067","36.5","27.48","11.1","20.85","20.1","24.57","48.4","5.52","4.58","2","3.03","3.6","4.96","13.73","27.69","45.81","12.77","2.42","4.425383","","0","0","0","0.43","7.7","100189","120642","80267","75207","119337","7.5","5.49","9.05","12.21","4.26","6.37","277600","1474","9.25","17.83","26.45","27.76","18.71","8.63","4.57","3.2","12.26","31.3","2020","Fort Bend","11.6","15.8","2020","Fort Bend","13","2020","Fort Bend","16.8","14","3","13","1","1","514.26","25.47","6.94","10.24","4.38","0.41","4.03","7.35","3.793185","1.770153","20.7","64.1","14.5","68.2","20.8","5.5","30.5","0.55","0.79","0.2","74.04","98.3","2","2","2","0.01","0","0","0","0.03","0.01","0.02","0.9","0","0.05","75.67","77.78","77.78","0.25","0.41","54.46","39.6","5.94","0","0","0.0036","0.0083","0.0083","4.56","2.75","3.33","8.35","16.89","3.55","6.7","4.08"
"Franklin","48159","10767","0.087","0.1502","0.3281","0.1265","0.087","42.4","23.86","21.84","0","4.41","14.92","84.81","1.16","8.09","6","8.41","8.33","13.41","37.46","28.61","23.82","10.11","1.52","","","0","0","0","0.44","5.3","59632","","","58577","60725","8.23","","10.04","1.93","9.42","7.85","144300","840","9.44","24.96","35.31","22.48","7.8","12.99","7.73","5.15","15.49","34","2020","Franklin","12","17.4","2020","Franklin","15.2","2020","Franklin","21.2","19","5","17","1","2","","46.57","29.8","20.49","","","","","18.575276","9.287638","28.3","27.5","18.3","27.5","9.2","9.2","36.6","0.37","0.09","0.18","37.3","100","2","1","1","0","0","0","0.19","0.19","0","0.37","17.46","0","0","","","","","","85.71","14.29","0","0","0","0","0","0","15.21","4.43","13.01","4.43","15.14","13.01","4.64","47.1"
"Freestone","48161","19744","0.5178","0.3162","0.7115","0.3597","0.6877","40.8","22.67","19.87","0.84","14.48","15.89","77.15","1.9","8.27","6","13.93","15.99","29.31","38.85","24.62","26.75","9.79","3.99","","100","0","0","0","0.45","8.3","52232","","32321","52794","62851","16.26","29.7","27.41","27.1","11.29","14.62","116800","722","18.24","31.77","35.22","10.69","4.08","18.83","6.19","6.95","13.27","38.2","2020","Freestone","15.2","16.5","2020","Freestone","21.1","2020","Freestone","21.9","18","3","17","1","2","686.27","66.9","32.44","24.33","","","","10.14","55.713128","15.194489","12.1","45.3","0","35.2","0","0","5","0.3","0.5","0.1","15.22","94.44","1","1","1","0","0","0","0.25","0","0.05","0.25","17.07","0","0","85.15","100","100","0.1","0.35","64.29","21.43","14.29","0","0","0","0.0503","0.0503","32.37","2.12","18.77","18.77","76.56","19.21","2.52","20.01"
"Frio","48163","20013","0.9447","0.8775","0.8142","0.9328","0.9289","31.7","23.43","12.11","0.96","4.02","79.57","78.95","14.23","3.73","6","24.99","17.12","33.47","52.84","28.93","10.45","7.77","11.53","","","0","0","0","0.51","5.7","48708","52757","","47821","63056","19.65","13.41","100","18.89","24.39","21.42","86000","807","35.09","33.7","23.02","4.22","3.98","21.03","6.71","2.77","19.39","39.4","2020","Frio","14.1","18.8","2020","Frio","18.2","2020","Frio","18.9","15","2","13","1","1","506.33","39.37","20.19","10.1","","","","","29.980513","4.996752","9.4","49.9","0","15","10","0","5","0.25","0.54","0.29","29.55","91.43","1","1","1","0","0.15","0","0.25","0","0","0.1","8.09","0","0","79.33","100","100","0.23","0","71.43","21.43","7.14","0","0","0.0981","0.0491","0.0491","37.85","1.03","35.59","6.18","52.11","2.71","1.22","14.3"
"Gaines","48165","21077","0.7352","0.6285","0.7866","0.5889","0.7194","28.1","35.77","8.99","0.84","2.1","41.74","88.42","13.39","3.66","6","14.92","13.95","17.71","55.61","19.05","15.05","10.3","5.63","","","0","0","0","0.44","5.6","62994","","","44974","70897","14.52","0","44.23","19.97","10.87","6.96","141200","659","38.22","32.34","18.99","7.38","3.07","15.8","4.79","2.33","29.95","35.9","2020","Gaines","12.1","19.7","2020","Gaines","22","2020","Gaines","23.2","15","1","13","0","1","432.8","51.18","26.54","","","","","","37.956066","14.233525","10.7","36.2","4.5","13.6","0","4.5","4.5","0.09","0.23","0.05","9.31","96.77","1","1","1","0","0","0","0.14","0","0.05","0.14","4.32","0","0","67.24","0","0","0","0","37.5","25","37.5","0","0","0","0.0455","0.0455","29.06","3.48","27.06","3.48","72.71","3.48","3.4","60.38"
"Galveston","48167","337600","0.3399","0.2925","0.3083","0.5455","0.415","37.7","24.27","14.33","3.39","12.68","24.95","75.22","2.79","8.34","2","6.28","8.58","9.15","24.24","36.02","29.82","9.92","4.99","19.845972","76.58","0","3","0","0.46","8.7","74633","1e+05","45831","60297","86165","10.95","8.07","18.28","15.85","7.59","11.23","212600","1106","10.42","24.59","32.87","21.23","10.89","10.78","4.83","5.06","13.02","35.9","2020","Galveston","12","17.4","2020","Galveston","16.3","2020","Galveston","20.8","17","3","17","1","2","588.38","45.87","15.39","15.92","7.93","0.95","9.88","18.35","11.255924","4.146919","41.2","69","22.2","53.8","20","11.8","25.9","0.48","0.98","0.3","114.57","98.25","2","2","2","0.01","0.02","0.01","0","0.04","0.01","0.06","4.08","0.01","0.19","70.91","100","33.33","0.24","0.34","60.24","36.14","3.61","0","0","0.0203","0.0174","0.0174","4.26","3.65","3.67","5.73","5.73","4.5","2.51","6.32"
"Garza","48169","6028","0.4704","0.5731","0.1462","0.7866","0.4308","42.8","13.84","15.3","2.22","9.41","49","74.9","4.44","4.62","6","7.53","17.69","16.46","65.8","4.91","20.57","8.72","3.91","","","0","0","0","0.38","6.8","58938","","","37212","64611","21.61","0","46.95","34.01","9.69","16.7","78200","703","35.02","31.36","21.33","8.2","4.1","12.64","5.43","10.33","9.52","39.2","2020","Garza","12.9","20.3","2020","Garza","20.2","2020","Garza","20","17","1","17","1","3","","31.25","","","","","","","33.1785","16.58925","2","29.5","29.5","44.2","0","14.7","14.7","0.32","0.16","0","","100","0","1","1","0","0","0","0.33","0","0","0.33","15.93","0","0","","","","0","1","66.67","0","33.33","0","0","0","0.1607","0.1607","35.53","0.71","37.24","25.54","39.63","22.84","0.71","38.31"
"Gillespie","48171","26668","0.3241","0.3518","0.3083","0.2134","0.4822","50.1","19.98","29.32","0.31","0.09","23.62","90.46","2.4","7.8","5","10.51","8.22","14.02","50.31","25.72","17.26","6.7","5.39","44.99775","","0","0","0","0.46","4.8","61445","","","60446","61134","10.8","0","100","22.24","7.24","4.93","311300","993","10.31","29.97","25.57","23.83","10.32","7.33","9.66","7.42","19.91","33.7","2020","Gillespie","13.4","15.1","2020","Gillespie","13.9","2020","Gillespie","19.9","13","2","16","1","1","544.75","82.14","26.88","23.15","","","","8.96","18.749063","0","72","114.5","19.1","53.5","19.1","7.6","26.7","0.74","0.48","0.26","92.63","97.1","0","1","2","0.04","0","0","0","0.07","0.07","0.19","12.22","0","0","57.09","100","50","0.05","0.54","85.71","14.29","0","0","0","0","0","0","2.96","3.03","3.03","3.03","56.37","3.03","28.83","26.76"
