"County","TDSHS_DEATHS_SUICIDE","Year"
"Jim Hogg",NA,2016
"Jim Wells",NA,2016
"Johnson",13,2016
"Jones",NA,2016
"Kaufman",11,2016
"Kendall",NA,2016
"Kerr",11,2016
"Kimble",NA,2016
"Kleberg",NA,2016
"Knox",NA,2016
"La Salle",NA,2016
"Lamar",NA,2016
"Lampasas",NA,2016
"Lavaca",NA,2016
"Lee",NA,2016
"Leon",NA,2016
"Liberty",11,2016
"Limestone",NA,2016
"Live Oak",NA,2016
"Llano",NA,2016
"Lubbock",27,2016
"Madison",NA,2016
"Marion",NA,2016
"Martin",NA,2016
"McCulloch",NA,2016
"McLennan",20,2016
"Medina",NA,2016
"Menard",NA,2016
"Midland",NA,2016
"Milam",NA,2016
"Mitchell",NA,2016
"Montague",NA,2016
"Montgomery",56,2016
"Moore",NA,2016
"Motley",NA,2016
"Nacogdoches",NA,2016
"Navarro",NA,2016
"Newton",NA,2016
"Nolan",NA,2016
"Nueces",21,2016
"Orange",10,2016
"Palo Pinto",NA,2016
"Panola",NA,2016
"Parker",17,2016
"Pecos",NA,2016
"Polk",NA,2016
"Potter",18,2016
"Presidio",NA,2016
"Randall",11,2016
"Real",NA,2016
"Red River",NA,2016
"Reeves",NA,2016
"Roberts",NA,2016
"Rockwall",NA,2016
"Runnels",NA,2016
"Rusk",NA,2016
"Sabine",NA,2016
"San Augustine",NA,2016
"San Jacinto",NA,2016
"San Patricio",NA,2016
"San Saba",NA,2016
"Scurry",NA,2016
"Shelby",NA,2016
"Smith",23,2016
"Somervell",NA,2016
"Starr",NA,2016
"Stephens",NA,2016
"Tarrant",154,2016
"Taylor",23,2016
"Terry",NA,2016
"Titus",NA,2016
"Tom Green",NA,2016
"Travis",56,2016
"Trinity",NA,2016
"Tyler",NA,2016
"Upshur",NA,2016
"Uvalde",NA,2016
"Val Verde",NA,2016
"Van Zandt",NA,2016
"Victoria",12,2016
"Walker",NA,2016
"Waller",NA,2016
"Washington",NA,2016
"Webb",NA,2016
"Wharton",NA,2016
"Wichita",16,2016
"Willacy",NA,2016
"Williamson",58,2016
"Wilson",NA,2016
"Winkler",NA,2016
"Wise",NA,2016
"Wood",NA,2016
"Young",NA,2016
"Zapata",NA,2016
"Anderson",NA,2017
"Andrews",NA,2017
"Angelina",NA,2017
"Aransas",NA,2017
"Atascosa",NA,2017
"Austin",NA,2017
"Bandera",NA,2017
"Bastrop",12,2017
"Baylor",NA,2017
"Bee",NA,2017
"Bell",34,2017
"Bexar",147,2017
"Blanco",NA,2017
"Bosque",NA,2017
