"County","TDSHS_DEATHS_SUICIDE","Year"
"Wichita",32,2018
"Williamson",85,2018
"Wise",11,2018
"Anderson",17,2019
"Angelina",11,2019
"Aransas",10,2019
"Bastrop",12,2019
"Bell",71,2019
"Bexar",245,2019
"Bowie",19,2019
"Brazoria",42,2019
"Brazos",22,2019
"Burnet",10,2019
"Cameron",29,2019
"Cherokee",10,2019
"Collin",111,2019
"Comal",40,2019
"Coryell",15,2019
"Dallas",286,2019
"Denton",113,2019
"Ector",21,2019
"El Paso",100,2019
"Ellis",30,2019
"Fort Bend",74,2019
"Galveston",53,2019
"Grayson",29,2019
"Gregg",22,2019
"Guadalupe",17,2019
"Hardin",14,2019
"Harris",505,2019
"Harrison",14,2019
"Hays",29,2019
"Henderson",21,2019
"Hidalgo",65,2019
"Hill",12,2019
"Hood",11,2019
"Howard",11,2019
"Hunt",10,2019
"Jefferson",39,2019
"Johnson",26,2019
"Kaufman",19,2019
"Kerr",14,2019
"Lamar",11,2019
"Liberty",21,2019
"Lubbock",54,2019
"McLennan",41,2019
"Medina",10,2019
"Midland",34,2019
"Montgomery",109,2019
"Nacogdoches",12,2019
"Nueces",55,2019
"Orange",12,2019
"Parker",24,2019
"Polk",14,2019
"Potter",30,2019
"Randall",31,2019
"Rockwall",16,2019
"Rusk",10,2019
"San Patricio",14,2019
"Smith",53,2019
"Tarrant",263,2019
"Taylor",23,2019
"Tom Green",23,2019
"Travis",167,2019
"Victoria",17,2019
"Webb",20,2019
"Wharton",10,2019
"Wichita",19,2019
"Williamson",85,2019
"Wise",13,2019
"Anderson",22,2020
"Angelina",15,2020
"Aransas",15,2020
"Atascosa",10,2020
"Bastrop",21,2020
"Bee",10,2020
"Bell",62,2020
"Bexar",241,2020
"Bowie",22,2020
"Brazoria",60,2020
"Brazos",21,2020
"Burnet",10,2020
"Cameron",33,2020
"Chambers",10,2020
"Cherokee",12,2020
"Collin",121,2020
"Comal",46,2020
"Cooke",10,2020
"Coryell",12,2020
"Dallas",267,2020
"Denton",91,2020
"Ector",30,2020
"El Paso",89,2020
"Ellis",22,2020
"Fort Bend",83,2020
"Galveston",59,2020
"Grayson",19,2020
"Gregg",23,2020
"Guadalupe",35,2020
"Hardin",12,2020
"Harris",518,2020
"Harrison",11,2020
"Hays",29,2020
"Henderson",24,2020
"Hidalgo",47,2020
"Hood",19,2020
"Hunt",17,2020
"Jefferson",32,2020
"Johnson",24,2020
"Kaufman",19,2020
"Liberty",17,2020
"Lubbock",60,2020
"McLennan",42,2020
"Medina",11,2020
"Midland",30,2020
"Montgomery",107,2020
"Nacogdoches",16,2020
"Navarro",11,2020
"Nueces",60,2020
"Orange",11,2020
"Palo Pinto",10,2020
"Parker",38,2020
"Polk",13,2020
"Potter",28,2020
"Randall",26,2020
"Rusk",13,2020
"San Patricio",11,2020
"Smith",41,2020
"Tarrant",256,2020
"Taylor",30,2020
"Tom Green",16,2020
"Travis",158,2020
"Victoria",21,2020
"Waller",12,2020
"Webb",22,2020
"Wichita",15,2020
"Williamson",69,2020
"Wilson",10,2020
"Wise",12,2020
