"County","State","FIPS.Code","Population","Economic.Region","Overall.Social.Vulnerability","Socioeconomic.Social.Vulnerability","Household.Characteristics.Social.Vulnerability","Race.Ethnicity.Social.Vulnerability","Housing.Transport.Social.Vulnerability","Median.Age","Percent.Age.0.to.17","Percent.Age.Over.65","Percent.Asian","Percent.Black","Percent.Hispanic","Percent.White","Percent.Households_Limited_English","Percent.Veteran","NCHS.Rural.Urban.Code","Percent.Households.No.Computer.Device","Percent.Households.Smartphone.Only","Percent.Households.No.Internet","Percent.Commute.Less.than.15min","Percent.Commute.15min.to.29min","Percent.Commute.30min.to.59min","Percent.Commute.60min.or.More","Percent.Housing.Units.No.Vehicle","GINI.Index","Percent.Unemployed","Median.Household.Income","Median.Household.Income.Asian","Median.Household.Income.Black","Median.Household.Income.Hispanic","Median.Household.Income.White","Percent.in.Poverty","Percent.in.Poverty.Asian","Percent.in.Poverty.Black","Percent.in.Poverty.Hispanic","Percent.in.Poverty.White","Percent.Households.Food.Stamps","Median.Home.Value","Median.Rent","Percent.Less.than.Highschool","Percent.Highschool.Graduate","Percent.with.Associate.Degree","Percent.with.Bachelor.Degree","Percent.with.Graduate.Degree","Percent.Medicaid","Percent.Medicare.Only","Percent.Health.Insurance.Other","Percent.No.Health.Insurance","Obesity.Rate","Diabetes.Rate","Binge.Drinking.Rate","Smoking.Rate","Depression.Rate","Anxiety.Disorders.Rate.Medicare","Bipolar.Disorder.Rate.Medicare","Depressive.Disorders.Rate.Medicare","Personality.Disorders.Rate.Medicare","Opioid.Overuse.Disorder.Rate.Medicare","Birth.Defects.per.10k","Deaths.from.Injury.per.100k","Deaths.from.Transport.Accident.per.100k","Deaths.from.Suicide.per.100k","Deaths.from.Assault.per.100k","Accidental.Deaths.by.Benzodiazepines.per.100k","Accidental.Deaths.by.Cannabis.per.100k","Accidental.Deaths.by.Cocaine.per.100k","Accidental.Deaths.by.Heroin.per.100k","Accidental.Deaths.by.Methadone.per.100k","Accidental.Deaths.by.Opioids.per.100k","Accidental.Deaths.by.Other.Narcotics.per.100k","Accidental.Deaths.by.Other.Opioids.per.100k","Accidental.Deaths.by.Psychostimulants.per.100k","Accidental.Deaths.by.Pyschotropics.per.100k","Accidental.Deaths.by.Synthetics.per.100k","Maternal.Deaths.per.100k","Opioid.Overdose.Deaths.per.100k","Drug.Poisoning.Deaths.per.100k","Opioid.Dispensing.Rate.per.100","HPSA.Primary.Care.Score","HPSA.Primary.Care.FTE.Short","HPSA.Mental.FTE.Short","HPSA.Mental.Score","PCPs.per.100k","Nurse.Practitioners.per.100k","Physician.Assistants.per.100k","Dentists.per.100k","LCDCs.per.100k","LPCs.per.100k","LCSWs.per.100k","Psychiatrists.per.100k","Mental.Health.Providers.per.100k","Urgent.Care.Orgs.per.100k","Health.Centers.per.100k","Community.Mental.Health.Centers.per.100k","Rural.Health.Clinics.per.100k","Home.Health.Agencies.per.100k","Hospices.per.100k","Nursing.Facilities.per.100k","Nursing.Facility.Beds.per.100k","Skilled.Nursing.Facilities.per.100k","Skilled.Nursing.Facility.Beds.per.100k","Mental.Health.Facilities.per.1k","Mental.Health.Facilities.Accepting.Medicare.per.1k","Percent.Clinicians.Accepting.Medicaid","Percent.Nursing.Homes.For.Profit","Percent.Nursing.Homes.Chain","Percent.Hospitals.Private.For.Profit","Percent.Hospitals.Non.Profit","Percent.Hospitals.Government","Nursing.Home.Occupancy.Rate","Median.Distance.to.Urgent.Care","Median.Distance.to.Emergency.Department","Median.Distance.to.Medical.Surgical.ICU","Median.Distance.to.Trauma.Center","Median.Distance.to.Pediatric.ICU","Median.Distance.to.Obstetrics.Department","Median.Distance.to.Health.Clinic","Median.Distance.to.Alcohol.Drug.Incare"
"Bastrop","Texas","48021","86839","Capital","0.6166","0.4704","0.415","0.6561","0.7549","38","25.49","14.97","0.84","7.83","38.79","50.78","2.48","12.09","2","9.56","10.98","14.51","18.2","21.77","40.86","19.17","3.92","0.42","5.12","71820","82721","55725","65536","74610","11.27","0.58","24.37","13.64","7.69","8.56","199300","1095","16.85","30.61","31","14.59","6.94","12.09","4.15","7.34","17.53","35.9","13","17.7","18.2","20.2","16","3","16","1","3","632.45","71.07","31.97","17.25","6.9","0","","","","","","0","","","","","","5.29","14.49","13.3","10","11.52","2.8","14","29.3","31","14","31.6","39.5","71.1","22.6","2.3","57.48","1","2","2","6","3","0","7","618","0","0","0","0","96.9","100","66.67","81.48","18.52","0","79.31","11.08","6.84","24.92","20.99","25.7","11.2","6.63","15.16"
"Baylor","Texas","48023","3560","Northwest","0.0474","0.0909","0.2411","0.0909","0.083","47.2","22.36","24.97","0","3.2","15.25","80.17","0.68","9.48","6","17.46","11.29","20.85","73.42","11.43","12.45","2.69","2.84","0.45","1.8","40946","","46071","","42099","14.82","","22.67","31.75","12.36","10.18","69100","481","12.58","37.87","28.57","17.1","3.88","9.68","9.56","5.17","14.7","35.2","13.7","16.5","17.9","21.7","18","2","19","1","4","0","89.45","","","","","","","","","0","","","0","0","0","","","","33.8","","","","","165.9","0","57","27.6","-","55.3","-","-","","0","0","0","56","56","0","28","2809","0","0","28.43","28.43","100","100","100","60","20","20","54.44","49.29","1.03","32.67","28.26","82.01","1.03","1.04","48.91"
"Bee","Texas","48025","32609","South Texas","0.8182","0.9012","0.1581","0.8735","0.8933","35.3","21.27","12.27","0.57","7.3","59.23","30.96","3.45","8.21","5","14.32","15.19","29.64","51.26","23.93","16.47","8.34","6.73","0.47","8.34","45287","","55298","41079","51448","19.37","3.27","43.3","22.25","12.93","15.73","88700","860","20.81","33.59","34.82","5.62","5.17","17.51","5.09","5.91","18.58","40.8","14","19.4","19.5","19.7","18","4","18","1","3","619.47","47.25","19.63","22.09","","0","","0","","","0","0","0","","","0","","","11.66","14.1","","","1.24","20","31.5","46","22","11.4","8.6","37.2","5.7","-","46.06","0","3","3","37","9","3","9","521","0","0","0","0","98.17","100","100","55.56","44.44","0","72.28","38.9","2.99","2.99","2.99","50.45","2.99","1.86","48.83"
"Bell","Texas","48027","355700","Central Texas","0.664","0.5257","0.5534","0.7036","0.7431","31.3","27.68","10.86","2.82","24.17","25.34","44.7","2.61","21.12","3","6.42","7.71","9.64","35.36","40.79","17.17","6.69","6.25","0.44","7.46","54987","53882","46377","47994","63896","14.21","10.84","18.98","18.96","9.41","13.66","153500","946","9.06","25.74","39.87","16.68","8.65","13.61","3.25","10.88","13.5","38.4","11.7","18.7","17.6","21.1","18","4","18","2","2","656.04","49.36","16.94","17.67","8.72","","","","","0","3.37362946303064","","","5.06044419454597","5.34157998313185","","","3.94","11.88","53.8","","","","","86.7","109","97","45.6","25.7","103.6","56.3","11.9","224.84","0","0","0","1","6","1","6","454","1","12","1.89","1.08","98.92","92.31","61.54","63.74","35.16","1.1","81.04","17.05","2.91","2.94","2.99","17.64","2.99","11.39","4.16"
"Bexar","Texas","48029","1978826","Alamo","0.7668","0.6798","0.6719","0.8972","0.7391","33.8","25.53","12.1","3.03","7.6","60.5","27.09","6.65","9.57","1","7.08","12","12.18","21.17","42.73","30.37","5.73","6.92","0.47","5.74","58288","75371","47415","50930","74005","15.6","16.97","19.08","18.23","9.04","13.25","171200","1048","15.56","25.12","30.85","17.95","10.52","15.97","4.65","6.89","15.87","39.4","13.4","17.2","14.5","20.6","17","3","16","1","2","672.7","46.53","12.22","12.57","8.2","1.061235298101","","2.37514566717842","3.63852102206056","0.960165269710424","6.31687677441069","","0.808560227124568","7.47918210090225","7.52971711509754","1.31391036907742","0.74","6.46","15.62","44.1","","","","","81.6","90","51","54.4","22.6","94.8","37.3","10.2","188.02","2","1","1","0","6","1","4","283","0","9","0.69","0.64","96.17","75","61.36","63.46","35.28","1.26","67.39","1.87","2.73","2.87","4.69","5.82","3.71","2.65","3.05"
"Blanco","Texas","48031","11733","Capital","0.0632","0.087","0.1265","0.1779","0.1265","50.5","17.72","25.68","0.84","0.03","19.75","75.55","1.29","10.58","6","6.32","10.23","11.19","29.85","25.63","29.28","15.24","1.97","0.5","4.92","70397","","","72727","70966","11.2","0","100","13.48","11.27","6.65","261300","850","8.39","27.53","35.93","19.33","8.82","7.13","7.03","7.91","14.53","35.4","13.8","16.1","15.7","20.8","14","2","14","1","2","","69.59","","28.85","","","","","","","","","","","","","","","","7","","","0.52","12","34.2","49","8","34.2","8.6","42.8","34.2","-","8.38","0","0","0","17","0","0","34","1534","0","0","0","0","100","100","0","80","20","0","67.27","19.51","9.62","22.58","28.5","40.74","9.62","9.59","33.71"
"Borden","Texas","48033","653","West Texas","0.1186","0.0277","0.8893","0.0632","0.1462","37.2","32.62","28.79","0","0","13.02","83.92","0","5.91","6","7.17","5.83","11.66","54.9","8.82","29.41","6.86","3.14","0.38","5.46","83281","","","66250","83750","3.68","","","15.29","2.01","4.48","156300","525","6.68","20.97","27.19","36.18","8.99","3.83","7.96","6.28","4.9","30.9","11.3","16.8","11.8","19.2","23","0","16","0","0","","","","","","","","","","","","","","","","","","","","","7","0.18","0.03","12","-","0","0","-","-","-","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","0","0","0","","58.69","29.82","35.93","30.65","62.45","30.65","29.82","62.13"
"Bosque","Texas","48035","18428","Central Texas","0.249","0.2016","0.5929","0.1423","0.3597","46.8","21.12","24.95","0.61","1.72","18.77","76.89","2.26","8.28","6","12.42","13.22","21.45","34.78","19.48","32.44","13.3","3.36","0.41","4.26","57337","","35568","49984","58546","14.47","15.38","12.41","24.61","11.82","10.13","135500","760","11.67","32.96","36.84","12.99","5.54","13.68","7.48","5.82","16.88","35.3","14.5","15.6","18","21.8","16","2","17","1","1","710.66","70.34","31.38","17.32","","0","","","0","","","","0","","","","","","20.56","13.9","","","0.89","15","62.2","43","0","45.2","11.3","56.6","5.7","-","21.41","0","0","0","27","5","5","38","3527","0","0","5.38","5.38","100","66.67","100","23.53","47.06","29.41","60.9","30.18","7.16","25.58","11.07","52.89","7.28","7.28","19.34"
"Bowie","Texas","48037","93622","Upper East","0.498","0.3676","0.2451","0.3953","0.8419","38.3","23.66","16.7","1.21","24.86","7.74","63.26","0.92","9.83","4","18.55","11.94","22.83","49.75","34.07","13.19","3","6.31","0.49","4.81","51796","96392","33926","64375","57457","16.83","2.45","28.53","11.96","13.07","11.53","123200","776","10.51","33.87","33.74","14.23","7.65","16.25","6.01","6.04","13.61","38.1","13.4","17.4","19.9","22.4","20","4","18","2","1","604.73","55.66","17.49","18.77","8.74","0","","0","0","0","","0","","","","","","2.77","10.45","104","","","","","112.5","184","32","59.5","20.6","84.4","19.5","5.4","105.1","1","1","1","1","6","7","20","904","2","36","1.07","1.07","97.19","100","75","69.14","28.4","2.47","67.61","4.95","3.45","3.45","4.17","24.12","3.59","4.05","3.45"
"Brazoria","Texas","48039","368062","Gulf Coast","0.2095","0.1146","0.1225","0.6877","0.4585","36","26.32","11.82","6.65","14.37","31","46.1","3","6.78","2","5.21","9.01","8.05","19.4","27.82","40.61","12.17","2.69","0.42","4.76","83325","98348","90435","73743","86236","7.92","3.69","7.68","11.07","6.47","7.84","213100","1161","11.16","25.03","32.73","19.93","11.16","9.17","4.9","4.07","13.34","39.5","11.7","19","15.8","19","16","3","15","1","2","573.47","37.2","13.79","13.19","5.1","3.53201362813874","","3.26032027212807","4.07540034016008","","7.33572061228815","","","4.8904804081921","5.43386712021344","","","5.65","11.46","27.9","","","","","60","60","19","53.1","19.8","58","20.8","3.1","71.61","0","1","0","0","3","1","5","299","0","0","1.05","1.05","98.49","100","40","71.79","23.08","5.13","65.05","8.85","5.16","4.22","8.45","12.08","5.16","3.85","9.54"
"Brazos","Texas","48041","226370","Central Texas","0.4387","0.5375","0.0198","0.5968","0.7075","26.8","20.6","9.19","6.05","10.77","25.86","55.06","5.02","4.68","4","4.64","7.6","8.8","40.36","47.43","9.14","3.07","5.45","0.51","4.37","50289","49107","35710","41670","59400","23.9","29.64","31.55","25.27","21.09","9.06","217700","966","11.72","20.52","26.35","22.33","19.08","9.79","2.28","4.38","12.07","33.2","9.3","19","15.3","21.5","18","3","19","1","1","497.96","25.54","10.43","9.37","3","","","","","","4.85930114414454","","","4.41754649467686","4.85930114414454","","","2.47","5.83","39.7","","","7.61","17","92.2","52","31","47.6","16.8","66.9","12.6","2.9","98.16","1","0","0","0","3","2","4","262","0","13","0.43","0.43","97.86","75","100","64","34","2","74.28","2.64","2.41","4.81","2.63","62.71","4.81","3.36","2.25"
"Brewster","Texas","48043","9231","Upper Rio Grande","0.5771","0.6324","0.2016","0.664","0.6126","43.8","19.23","22.68","4.25","0.21","45.15","49.82","6.87","7.18","6","12.67","17.75","21.2","71.34","13.83","11.21","3.61","6.43","0.47","4.19","45296","39600","","42198","47321","15.61","24.49","37.5","14.92","14.84","11.6","171700","698","15.07","18.34","25.84","27.21","13.55","5.47","6.81","5.53","18.15","35.7","14.6","15.8","14.4","19.5","12","2","11","0","1","","77.85","23.79","38.92","","","","","","","","0","","","","0","","","30.27","20.2","11","0.77","","","110.3","87","22","11","22.1","132.3","11","-","130.39","0","0","0","32","22","11","43","1181","0","0","10.83","10.83","91.43","","","33.33","58.33","8.33","","145.25","0.88","2.13","2.13","148.47","0.88","0.58","105.63"
