"County","State","FIPS.Code","Population","Economic.Region","Overall.Social.Vulnerability","Socioeconomic.Social.Vulnerability","Household.Characteristics.Social.Vulnerability","Race.Ethnicity.Social.Vulnerability","Housing.Transport.Social.Vulnerability","Median.Age","Percent.Age.0.to.17","Percent.Age.Over.65","Percent.Asian","Percent.Black","Percent.Hispanic","Percent.White","Percent.Households_Limited_English","Percent.Veteran","NCHS.Rural.Urban.Code","Percent.Households.No.Computer.Device","Percent.Households.Smartphone.Only","Percent.Households.No.Internet","Percent.Commute.Less.than.15min","Percent.Commute.15min.to.29min","Percent.Commute.30min.to.59min","Percent.Commute.60min.or.More","Percent.Housing.Units.No.Vehicle","GINI.Index","Percent.Unemployed","Median.Household.Income","Median.Household.Income.Asian","Median.Household.Income.Black","Median.Household.Income.Hispanic","Median.Household.Income.White","Percent.in.Poverty","Percent.in.Poverty.Asian","Percent.in.Poverty.Black","Percent.in.Poverty.Hispanic","Percent.in.Poverty.White","Percent.Households.Food.Stamps","Median.Home.Value","Median.Rent","Percent.Less.than.Highschool","Percent.Highschool.Graduate","Percent.with.Associate.Degree","Percent.with.Bachelor.Degree","Percent.with.Graduate.Degree","Percent.Medicaid","Percent.Medicare.Only","Percent.Health.Insurance.Other","Percent.No.Health.Insurance","Obesity.Rate","Diabetes.Rate","Binge.Drinking.Rate","Smoking.Rate","Depression.Rate","Anxiety.Disorders.Rate.Medicare","Bipolar.Disorder.Rate.Medicare","Depressive.Disorders.Rate.Medicare","Personality.Disorders.Rate.Medicare","Opioid.Overuse.Disorder.Rate.Medicare","Birth.Defects.per.10k","Deaths.from.Injury.per.100k","Deaths.from.Transport.Accident.per.100k","Deaths.from.Suicide.per.100k","Deaths.from.Assault.per.100k","Accidental.Deaths.by.Benzodiazepines.per.100k","Accidental.Deaths.by.Cannabis.per.100k","Accidental.Deaths.by.Cocaine.per.100k","Accidental.Deaths.by.Heroin.per.100k","Accidental.Deaths.by.Methadone.per.100k","Accidental.Deaths.by.Opioids.per.100k","Accidental.Deaths.by.Other.Narcotics.per.100k","Accidental.Deaths.by.Other.Opioids.per.100k","Accidental.Deaths.by.Psychostimulants.per.100k","Accidental.Deaths.by.Pyschotropics.per.100k","Accidental.Deaths.by.Synthetics.per.100k","Maternal.Deaths.per.100k","Opioid.Overdose.Deaths.per.100k","Drug.Poisoning.Deaths.per.100k","Opioid.Dispensing.Rate.per.100","HPSA.Primary.Care.Score","HPSA.Primary.Care.FTE.Short","HPSA.Mental.FTE.Short","HPSA.Mental.Score","PCPs.per.100k","Nurse.Practitioners.per.100k","Physician.Assistants.per.100k","Dentists.per.100k","LCDCs.per.100k","LPCs.per.100k","LCSWs.per.100k","Psychiatrists.per.100k","Mental.Health.Providers.per.100k","Urgent.Care.Orgs.per.100k","Health.Centers.per.100k","Community.Mental.Health.Centers.per.100k","Rural.Health.Clinics.per.100k","Home.Health.Agencies.per.100k","Hospices.per.100k","Nursing.Facilities.per.100k","Nursing.Facility.Beds.per.100k","Skilled.Nursing.Facilities.per.100k","Skilled.Nursing.Facility.Beds.per.100k","Mental.Health.Facilities.per.1k","Mental.Health.Facilities.Accepting.Medicare.per.1k","Percent.Clinicians.Accepting.Medicaid","Percent.Nursing.Homes.For.Profit","Percent.Nursing.Homes.Chain","Percent.Hospitals.Private.For.Profit","Percent.Hospitals.Non.Profit","Percent.Hospitals.Government","Nursing.Home.Occupancy.Rate","Median.Distance.to.Urgent.Care","Median.Distance.to.Emergency.Department","Median.Distance.to.Medical.Surgical.ICU","Median.Distance.to.Trauma.Center","Median.Distance.to.Pediatric.ICU","Median.Distance.to.Obstetrics.Department","Median.Distance.to.Health.Clinic","Median.Distance.to.Alcohol.Drug.Incare"
"Delta","Texas","48119","5277","Upper East","0.0949","0.1897","0.2925","0.083","0.1146","41.7","23.12","20.16","0.36","7.35","8.28","80.25","0","9.19","6","15.1","17.76","26.19","25.29","27.14","33.85","13.72","5.91","0.45","4.56","49868","","28036","91167","50112","16.18","0","40.1","3.74","15.86","9.78","107600","625","12.59","33.87","31.93","13.98","7.63","10.81","8.71","9.89","9.74","39.7","15.1","16.8","18","20.7","19","3","19","1","1","","67.82","","","","","","","0","","0","","","0","0","","","","","4.2","","","","","-","56","0","18.6","-","18.6","-","-","56.27","0","0","0","19","0","19","76","2615","0","0","0","0","100","","","80","20","0","","20.4","14.95","16.21","16.21","16.21","16.21","0.96","27.85"
"Denton","Texas","48121","861690","Metroplex","0.0751","0.0751","0.0395","0.502","0.1621","35.8","24.66","10.27","9.17","9.88","19.36","58.16","3.31","6.41","2","2.17","4.66","4.59","20.09","34.24","36.84","8.83","2.7","0.43","3.86","90354","119911","64692","69798","99573","7.44","6.37","11.36","10.67","6.01","4.47","297100","1269","7.23","17.61","29.4","30.78","14.98","5.9","3.76","3.52","10.81","36.6","14","16.6","19.5","22.7","17","3","18","1","2","551.46","25.58","8.26","11.56","2.02","1.2765611762931","","1.50866320834639","1.85681625642633","","4.8741426731191","0","","3.01732641669278","3.24942844874607","2.20496930450626","0.35","4.34","8.47","30.7","","","","","55.4","64","25","54.7","17.4","103.4","25.4","5.8","118.57","1","0","0","1","2","1","2","104","0","3","0.98","0.76","93.46","80","70","61.83","34.35","3.82","66.93","2.3","2.22","2.36","6.39","12.13","2.65","5.19","6.41"
"DeWitt","Texas","48123","20217","Alamo","0.585","0.581","0.1739","0.6087","0.7747","41.7","22.57","19.58","0.05","8.89","35.67","54.56","2.18","6.7","6","19.39","12.31","26.72","43.6","23.09","23.58","9.73","6.43","0.5","6.75","53815","","27500","55179","58042","17.9","33.33","23.6","24.28","13.27","12.06","121900","813","17.18","39.97","30.63","9.15","3.06","14.31","6.65","6.81","14.09","30.6","9.2","20.1","13.3","19.6","18","3","13","0","5","432.9","52.16","17.71","20.67","","","","","","","","","","","","","","","11.81","34.8","","","","","","45","20","","","","","","14.88","0","0","0","15","5","5","45","2572","0","0","0","0","100","50","100","63.16","26.32","10.53","63.14","26.38","2.31","2.96","2.96","74.97","2.96","2.06","24.81"
"Dickens","Texas","48125","2182","High Plains","0.6008","0.751","0.664","0.336","0.2964","45.2","20.76","24.24","0.55","2.66","29.51","67.28","1.28","5.67","6","10.34","11.5","14.75","54.92","12.5","12.12","20.45","8.25","0.5","6.33","41141","","2499","25833","49934","15.28","8.33","67.24","23.45","10.06","11.15","53100","550","19.84","33.33","28.22","11.4","7.21","17.55","6.92","5.53","17.84","37.2","15","16.7","19.3","21","16","1","13","1","0","","109.16","","","","","","","","","","","","","","","","","","","","","0.1","12","-","47","0","-","-","-","-","-","45.23","0","0","0","92","0","0","46","1787","0","0","0","0","0","","","0","100","0","","56.73","23.76","57.34","45.45","59.49","45.15","5.93","57.34"
"Dimmit","Texas","48127","10232","South Texas","1","0.9763","0.996","0.9565","0.9684","36.5","28.46","17.26","1.6","0.09","87.35","10.48","8.37","4.52","6","23.51","11.86","28.35","55.91","29.33","7.98","6.78","11.58","0.49","7.95","25996","","","23455","53927","42.6","0","100","45.58","26","23.13","61300","694","32.24","30.53","22.38","8.08","6.76","32.07","8.14","0.84","21.34","45","22.2","13.9","20.7","20.5","14","3","15","0","1","","58.17","27.15","","","","","","","","","","","","","","","","","6","","","","","49.2","50","30","8.2","-","24.6","8.2","-","29.63","0","20","0","0","20","0","10","977","0","0","0","0","100","100","100","62.5","37.5","0","50","49.18","1.33","38.83","1.33","102.13","1.33","1.45","40.64"
"Donley","Texas","48129","3317","High Plains","0.0514","0.0751","0.0158","0.083","0.2846","41.6","20.11","23.03","0.3","6.24","11.28","80.34","0.74","9.06","6","11.16","21.35","30.88","55.83","19.49","12.16","12.52","2.9","0.42","1.62","51875","","29643","44250","55061","12.45","0","14.37","20.59","11.43","3.42","70200","691","10.52","29.47","41.93","12.83","5.26","7.91","7.6","3.51","15.39","35.2","13.3","16.7","16.9","22.4","16","3","15","1","3","0","108.3","","","","","","","","","0","","0","0","0","","","","","0.4","19","0.62","0.15","12","29.8","60","60","-","59.6","-","-","-","","0","0","0","60","30","0","30","1598","0","0","30.23","30.23","100","","","0","66.67","33.33","","59.92","22.45","42.97","38.52","62.57","42.97","4.1","60.29"
"Duval","Texas","48131","11194","South Texas","0.9368","0.7984","0.9802","0.9605","0.8063","36.4","25.66","17.32","0","1.37","89.25","9.3","8.57","4.63","6","23.1","21.93","33.72","46.17","14.42","19.2","20.22","12.44","0.43","8.83","45349","","","41702","58953","19.12","","0","20.78","1.63","27.56","61800","685","29.55","30.4","30.89","5.35","3.81","24.64","4.56","5.23","19.39","41.1","18.3","15.9","15.9","18.7","24","3","20","1","3","547.95","57.01","","21.38","","","","0","0","","0","","0","0","0","","","","17.82","3.1","","","0.53","17","-","36","9","-","42.6","-","-","-","8.96","0","18","0","54","45","0","27","1706","0","0","0","0","100","0","100","54.55","45.45","0","70","54.04","27.07","27.07","27.07","64.03","27.07","3.7","58.54"
"Eastland","Texas","48133","18289","Northwest","0.502","0.4506","0.6008","0.1067","0.6719","41.5","21.15","22.35","0.34","2.33","16.68","78.76","2.72","9.79","6","16.45","10.18","25.45","49.04","27.88","15.55","7.53","6.3","0.51","4.77","41559","","","34792","42150","18.74","20.45","25.84","33.91","15.84","14.01","82600","653","14.8","31.05","34.91","12.04","7.21","15.39","5.36","8.28","16.71","37.5","14.4","16.3","19.9","23.2","15","2","15","1","1","528.85","69.75","21.8","19.62","","","","","","","","","","0","0","","","","","14.5","11","1.48","","","38.7","38","16","11.1","44.2","33.2","5.5","-","27.23","5","5","0","44","22","0","38","2947","5","33","0","0","97.37","75","75","52.17","30.43","17.39","50.41","20.03","1.97","26.68","9.64","54.16","34.32","1.14","16.08"
"Ector","Texas","48135","162067","West Texas","0.83","0.83","0.6838","0.8696","0.7352","30.6","30.3","9.58","1.14","4.8","61.61","31.26","8.84","4.76","4","7.81","18","13.79","33.76","38.08","18.55","9.61","4.84","0.45","6.58","63096","92727","47329","58139","73010","13","7.66","15.7","15.21","8.76","11.2","147900","1073","23.45","30.15","29.79","11.72","4.89","12.99","3.34","3.68","20.16","39.4","11.9","19.2","17.4","20.8","16","3","17","1","1","654.31","62.05","34.3","15.42","7.28","","0","","","","9.25543139565735","0","","6.1702875971049","8.02137387623637","","","6.66","15.54","41.2","11","5.22","5.94","17","51.8","73","28","22.9","15.2","30","4.6","1.5","46.32","0","0","0","0","6","3","6","472","1","15","0","0","93.26","100","100","50","46.3","3.7","68.43","16.76","3.08","3.08","3.1","114.87","3.1","31.48","3.67"
"Edwards","Texas","48137","1944","South Texas","0.4506","0.5771","0.8538","0.6798","0.0356","40.7","21.3","24.13","0","0.05","52.11","47.79","3.68","6.08","6","24.27","17.03","38.12","52.73","6.44","36.57","4.25","0","0.46","0","40643","","","40675","40179","10.24","","","2.48","18.68","7.12","71800","627","23.14","28.75","29.9","15.07","3.15","22.49","9.98","3.15","20.99","40.3","21.2","13.1","19.1","20.2","11","1","11","0","2","","","","","","","","","","","","","","","","","","","","0.6","","","0.1","10","101.8","0","0","-","50.9","-","-","-","51.76","0","0","0","0","0","0","0","0","0","0","0","0","0","","","0","0","100","","58.65","2.11","43.53","43.51","100.35","43.53","24.74","70.34"
"El Paso","Texas","48141","836915","Upper Rio Grande","0.1937","0.1621","0.3597","0.4822","0.2095","32.4","27.18","12.18","1.27","3.22","82.68","11.75","22.01","7.78","3","10.36","12.82","14.22","24.73","45.45","25.6","4.22","6.9","0.47","6.21","48292","58581","54656","44100","66229","19.49","12.28","12.3","21.13","11.05","20.08","126500","855","21.05","23.16","31.77","16.07","7.95","20.3","5","5.31","20.52","37","15.7","16.6","14.4","19.5","16","2","15","1","2","531.76","36","12.86","10.86","3.5","1.67281026149609","","3.94305275924078","1.91178315599553","","8.84199709647933","","1.19486447249721","3.4651069702419","3.82356631199106","5.61586302073687","0.5","7.62","13.62","27","","","20.68","14","60","83","27","33.8","17.8","58.9","24.9","5.2","97.47","1","4","0","0","4","1","3","168","0","0","1.31","0.95","96.39","94.44","61.11","60.73","37.44","1.83","79.6","2.62","2.07","2.67","7.1","7.96","3.09","1.37","4.17"
"Ellis","Texas","48139","179484","Metroplex","0.9526","0.9526","0.83","0.9447","0.8538","36.4","26.65","12.81","0.72","10.48","26.61","59.56","2.55","7.59","2","4.93","9.35","8.16","24.26","28.1","33.78","13.86","2.82","0.41","3.49","79834","97917","65120","66622","88567","8.09","3.14","15.01","11.53","5.45","7.56","214500","1104","13.39","27.42","33.91","17.23","8.05","9.54","5.33","4.55","15.67","35","11.2","18.5","16.9","21.5","18","4","20","1","2","723.98","40.42","16.81","13.14","4.34","","0","","","0","","","","","","","","4.12","10.91","30.8","","","","","62","50","18","36.4","15.2","94.6","26.7","1.1","66.01","1","0","0","2","4","2","8","511","0","0","0.52","0.52","98.64","66.67","100","57.41","35.19","7.41","60.61","5.11","5.38","5.38","9.78","25.53","5.51","7.09","8.66"
"Erath","Texas","48143","42226","Metroplex","0.3834","0.5178","0.0356","0.2174","0.7945","30.8","20.72","13.91","0.99","1.67","21.29","74.02","2.47","7.61","5","5.45","11.68","10.49","56.2","22.9","14.44","6.45","4.98","0.47","4.96","55383","74063","","47057","56863","16.5","0.65","40.44","21.01","14.44","7.81","166300","951","12.8","25.93","28.3","22.23","10.74","9.34","4.32","6.59","14.86","31.9","10.2","19.6","16.3","23.3","16","3","19","1","1","503.14","52.83","27.36","12.74","","","","","0","0","","","0","","","","","","8.49","35.2","","","","","56.7","42","16","37.8","35.4","85","11.8","-","100.71","0","0","2","9","5","7","14","1291","0","0","0","0","85.26","100","33.33","78.57","21.43","0","81.62","25.81","2.4","3.79","3.79","62.56","2.4","2.48","19.58"
"Falls","Texas","48145","17281","Central Texas","0.8893","0.9091","0.4743","0.6482","0.9684","41","21.24","18.74","0.64","23.49","23.52","50.86","1.26","9.19","3","24.5","12.23","29.11","24.59","27.43","40.99","6.99","10.12","0.5","8.11","36854","","23150","30372","50049","25.02","0","35.2","37.79","15.55","18.01","76900","552","22.55","34.92","30.1","8.98","3.44","19.86","5.11","9.62","14.63","40.5","16.2","15.4","22.5","22.7","16","4","16","1","2","815.22","53.11","23.09","11.55","","0","","0","0","","0","0","","","","","","","12.7","27.4","","","","","12.2","52","17","6.1","18.3","-","-","-","11.56","0","0","0","35","17","0","46","4097","6","289","5.79","5.79","100","100","100","84.21","15.79","0","46.1","22.21","1.88","20.11","7.21","27.76","14.44","1.79","20.4"
"Fannin","Texas","48147","35046","Metroplex","0.1897","0.3557","0.0514","0.1225","0.3636","41","21.17","18.62","0.56","5.69","11.6","78.41","0.82","9.47","6","11.61","14.95","20.52","28.17","24.49","29.82","17.52","3.47","0.47","4.66","57898","63264","24643","49196","60773","12.49","30.53","32.95","24.86","10.14","11.84","139200","859","14.44","36.04","31.59","12.19","5.75","12.53","7.8","5.92","17.51","35.2","12.9","18","20.5","22.4","18","4","19","1","2","658.31","71.92","33.68","23.97","","0","","","0","0","","","0","","","","","","13.13","18.4","","","1.58","14","28.8","39","22","31.7","8.6","40.3","54.7","-","98.55","0","6","0","23","9","0","31","1963","0","0","5.57","2.78","98.31","50","75","63.16","31.58","5.26","73.73","24.88","9.63","9.63","9.63","36.62","23.54","1.66","24.95"
"Fayette","Texas","48149","25247","Capital","0.1067","0.0593","0.1383","0.2846","0.3241","48.1","20.27","25.39","0.49","6.4","21.36","70.88","1.21","7.8","6","21.63","8.28","30.27","46.81","29.97","12.41","10.81","4.77","0.45","4.09","62872","223450","13382","56600","65110","11.23","3.28","33.1","14.6","8.42","7.46","193200","804","10.88","39.5","27.29","16.3","6.03","6.52","8.13","6.37","10.56","36.1","14.6","15.7","16.6","21","17","2","15","1","1","400","66.32","27.63","11.05","","0","","0","0","","0","","0","","","0","","","7.89","63.2","","","1.24","15","45.4","31","20","30.2","11.3","41.6","3.8","3.8","27.62","0","0","0","24","16","8","12","1026","0","0","0","0","93.9","50","75","66.67","28.57","4.76","57.71","20.17","5.37","31.05","12.04","56.7","10.71","4.04","20.59"
"Fisher","Texas","48151","3827","Northwest","0.0316","0.0356","0.2846","0.3478","0.0237","44.5","21.45","22.21","0.31","3.06","27.31","66.58","3.82","10.05","6","18.08","10.8","21.96","47.29","22.47","25.21","5.03","4.47","0.43","2.62","52683","","","41371","55505","12.4","0","64.04","13.76","8.59","9.73","63900","621","11.05","35.21","33.42","14.86","5.45","12.65","6.8","8.42","10.39","37.3","14.5","16.2","16.4","20.6","13","1","17","0","1","","72.97","","","","","","","","","","","","","","","","","","3.1","12","0.09","","","75.4","106","0","-","-","-","-","-","","0","0","0","131","0","0","78","3057","0","0","0","0","100","","","50","33.33","16.67","","45.15","6.01","21.61","6.01","44.75","21.61","1.84","46.69"
"Floyd","Texas","48153","5782","High Plains","0.668","0.502","0.8775","0.8063","0.3162","36.5","26.88","18.78","0.07","5.15","58.65","36.75","5.4","7.02","6","12.96","18.96","22.85","48.25","23.06","21.35","7.34","7.1","0.41","2.82","52714","","","44715","66172","15.25","0","40.94","19.57","6.89","19.87","70300","710","24.85","29.63","29.84","11.13","4.55","18.62","6.38","3.69","23.3","38.4","16.2","15.7","17.5","20.5","15","2","14","1","1","","65.53","","","","","","","","","","","","","","","","","","28.6","","","","","105.5","35","35","17.6","35.2","17.6","17.6","-","","0","0","0","35","52","17","35","899","0","0","0","0","93.75","100","100","18.18","36.36","45.45","46.15","44.85","0.78","22.72","6.48","43.76","6.48","0.78","42.47"
"Foard","Texas","48155","1207","Northwest","0.3676","0.6996","0.1502","0.2925","0.2372","55.1","17.81","33.97","0","0.17","22.62","70.42","4.52","7.66","6","13.36","12.57","23.97","54.47","27.83","10.34","7.36","8.06","0.51","8.92","39306","","","","45750","9.54","","","14.29","5.07","11","48500","489","18.76","28.81","39.66","9.49","3.28","13.31","12.54","2.3","14.51","36.7","17","14.3","19.3","22.3","17","2","17","1","2","","","","","","","","","","","","","","","","","","","","51.7","9","0.35","","","-","88","0","-","-","-","-","-","","0","0","0","166","0","0","83","6628","0","0","0","0","100","0","0","33.33","33.33","33.33","50","47.8","1.17","39.58","21.16","84.15","25.25","1.14","69.24"
"Fort Bend","Texas","48157","790892","Gulf Coast","0.1502","0.1304","0.2253","0.8419","0.1067","36.5","27.48","11.1","20.85","20.1","24.57","32.2","5.52","4.58","2","3.03","3.6","4.96","13.73","27.69","45.81","12.77","2.42","0.43","5.6","100189","120642","80267","75207","119337","7.5","5.49","9.05","12.21","4.26","6.37","277600","1474","9.25","17.83","26.45","27.76","18.71","8.63","4.57","3.2","12.26","31.3","11.6","15.8","13","16.8","14","3","13","1","1","514.26","25.47","6.94","10.24","4.38","2.52879027730714","0","2.78166930503786","1.89659270798036","","5.94265715167178","","1.89659270798036","2.52879027730714","3.03454833276857","3.66674590209536","0.41","4.03","7.35","20.7","","","","","67.4","79","20","64.4","17.8","72.3","27.7","7","74.04","1","0","0","0","3","1","2","90","0","5","0.83","0.83","98.3","77.78","77.78","54.46","39.6","5.94","75.67","4.56","2.75","3.33","8.35","16.89","3.55","6.7","4.08"
"Franklin","Texas","48159","10767","Upper East","0.087","0.1502","0.3281","0.1265","0.087","42.4","23.86","21.84","0","4.41","14.92","78.16","1.16","8.09","6","8.41","8.33","13.41","37.46","28.61","23.82","10.11","1.52","0.44","6.44","59632","","","58577","60725","8.23","","10.04","1.93","9.42","7.85","144300","840","9.44","24.96","35.31","22.48","7.8","12.99","7.73","5.15","15.49","34","12","17.4","15.2","21.2","19","5","17","1","2","","46.57","29.8","20.49","","0","","0","","","","","0","","","","","","","28.3","7","0.08","0.53","15","27.3","9","18","9.1","27.3","63.8","-","-","37.3","0","0","0","19","19","0","37","1746","0","0","0","0","100","","","85.71","14.29","0","","15.21","4.43","13.01","4.43","15.14","13.01","4.64","47.1"
"Freestone","Texas","48161","19744","Central Texas","0.5178","0.3162","0.7115","0.3597","0.6877","40.8","22.67","19.87","0.84","14.48","15.89","65.82","1.9","8.27","6","13.93","15.99","29.31","38.85","24.62","26.75","9.79","3.99","0.45","3.33","52232","","32321","52794","62851","16.26","29.7","27.41","27.1","11.29","14.62","116800","722","18.24","31.77","35.22","10.69","4.08","18.83","6.19","6.95","13.27","38.2","15.2","16.5","21.1","21.9","18","3","17","1","2","686.27","66.9","32.44","24.33","","","","0","0","0","0","","0","0","0","","","","10.14","12.1","11","1.36","0.9","18","30.2","50","10","10.1","-","10.1","-","-","15.22","0","0","0","25","0","5","25","1707","0","0","5.03","5.03","94.44","100","100","64.29","21.43","14.29","85.15","32.37","2.12","18.77","18.77","76.56","19.21","2.52","20.01"
"Frio","Texas","48163","20013","Alamo","0.9447","0.8775","0.8142","0.9328","0.9289","31.7","23.43","12.11","0.96","4.02","79.57","15.24","14.23","3.73","6","24.99","17.12","33.47","52.84","28.93","10.45","7.77","11.53","0.51","7.46","48708","52757","","47821","63056","19.65","13.41","100","18.89","24.39","21.42","86000","807","35.09","33.7","23.02","4.22","3.98","21.03","6.71","2.77","19.39","39.4","14.1","18.8","18.2","18.9","15","2","13","1","1","506.33","39.37","20.19","10.1","","0","0","","","","","","0","0","0","","","","","9.4","12","0.52","","","43.6","54","29","24.2","4.8","9.7","43.6","4.8","29.55","0","15","0","25","0","0","10","809","0","0","4.91","4.91","91.43","100","100","71.43","21.43","7.14","79.33","37.85","1.03","35.59","6.18","52.11","2.71","1.22","14.3"
"Gaines","Texas","48165","21077","West Texas","0.7352","0.6285","0.7866","0.5889","0.7194","28.1","35.77","8.99","0.84","2.1","41.74","55.22","13.39","3.66","6","14.92","13.95","17.71","55.61","19.05","15.05","10.3","5.63","0.44","3.81","62994","","","44974","70897","14.52","0","44.23","19.97","10.87","6.96","141200","659","38.22","32.34","18.99","7.38","3.07","15.8","4.79","2.33","29.95","35.9","12.1","19.7","22","23.2","15","1","13","0","1","432.8","51.18","26.54","","","","","","","","0","","","","","0","","","","10.7","","","1.03","20","34.6","23","5","13","13","8.6","-","-","9.31","0","0","0","14","0","5","14","432","0","0","4.55","4.55","96.77","0","0","37.5","25","37.5","67.24","29.06","3.48","27.06","3.48","72.71","3.48","3.4","60.38"
"Galveston","Texas","48167","337600","Gulf Coast","0.3399","0.2925","0.3083","0.5455","0.415","37.7","24.27","14.33","3.39","12.68","24.95","56.74","2.79","8.34","2","6.28","8.58","9.15","24.24","36.02","29.82","9.92","4.99","0.46","5.9","74633","1e+05","45831","60297","86165","10.95","8.07","18.28","15.85","7.59","11.23","212600","1106","10.42","24.59","32.87","21.23","10.89","10.78","4.83","5.06","13.02","35.9","12","17.4","16.3","20.8","17","3","17","1","2","588.38","45.87","15.39","15.92","7.93","5.62796208530806","0","6.81279620853081","7.70142180094787","","14.8104265402844","0","3.85071090047393","10.3672985781991","11.2559241706161","9.77488151658768","0.95","9.88","18.35","41.2","","","","","66.4","98","30","42.3","24.1","59.6","22.8","6.5","114.57","1","2","1","0","4","1","6","408","1","19","1.74","1.74","98.25","100","33.33","60.24","36.14","3.61","70.91","4.26","3.65","3.67","5.73","5.73","4.5","2.51","6.32"
"Garza","Texas","48169","6028","High Plains","0.4704","0.5731","0.1462","0.7866","0.4308","42.8","13.84","15.3","2.22","9.41","49","38.93","4.44","4.62","6","7.53","17.69","16.46","65.8","4.91","20.57","8.72","3.91","0.38","8.93","58938","","","37212","64611","21.61","0","46.95","34.01","9.69","16.7","78200","703","35.02","31.36","21.33","8.2","4.1","12.64","5.43","10.33","9.52","39.2","12.9","20.3","20.2","20","17","1","17","1","3","","31.25","","","","","","","","","","","","","","","","","","2","17","1.2","0.21","12","-","16","0","14.6","29.2","58.4","14.6","-","","0","0","0","33","0","0","33","1593","0","0","16.07","16.07","100","","","66.67","0","33.33","","35.53","0.71","37.24","25.54","39.63","22.84","0.71","38.31"
"Gillespie","Texas","48171","26668","Alamo","0.3241","0.3518","0.3083","0.2134","0.4822","50.1","19.98","29.32","0.31","0.09","23.62","74.18","2.4","7.8","5","10.51","8.22","14.02","50.31","25.72","17.26","6.7","5.39","0.46","4.29","61445","","","60446","61134","10.8","0","100","22.24","7.24","4.93","311300","993","10.31","29.97","25.57","23.83","10.32","7.33","9.66","7.42","19.91","33.7","13.4","15.1","13.9","19.9","13","2","16","1","1","544.75","82.14","26.88","23.15","","","","","0","0","","","","","","","","","8.96","72","","","1","17","124.4","48","26","67.8","18.8","56.5","37.7","3.8","92.63","4","0","0","0","7","7","19","1222","0","0","0","0","97.1","100","50","85.71","14.29","0","57.09","2.96","3.03","3.03","3.03","56.37","3.03","28.83","26.76"
"Glasscock","Texas","48173","1447","West Texas","0.1621","0.4229","0.3557","0.4625","0.0198","36.6","19.28","11.68","0","0","38.29","60.26","7.13","2.31","5","6.9","16.78","11.72","49.83","18.81","25.08","6.27","0","0.45","0","74375","","","34688","126000","16.59","","","27.08","10.32","11.03","303300","920","30.7","22.78","21.07","18.07","7.38","8.22","8.98","4.15","21.91","37.8","13.7","18","19.9","21.8","11","0","11","0","0","","","","","","","","","","","","","","","","","","","","","11","0.43","0.06","10","-","0","0","-","-","-","-","-","","0","0","0","0","0","0","0","0","0","0","0","0","0","","","0","0","0","","35.45","25.06","27.51","27.51","68.6","25.31","25.06","34.1"
"Goliad","Texas","48175","7578","Alamo","0.2411","0.17","0.2213","0.5217","0.4269","46.3","21.19","23.88","0.41","6.18","36.03","57.84","5.46","8.39","4","22.36","12.89","30.14","28.03","14.64","45.5","11.84","9.89","0.5","4.23","50000","","","30407","69635","11.96","0","18.03","17.66","7.84","14.89","129000","513","17.74","25.18","41.15","11.77","4.17","12.49","12.07","4.62","9.83","37.9","15.8","15.8","17.8","21.5","20","3","16","1","4","882.35","76.42","39.53","","","","","0","0","0","0","","","0","0","0","","","","4.7","","","0.37","13","-","13","0","12.8","12.8","63.9","-","-","26.12","0","0","0","26","0","0","13","792","0","0","0","0","100","100","100","33.33","33.33","33.33","68.89","24.36","5.15","5.15","22.12","66.16","22.12","5.06","23.74"
"Gonzales","Texas","48177","20828","Alamo","0.8379","0.4111","0.9407","0.7628","0.9051","36.7","26.99","16.71","0.4","6.87","51.14","41.22","7.66","5.91","6","15.49","21.49","20.67","42.61","23.23","20.02","14.14","6.72","0.47","2.56","58210","","38750","60424","59536","13.09","28.79","32.3","14.49","8.17","15.51","113700","773","23.84","43.47","20.25","8.6","3.85","18.4","6.99","2.58","18.01","40.3","15.2","16.4","18.9","20.9","15","2","13","1","1","395.68","69.94","29.7","15.33","","","","0","","","","","","","","","","","13.41","13.7","","","","","46.2","29","29","13.9","18.5","32.4","-","-","33.59","0","10","0","29","10","0","14","1373","0","0","4.77","4.77","100","100","100","76.47","11.76","11.76","76.42","37.84","5.47","23.52","5.47","56.54","5.47","0.72","30.01"
"Gray","Texas","48179","22063","High Plains","0.5692","0.7194","0.4229","0.415","0.4506","36.3","25.4","16.08","0.34","4.88","29.42","62.69","6.13","7.12","5","10.66","15.42","20.8","64.04","16.06","13.16","6.75","4.88","0.48","5.14","54679","","35348","52821","58930","16.53","0","17.32","26.55","12.03","14.73","79800","740","20.27","32.14","32.49","10.61","4.49","15.72","4.41","4.84","20.8","38.8","13.9","17.9","20.8","22.2","17","2","16","2","2","685.92","62.41","23.51","18.09","","","","","","","","","","","","","","","9.95","67.8","","","1.03","19","40.5","69","9","20.2","4","28.3","4","-","22.85","0","0","0","5","18","5","18","1219","5","73","9.23","9.23","100","100","66.67","66.67","33.33","0","53.3","56.8","1.7","1.7","1.7","59.39","1.7","20.54","59.2"
