"County.Name","2013","2014","2015","2016","2017"
"Kerr",383.06,532.11,518.52,476.19,733.94
"Kimble",NA,NA,0,NA,NA
"King",NA,NA,NA,NA,NA
"Kinney",NA,0,NA,NA,NA
"Kleberg",321.29,375.78,574.71,504.81,525
"Knox",NA,NA,NA,NA,0
"La Salle",NA,NA,NA,NA,769.23
"Lamar",430.11,332.41,529.41,374.25,369.18
"Lamb",615.38,703.52,752.69,NA,481.93
"Lampasas",629.92,483.87,593.61,733.94,426.54
"Lavaca",555.56,537.19,389.61,258.62,570.18
"Lee",439.56,535.71,336.54,NA,315.79
"Leon",459.18,634.15,516.43,528.85,422.54
"Liberty",473.98,573.01,476.61,548.95,599.82
"Limestone",472.73,380.12,714.29,NA,722.02
"Lipscomb",0,0,NA,NA,0
"Live Oak",NA,NA,751.88,NA,962.96
"Llano",NA,559.01,617.98,479.04,875
"Loving",NA,NA,NA,NA,NA
"Lubbock",586.67,693.89,919.93,691.44,707.88
"Lynn",NA,NA,NA,NA,789.47
"Madison",NA,602.41,551.72,440.25,434.78
"Marion",571.43,919.54,NA,NA,NA
"Martin",707.07,588.24,645.16,761.9,864.2
"Mason",NA,NA,0,NA,NA
"Matagorda",498.08,524.48,412.76,362.32,396.4
"Maverick",439.56,392.83,460.87,456.24,372.44
"McCulloch",NA,NA,NA,NA,NA
"McLennan",645.62,646.94,714.69,735.03,761.63
"McMullen",NA,NA,NA,NA,NA
"Medina",511.36,448.5,615.38,626.06,591.13
"Menard",NA,NA,NA,NA,NA
"Midland",603.48,537.86,649.74,818.65,718.84
"Milam",863.79,813.25,625,521.17,454.55
"Mills",NA,NA,0,0,NA
"Mitchell",NA,NA,NA,0,727.27
"Montague",765.77,409.09,506.33,NA,379.15
"Montgomery",587.61,579.71,527.68,634.96,658.36
"Moore",318.91,522.57,617.85,460.53,491.8
"Morris",445.86,419.58,869.57,902.78,653.59
"Motley",NA,NA,NA,NA,NA
"Nacogdoches",466.44,507.9,417.15,434.78,353.98
"Navarro",532.54,520.83,391.57,668.52,544.41
"Newton",503.6,NA,661.76,461.54,NA
"Nolan",502.28,474.14,539.22,439.02,421.05
"Nueces",480.91,421.83,552.26,689.22,856.57
"Ochiltree",331.49,NA,NA,410.26,476.19
"Oldham",0,NA,0,NA,NA
"Orange",493.93,422.3,542.32,402.5,476.19
"Palo Pinto",689.66,470.91,509.92,535.71,666.67
"Panola",600,477.82,349.65,410.45,340.91
"Parker",739.88,583.68,741.24,632.33,493.99
"Parmer",NA,416.67,NA,526.32,NA
"Pecos",375,308.37,492.61,306.12,505.62
"Polk",516.25,378.95,284.7,386.85,391.75
"Potter",622.59,497.34,463.2,669.14,619.16
"Presidio",NA,489.51,925.93,NA,NA
"Rains",NA,NA,882.35,705.88,NA
"Randall",716.4,510.78,401.92,731.71,612.9
"Reagan",NA,NA,NA,NA,NA
"Real",NA,NA,NA,NA,NA
"Red River",509.55,708.66,NA,NA,NA
"Reeves",824.74,298.51,388.35,619.05,434.78
"Refugio",NA,645.16,606.06,681.82,823.53
"Roberts",NA,NA,NA,NA,NA
"Robertson",676.33,638.3,616.11,721.15,422.54
"Rockwall",616.65,802.03,755.08,679.25,766.9
"Runnels",NA,NA,714.29,NA,NA
"Rusk",387.1,468.75,468.02,304.05,527.21
"Sabine",NA,NA,NA,576.92,NA
"San Augustine",NA,NA,NA,NA,NA
"San Jacinto",316.9,422.54,319.15,564.78,405.41
