"","County Code","ACS5Y2020_Hispanic_Percent","ACS5Y2020_Poverty_Percent","ACS5Y2020_GINI_Index","ACS5Y2020_Highschool_Percent","ACS5Y2020_GED_Percent","ACS5Y2020_Bachelors_Percent","ACS5Y2020_Masters_Percent","ACS5Y2020_Professional_Percent","ACS5Y2020_Doctorate_Percent","ACS5Y2020_SNAP_Percent","ACS5Y2020_Unemployment_Percent","ACS5Y2020_Median Household Income"
"Calhoun County, Texas","057",0.491429902189101,0.100769702979648,0.4052,0.251918515417888,0.0572764057485698,0.111413422631506,0.0501604576531324,0.00258127528952142,0.0109529789312125,0.151613305095303,0.0430218389727247,57170
"Callahan County, Texas","059",0.0982162045991833,0.0926568372361954,0.4175,0.27205292702486,0.0760825982357658,0.169306335204491,0.0423015236567763,0.0066158781074579,0.006214915797915,0.0878629932985853,0.0422670509125841,51955
"Cameron County, Texas","061",0.898328733698935,0.266815902707011,0.4754,0.219681952514023,0.0414306105627149,0.125707163104883,0.0418286725236726,0.00867292575541304,0.00531553446854707,0.236224875559196,0.0563090385378278,41200
"Camp County, Texas","063",0.254444272685114,0.200543900543901,0.4615,0.274449443523561,0.0594364196069145,0.144091877811982,0.053516457494672,0.011011129528771,0.0101823348330571,0.171748878923767,0.0645218945487042,49539
"Carson County, Texas","065",0.102232667450059,0.0855263157894737,0.3824,0.246844660194175,0.0516990291262136,0.192233009708738,0.0839805825242718,0.00145631067961165,0.00145631067961165,0.0355917667238422,0.0158940397350993,74246
"Cass County, Texas","067",0.0469635357642824,0.175291532871388,0.4491,0.356727099236641,0.0699904580152672,0.127242366412214,0.0392652671755725,0.0071087786259542,0.00949427480916031,0.151396087610767,0.0814545454545455,47539
"Castro County, Texas","069",0.648062425605079,0.118417535418337,0.4437,0.262491957966974,0.0806347844735149,0.123740081492601,0.0272356851812138,0,0.0135106154835943,0.133750488854126,0.0149543062863473,49900
"Chambers County, Texas","071",0.231847971623875,0.14377677324687,0.4417,0.223515457039069,0.042108384609682,0.148899102972793,0.0517087997627697,0.0196456371858551,0.00455927051671732,0.0687648955558671,0.070643494598403,95989
"Cherokee County, Texas","073",0.23436693987505,0.146137488242751,0.4386,0.239959136018681,0.0752189141856392,0.115265615878576,0.0441914769410391,0.00604203152364273,0.00884413309982487,0.14789644012945,0.0649281767955801,50199
"Childress County, Texas","075",0.350464053192963,0.144201740365832,0.4394,0.2472359893252,0.130003812428517,0.148494090735799,0.0213495996950057,0.0152497140678612,0.00247807853602745,0.0987868284228769,0.0780365009439899,43564
"Clay County, Texas","077",0.0653006510915358,0.122019499951733,0.4172,0.290715971675846,0.0578284815106216,0.171911880409127,0.0536323105166536,0.00563860477314451,0.004982953055337,0.113729261841789,0.0276478959138036,63125
"Cochran County, Texas","079",0.591258741258741,0.271216407355021,0.4703,0.292021276595745,0.0537234042553192,0.0627659574468085,0.0148936170212766,0.00478723404255319,0,0.174463937621832,0.0935412026726058,41000
"Coke County, Texas","081",0.220436628259551,0.124803025527892,0.4325,0.287212585720048,0.045582896329165,0.137958854376765,0.0657523194836628,0.00968132311415893,0.00847115772488907,0.0775384615384615,0.0229265003371544,45072
"Coleman County, Texas","083",0.177031759449342,0.147066014669927,0.479,0.302024560238965,0.059077331563226,0.117324925323598,0.0356787255227348,0.00995685363425158,0.00564221705940923,0.0942153493699885,0.0579017264276228,46948
"Collin County, Texas","085",0.153469352052308,0.0625559267061457,0.4324,0.125383338894987,0.0193756955213333,0.337816882161888,0.150946814984153,0.0268001262319315,0.0167181811730208,0.0274179540638941,0.0399620887007527,100541
"Collingsworth County, Texas","087",0.317795168424634,0.201879568395405,0.5497,0.187008905185961,0.0303823991618649,0.182294394971189,0.0282870612886328,0.00733368255631221,0.00523834468308015,0.224489795918367,0.0583684950773558,41202
"Colorado County, Texas","089",0.302242824366718,0.100891915220102,0.4653,0.341627858483353,0.0392715646069368,0.141030096615,0.0289149927017446,0.0147355251268506,0.00604712587752832,0.0775329212577264,0.0388277613203555,52663
"Comal County, Texas","091",0.277281243075188,0.0766170231481795,0.4425,0.213905800655952,0.0403862615537025,0.246597608948649,0.103769320291235,0.0184570697598369,0.0103490396360524,0.0438573993331624,0.0402952379623558,80781
"Comanche County, Texas","093",0.283003603736118,0.145696860176192,0.4284,0.261254764602864,0.06582878335222,0.143504687339034,0.0468733903368703,0.00329659008962604,0.00762336458226022,0.0919497784342688,0.0614410134600158,54889
"Concho County, Texas","095",0.401259111994698,0.175267770204479,0.4399,0.231896190874843,0.073252406864797,0.106739221431561,0.0251151109250733,0,0,0.0821917808219178,0.0135970333745365,53333
"Cooke County, Texas","097",0.182447808449589,0.128430629264594,0.4353,0.251964779508077,0.0563236792315529,0.147285693494397,0.0469363993596274,0.0143356134478242,0.00909620142628438,0.0972955569864778,0.0404085039524721,62733
"Coryell County, Texas","099",0.187480152429343,0.114552573078072,0.4069,0.191794850359472,0.0860642033104832,0.112376692860726,0.0493437552248788,0.00374101320849356,0.00376191272362481,0.108941049991041,0.0665561345333965,54712
"Cottle County, Texas","101",0.192733990147783,0.230295566502463,0.4961,0.220450281425891,0.050656660412758,0.118198874296435,0.0656660412757974,0.00187617260787992,0.00281425891181989,0.250355618776671,0.0807692307692308,40250
"Crane County, Texas","103",0.649715129774214,0.0434971726837756,0.4308,0.29936974789916,0.0668767507002801,0.0983893557422969,0.0210084033613445,0.0136554621848739,0,0.0253333333333333,0.0288506281991624,54596
"Crockett County, Texas","105",0.621868552903036,0.178871548619448,0.373,0.43140428976123,0.0433023067583974,0.0526102792391744,0.0441116956697693,0,0,0.0731707317073171,0,46695
"Crosby County, Texas","107",0.562662958456458,0.20882612533098,0.5183,0.244527495995729,0.0830218900160171,0.113187399893219,0.0312333155365723,0.00293646556326749,0.00133475707421249,0.232558139534884,0.0525542080117604,42470
"Culberson County, Texas","109",0.831882730187815,0.32277318640955,0.3905,0.305790960451977,0.0176553672316384,0.149011299435028,0.000706214689265537,0.00564971751412429,0.00918079096045198,0.251497005988024,0.0926829268292683,34853
"Dallam County, Texas","111",0.463971397139714,0.149434910004186,0.4951,0.212231030577576,0.072480181200453,0.13272933182333,0.034881087202718,0,0.00249150622876557,0.098122866894198,0.0305240410588871,58956
"Dallas County, Texas","113",0.402286022372927,0.145803714894677,0.4909,0.192154249406079,0.0333627601352012,0.204481490462574,0.085703139497863,0.0235398604707142,0.0111147935785936,0.106379942409904,0.0502142259921761,61870
"Dawson County, Texas","115",0.580434275040859,0.226392801963101,0.5129,0.256359594961719,0.0801432452457397,0.116325018523092,0.0206223758952828,0.00530995307483329,0.00234625833539145,0.146049661399549,0.0727790201260419,40469
"Deaf Smith County, Texas","117",0.735295697480797,0.138338414634146,0.392,0.301661190215407,0.0760313983205549,0.0852500912741877,0.0214494341000365,0.00629791894852136,0.0070281124497992,0.157773005121427,0.0328697850821745,49790
"Delta County, Texas","119",0.0828122039037332,0.161840843720038,0.4545,0.266574202496533,0.072122052704577,0.139805825242718,0.0679611650485437,0.00110957004160888,0.0072122052704577,0.0977734753146176,0.0455729166666667,49868
"Denton County, Texas","121",0.193648527892862,0.0743949587649869,0.4296,0.149509730742684,0.0265885233262086,0.307795658794375,0.118730691751218,0.0177965193780614,0.0132424510125909,0.0446662341766888,0.0386111145260898,90354
"DeWitt County, Texas","123",0.356680021763862,0.179040017493986,0.5028,0.306939688308058,0.0928087217834929,0.0914808861555664,0.0215948004752254,0.00580054511146831,0.00321475994129569,0.120621427524549,0.067475360121304,53815
"Dickens County, Texas","125",0.295142071494042,0.152771084337349,0.4957,0.281577325939618,0.0517560073937153,0.113986444855206,0.0480591497227357,0.0141712877387554,0.00985828712261245,0.111498257839721,0.0632911392405063,41141
"Dimmit County, Texas","127",0.873534010946052,0.426015617277849,0.4948,0.208978328173375,0.0962848297213622,0.0808049535603715,0.0521671826625387,0.0108359133126935,0.00464396284829721,0.231277533039648,0.0794557823129252,25996
"Donley County, Texas","129",0.112752487187217,0.124543341082697,0.4196,0.246600181323663,0.0480507706255666,0.128286491387126,0.0462375339981868,0.00498640072529465,0.0013599274705349,0.0342261904761905,0.0161707632600259,51875
"Duval County, Texas","131",0.892531713417902,0.191204051012753,0.4304,0.262331838565022,0.0416199551569507,0.0535313901345291,0.0368553811659193,0.00126121076233184,0,0.27560904021133,0.0882541036026434,45349
"Eastland County, Texas","133",0.166766909071026,0.187428045130094,0.5147,0.243807248108323,0.0666666666666667,0.120350457984867,0.0498606133014735,0.0116288331342095,0.0105933890880127,0.140088356847656,0.0477386934673367,41559
"Ector County, Texas","135",0.616121727433716,0.130002680981863,0.4511,0.2269533590957,0.0745903163811453,0.117191213242132,0.036349734454754,0.00817300737740489,0.00433964993490525,0.111954777806798,0.0657796845551037,63096
"Edwards County, Texas","137",0.521090534979424,0.102378490175801,0.4587,0.218293620292083,0.0691775557263643,0.15065334358186,0.0315142198308993,0,0,0.071156289707751,0,40643
"El Paso County, Texas","141",0.826750625810267,0.194860099692356,0.4669,0.173466053632693,0.0581079188741335,0.160738597023518,0.0591328836713578,0.012159544425514,0.008248340996258,0.200776870738356,0.0621195018596991,48292
"Ellis County, Texas","139",0.266084999219986,0.0808617132808008,0.4116,0.224970848628806,0.0491816022457353,0.172334269056359,0.0666551500755776,0.00893111638954869,0.00492334269056359,0.0756073334567922,0.0349334139129309,79834
"Erath County, Texas","143",0.21290200350495,0.16504902692748,0.47,0.202932193036042,0.0563632661372429,0.222317246996538,0.0834453268173488,0.0122989207900631,0.0116880472408878,0.0781041856551918,0.0495852275390167,55383
"Falls County, Texas","145",0.235229442740582,0.250225370251127,0.5023,0.297671749467126,0.0515658304640105,0.0897688145597639,0.0227906214133465,0.00573864567961961,0.0059026069847516,0.180115273775216,0.081076724693746,36854
"Fannin County, Texas","147",0.11604748045426,0.124898570626053,0.4658,0.285075597463827,0.0753129572427248,0.121890749471631,0.0467403674199317,0.00638107624776459,0.00434888635994147,0.118392381567267,0.0465560384564731,57898
"Fayette County, Texas","149",0.213609537766863,0.112269963355213,0.4509,0.355100714749838,0.0398527182152913,0.163038769763916,0.0481373186051549,0.00698505523066927,0.00519818063677713,0.0746152994575446,0.0408522627223103,62872
"Fisher County, Texas","151",0.273059837993206,0.1240452989202,0.4274,0.296486090775988,0.0556368960468521,0.148609077598829,0.0413616398243045,0.0102489019033675,0.00292825768667643,0.097255369928401,0.0262210796915167,52683
"Floyd County, Texas","153",0.586475268073331,0.152545327754533,0.4122,0.247158339941845,0.049167327517843,0.111287338091462,0.0359503039915411,0.00872323552735924,0.000793021411578113,0.198717948717949,0.0282463711259317,52714
"Foard County, Texas","155",0.226180613090307,0.0954428202923474,0.5051,0.235028248587571,0.0531073446327684,0.0949152542372881,0.0327683615819209,0,0,0.110019646365422,0.0892255892255892,39306
"Fort Bend County, Texas","157",0.245733930802183,0.0749914921440944,0.4316,0.151123365691719,0.0271775043660221,0.277606239871615,0.137183561730046,0.0249630264793342,0.0249807265690146,0.0636732326751215,0.0560124328174577,100189
"Franklin County, Texas","159",0.149159468747098,0.0822944980785453,0.4436,0.206496832457204,0.0431324976411915,0.224828143954711,0.0665857932335894,0.00202183582693085,0.00943523385901065,0.0785353535353535,0.0644061375260466,59632
"Freestone County, Texas","161",0.158883711507293,0.162589053957033,0.4527,0.246653231610767,0.0710378580682309,0.106880667914208,0.0294371671224989,0.00561393407226141,0.00575788109975529,0.146229216152019,0.0333468340758742,52232
"Frio County, Texas","163",0.795682806175986,0.196495460605676,0.5142,0.273911306432281,0.0630443467838594,0.0421893727526968,0.0250099880143827,0.00735117858569716,0.00743108270075909,0.214209287395677,0.0746089049338147,48708
"Gaines County, Texas","165",0.417374389144565,0.145227424430247,0.4405,0.25540361711513,0.0680194089104543,0.0737538597265108,0.027613586237318,0.00308778120864579,0,0.0695814903028241,0.0381346454931783,62994
"Galveston County, Texas","167",0.249534952606635,0.109450226832023,0.4643,0.196808112310749,0.0491337500495566,0.212296212111201,0.0725112658746415,0.0186156739922383,0.0177522873139424,0.112288744768538,0.0589836553450801,74633
"Garza County, Texas","169",0.490046449900464,0.216134997688396,0.379,0.23024677382839,0.0833144668326919,0.0819560787865067,0.0389404573239756,0.00181118406158026,0.000226398007697532,0.166958552247519,0.0892672858617131,58938
"Gillespie County, Texas","171",0.236238188090595,0.10801870651306,0.4564,0.260787417658173,0.0389113006178829,0.238267885410816,0.0819588418526273,0.0165960271664199,0.00464688760659756,0.0492606284658041,0.0428716984089662,61445
"Glasscock County, Texas","173",0.382861091914305,0.165860400829302,0.4542,0.21283422459893,0.0149732620320856,0.180748663101604,0.0588235294117647,0.00855614973262032,0.00641711229946524,0.110344827586207,0,74375
"Goliad County, Texas","175",0.360253365003959,0.119630670413489,0.5012,0.212346597248048,0.0394198586835255,0.117701747861659,0.0330978058757903,0.00353291186314615,0.00502045370026032,0.148943661971831,0.0423197492163009,50000
"Gonzales County, Texas","177",0.511426925292875,0.130921661229855,0.473,0.375510810610001,0.0591425811724497,0.0859647819303069,0.030165688386953,0.004309384055279,0.00401218515491493,0.155123911587408,0.0255632582322357,58210
"Gray County, Texas","179",0.294157639486924,0.165322580645161,0.4795,0.243995894628806,0.0773862470065002,0.106123845364352,0.0340745809100239,0.00896339377352036,0.00184741703729046,0.14726507713885,0.051440329218107,54679
"Grayson County, Texas","181",0.136654010050402,0.119879218744028,0.4405,0.241115315055422,0.0586283799527334,0.140768027339199,0.0472555394055056,0.00959756787644102,0.0082439224649661,0.107912502280698,0.0437163485070974,58296
"Gregg County, Texas","183",0.188897786189771,0.175518107686273,0.4699,0.231236361369163,0.0484444167342104,0.14848806035289,0.0471475777791633,0.0115717937527277,0.00442670989463183,0.142547754147356,0.0408364296206688,52027
"Grimes County, Texas","185",0.241642352444898,0.15855252409737,0.4814,0.239548772395488,0.101679342555255,0.112500638048083,0.0568118013373488,0.00872849777959267,0.00454290235312133,0.135998262003041,0.0537041896265197,56086
"Guadalupe County, Texas","187",0.382285468932098,0.0900627868414679,0.3973,0.262866419294991,0.0437105751391466,0.180890538033395,0.0801669758812616,0.00908163265306122,0.0100463821892393,0.0774726260994436,0.0449983568015775,75774
"Hale County, Texas","189",0.598362370379225,0.177771377368152,0.4385,0.250218637644544,0.0795841026139345,0.111796715576718,0.0480031095131668,0.00388689145855602,0.00821105820619959,0.158614988978692,0.0423997303673745,47500
"Hall County, Texas","191",0.346115702479339,0.18890756302521,0.4871,0.284959154252763,0.0615088899567516,0.132148005766458,0.0470927438731379,0,0.00336376741950985,0.126198083067093,0.100846262341326,40197
"Hamilton County, Texas","193",0.130305904671567,0.198662613981763,0.4907,0.303086212680309,0.0521637034552164,0.156491110365649,0.0340489768534049,0.0109023817510902,0.00419322375041932,0.0921183904223479,0.023936170212766,46893
"Hansford County, Texas","195",0.478917326459216,0.113204028347631,0.4012,0.219832735961768,0.0546594982078853,0.203703703703704,0.0229988052568698,0,0.00537634408602151,0.0672404518558365,0.109664694280079,46507
"Hardeman County, Texas","197",0.233956543708944,0.141185448995167,0.4356,0.269190691212226,0.0343869399096909,0.104897533865926,0.0364709968739146,0.018061827023272,0.00347342827370615,0.175239234449761,0.0474074074074074,47188
"Hardin County, Texas","199",0.0600983332171002,0.120423467137186,0.439,0.338171337399315,0.0574641653156283,0.13888674438354,0.0322447824184873,0.00349983272858283,0.00597030288993541,0.123843685104776,0.0393981389823797,61221
"Harris County, Texas","201",0.430846712468399,0.156064672985044,0.4962,0.192721538845652,0.0354813966249965,0.204768971543852,0.0815682591054198,0.022650228244659,0.0136499518676808,0.126408758311942,0.0617569057046573,63022
"Harrison County, Texas","203",0.132793364088539,0.16799493404998,0.462,0.266892502258356,0.050609756097561,0.139634146341463,0.0474480578139115,0.0103884372177055,0.00575880758807588,0.141940354850887,0.0606462743016389,54234
"Hartley County, Texas","205",0.268432355046528,0.080009908347783,0.3838,0.212745335594863,0.166222437606009,0.118972619336079,0.0634843712139569,0.00920765689362733,0.0193845408286891,0.0697811945594323,0.0044620723847298,53722
"Haskell County, Texas","207",0.286464717212397,0.153758107592522,0.4979,0.263461056849487,0.0733784122213874,0.0974204858502379,0.0651139494114701,0.00150262960180316,0.00250438266967193,0.162812210915819,0.0725346373268134,48955
"Hays County, Texas","209",0.394507846894676,0.12748943035158,0.4503,0.193542627585181,0.0346972176759411,0.24870554976938,0.102901353965184,0.0141422407379854,0.0200193423597679,0.0665111308065273,0.0551002312071666,68724
"Hemphill County, Texas","211",0.370417841579082,0.0920848422141749,0.5067,0.324054840049855,0.0411300373909431,0.162858329871209,0.038637307852098,0.00415454923140839,0.000830909846281678,0.0811209439528024,0.0660031430068098,59605
"Henderson County, Texas","213",0.130854347375227,0.169914563927821,0.4723,0.269172387622037,0.0658743574705903,0.116379756442543,0.0561976058233001,0.00689964466829958,0.00367406078586953,0.127207810673323,0.0631012267231489,49469
"Hidalgo County, Texas","215",0.92305753904431,0.284397882881931,0.4838,0.199526784647889,0.0391401401112818,0.133601996647543,0.0457400322066497,0.00805784017758961,0.00562586745851643,0.284457802671828,0.0731387229746782,41846
"Hill County, Texas","217",0.209283004237171,0.124611391574684,0.4326,0.265363919569527,0.0767487963749646,0.120847999352672,0.0432091273212769,0.0089816725330744,0.00198244123477768,0.125859172139911,0.0623152418115171,55615
"Hockley County, Texas","219",0.48564343513443,0.152676234317177,0.433,0.236816474189509,0.0450813969667455,0.108598859051064,0.0382635313760957,0.00466119382217893,0.00500904410741617,0.123652583323008,0.0655355644635033,47010
"Hood County, Texas","221",0.125647646813828,0.0887669845556587,0.4448,0.233872081779251,0.0611272275176129,0.197103651517245,0.0710963761108809,0.0132154533314915,0.0111893907998342,0.0572474693086367,0.059620191769578,71253
"Hopkins County, Texas","223",0.170644001307617,0.11829237886805,0.4307,0.287746747193061,0.055490251712537,0.150297920635564,0.0484779700863362,0.00766081634307487,0.00652588058854526,0.107814118691727,0.0436237803494441,54600
"Houston County, Texas","225",0.113590794176619,0.190380155288898,0.4802,0.27367232980872,0.0899964357847214,0.109896637756921,0.0370678388974694,0.00493049780206724,0.0038612332184864,0.150473645858635,0.0301067530286674,40838
"Howard County, Texas","227",0.433159362659818,0.163691510536792,0.4426,0.239077767907615,0.107768715174029,0.0913752725510781,0.029879673746265,0.0088023903738997,0.00375514818703061,0.0849920732781399,0.0677322153805843,57761
"Hudspeth County, Texas","229",0.777469596756987,0.230566534914361,0.4144,0.252246469833119,0.0609756097560976,0.0953145057766367,0.00353016688061617,0,0,0.350488021295475,0.0865257595772787,31505
"Hunt County, Texas","231",0.169767780295628,0.142701350354428,0.4422,0.283763158308813,0.0620899092096361,0.134486176891728,0.0509181313234623,0.00777303982502793,0.0106839960348056,0.12430051196571,0.0486185431910014,57467
"Hutchinson County, Texas","233",0.236199952617863,0.129741852364365,0.4175,0.251021139376568,0.0857757076316732,0.117950555356503,0.0283769258330348,0.0048011465424579,0.00286635614475099,0.0918857789086797,0.0699,57921
"Irion County, Texas","235",0.2730199613651,0.125563425627817,0.4563,0.332397003745318,0.0543071161048689,0.161985018726592,0.0327715355805243,0.00842696629213483,0.00187265917602996,0.0550314465408805,0.0560224089635854,53778
"Jack County, Texas","237",0.170454545454545,0.15368746776689,0.4562,0.290788193318197,0.090820629257217,0.0916315277327279,0.0340577359714564,0.0103795004865391,0.00891988323061953,0.122436099715999,0.0332534451767525,54087
"Jackson County, Texas","239",0.333018486034273,0.138083402375035,0.4065,0.275702346188702,0.0556842211257678,0.114288591279831,0.029604269459269,0.00513543449803645,0.00493404490987816,0.148050365556458,0.0479356734188959,58243
"Jasper County, Texas","241",0.0685563241662449,0.202541538817808,0.4722,0.393468884781269,0.055083179297597,0.0787019921955227,0.0477305401519819,0.00653111521873075,0.000164304785376874,0.125537340619308,0.10058687047905,42756
"Jeff Davis County, Texas","243",0.268596881959911,0.190018315018315,0.3687,0.134858518964479,0.0192655027092113,0.142685129440096,0.154726068633353,0,0.00180614087898856,0.197780020181635,0.00527009222661397,NA
"Jefferson County, Texas","245",0.21196115921876,0.179673613109648,0.4829,0.268088772690811,0.0529665171276627,0.129332422234766,0.0440595383107044,0.0117769393030096,0.00749279538904899,0.155192954090967,0.057289537049657,50840
"Jim Hogg County, Texas","247",0.926354347406979,0.312908982748364,0.4417,0.363154172560113,0.0491513437057991,0.0979490806223479,0.0275813295615276,0.00671852899575672,0,0.300970873786408,0.0811059907834101,35736
"Jim Wells County, Texas","249",0.803510148053731,0.215876089060987,0.4684,0.295383305599628,0.0568089470221741,0.125653032003405,0.0299137030300685,0.00398591385782284,0.00212840060369181,0.175874342308883,0.0367712472569836,45857
"Johnson County, Texas","251",0.219772524349465,0.103432282003711,0.4028,0.293204559452294,0.0649284573019968,0.134685935142952,0.0477278610384626,0.00695343253206702,0.0058376699306442,0.0897717521880899,0.0350762842796447,65311
"Jones County, Texas","253",0.277900774881755,0.114512204693509,0.4142,0.20940891015704,0.172137224506302,0.0919997304037204,0.0226460874839927,0.00181977488710656,0.00202197209678506,0.138328019837053,0.0598585162343552,52471
