State/County,BAC .00 g/dL,,BAC .01-.07 g/dL,,BAC .08+ g/dL,,BAC .01+ g/dL,,BAC .15+ g/dL,,Total,
State/County,#,%,#,%,#,%,#,%,#,%,#,%
Texas - Anderson,5,57,0,0,4,43,4,43,3,37,9,100
Texas - Andrews,6,55,0,2,4,43,5,45,4,37,10,100
Texas - Angelina,9,57,2,13,4,29,6,43,4,26,15,100
Texas - Aransas,2,43,0,3,2,55,2,58,1,18,4,100
Texas - Archer,1,90,0,0,0,10,0,10,0,10,1,100
Texas - Armstrong,1,100,0,0,0,0,0,0,0,0,1,100
Texas - Atascosa,8,98,0,0,0,3,0,3,0,1,8,100
Texas - Austin,2,67,0,0,1,33,1,33,1,27,3,100
Texas - Bailey,0,0,1,100,0,0,1,100,0,0,1,100
Texas - Bandera,4,54,0,1,3,44,3,46,1,13,7,100
Texas - Bastrop,9,40,2,9,11,51,13,60,6,28,22,100
Texas - Baylor,1,50,0,0,1,50,1,50,1,50,1,100
Texas - Bee,3,73,0,3,1,25,1,28,1,23,4,100
Texas - Bell,26,50,2,3,23,45,25,48,17,33,52,100
Texas - Bexar,84,53,8,5,68,43,76,47,45,28,159,100
Texas - Blanco,1,70,0,0,1,30,1,30,1,25,2,100
Texas - Bosque,2,67,0,7,1,27,1,33,1,23,3,100
Texas - Bowie,8,60,0,1,6,39,6,40,3,24,14,100
Texas - Brazoria,18,47,2,6,18,47,20,53,10,27,38,100
Texas - Brazos,14,52,3,11,10,37,13,48,7,28,26,100
Texas - Brooks,0,10,0,0,1,90,1,90,1,80,1,100
Texas - Brown,2,67,0,0,1,33,1,33,1,33,3,100
Texas - Burleson,1,28,0,0,4,72,4,72,2,40,5,100
Texas - Burnet,6,41,1,7,7,51,8,59,6,41,14,100
Texas - Caldwell,5,68,0,5,2,28,3,33,1,16,8,100
Texas - Calhoun,0,30,0,20,1,50,1,70,0,30,1,100
Texas - Callahan,7,88,0,3,1,10,1,13,1,8,8,100
Texas - Cameron,20,56,1,3,14,41,15,44,10,29,35,100
Texas - Camp,1,40,0,15,1,45,1,60,1,25,2,100
Texas - Carson,2,80,0,0,0,20,0,20,0,20,2,100
Texas - Cass,4,36,1,10,5,54,6,64,4,43,10,100
Texas - Castro,1,90,0,0,0,10,0,10,0,10,1,100
Texas - Chambers,5,73,1,10,1,17,2,27,1,7,7,100
Texas - Cherokee,3,34,0,1,6,64,6,66,4,39,9,100
Texas - Childress,2,85,0,0,0,15,0,15,0,5,2,100
Texas - Clay,3,50,1,8,3,42,3,50,1,18,6,100
Texas - Coke,0,30,0,10,1,60,1,70,0,20,1,100
Texas - Coleman,1,50,0,10,0,40,1,50,0,30,1,100
Texas - Collin,29,52,2,4,24,42,26,46,16,29,56,100
Texas - Colorado,8,83,0,0,2,17,2,17,1,12,9,100
Texas - Comal,8,53,1,8,6,39,7,47,4,26,15,100
Texas - Comanche,4,82,0,4,1,14,1,18,0,8,5,100
Texas - Concho,1,50,0,0,1,50,1,50,1,50,2,100
Texas - Cooke,7,82,1,12,1,6,2,18,0,2,9,100
Texas - Coryell,5,58,0,3,4,39,4,42,2,23,9,100
Texas - Crane,0,20,0,0,1,80,1,80,1,50,1,100
Texas - Crockett,2,58,1,28,1,15,2,43,0,8,4,100
Texas - Crosby,1,50,0,10,0,40,1,50,0,30,1,100
Texas - Culberson,2,100,0,0,0,0,0,0,0,0,2,100
Texas - Dallam,2,90,0,0,0,10,0,10,0,5,2,100
Texas - Dallas,137,52,24,9,102,38,126,48,72,27,264,100
Texas - Dawson,1,50,0,10,1,40,1,50,1,25,2,100
Texas - Deaf Smith,2,100,0,0,0,0,0,0,0,0,2,100
Texas - Denton,23,52,4,9,17,39,21,48,11,25,44,100
Texas - DeWitt,4,80,0,0,1,20,1,20,1,20,5,100
Texas - Dickens,1,40,0,5,1,55,1,60,1,55,2,100
Texas - Dimmit,2,57,1,37,0,7,1,43,0,7,3,100
Texas - Donley,1,65,0,5,1,30,1,35,1,25,2,100
Texas - Duval,2,60,0,3,2,38,2,40,1,23,4,100
Texas - Eastland,3,70,0,0,1,30,1,30,0,3,4,100
Texas - Ector,14,38,3,9,20,53,24,62,15,41,38,100
Texas - Edwards,1,50,0,10,0,40,1,50,0,20,1,100
Texas - Ellis,18,57,3,11,10,33,13,43,10,31,31,100
Texas - El Paso,30,54,3,5,22,41,25,46,13,23,55,100
