State/County,BAC .00 g/dL,,BAC .01-.07 g/dL,,BAC .08+ g/dL,,BAC .01+ g/dL,,BAC .15+ g/dL,,Total,
State/County,#,%,#,%,#,%,#,%,#,%,#,%
Texas - Robertson,5,77,0,2,1,22,1,23,1,13,6,100
Texas - Rockwall,3,50,0,2,3,48,3,50,2,38,6,100
Texas - Runnels,4,62,1,18,1,20,2,38,1,18,6,100
Texas - Rusk,9,55,0,2,7,43,7,45,4,23,16,100
Texas - Sabine,2,38,0,10,2,53,3,63,2,40,4,100
Texas - San Augustine,0,0,0,0,2,100,2,100,2,100,2,100
Texas - San Jacinto,4,44,1,15,3,41,5,56,3,33,8,100
Texas - San Patricio,6,48,1,6,6,45,7,52,4,32,13,100
Texas - Scurry,4,62,0,3,2,35,2,38,2,27,6,100
Texas - Shelby,2,36,0,2,3,62,3,64,0,0,5,100
Texas - Sherman,2,48,1,10,2,42,3,52,2,32,5,100
Texas - Smith,30,62,2,5,16,33,19,38,10,21,49,100
Texas - Somervell,1,100,0,0,0,0,0,0,0,0,1,100
Texas - Starr,1,27,0,3,2,70,2,73,2,60,3,100
Texas - Stephens,1,30,0,0,1,70,1,70,1,70,2,100
Texas - Sutton,1,55,0,5,1,40,1,45,0,20,2,100
Texas - Swisher,1,90,0,0,0,10,0,10,0,0,1,100
Texas - Tarrant,94,52,13,7,74,41,87,48,49,27,181,100
Texas - Taylor,11,60,1,3,7,37,8,40,5,26,19,100
Texas - Terrell,1,100,0,0,0,0,0,0,0,0,1,100
Texas - Terry,1,100,0,0,0,0,0,0,0,0,1,100
Texas - Throckmorton,1,80,0,0,0,20,0,20,0,10,1,100
Texas - Titus,3,49,0,1,4,50,4,51,3,44,7,100
Texas - Tom Green,5,32,1,5,9,63,10,68,8,53,15,100
Texas - Travis,67,53,7,5,53,42,59,47,32,26,126,100
Texas - Trinity,1,27,0,7,2,67,2,73,2,57,3,100
Texas - Tyler,3,52,0,2,3,47,3,48,3,43,6,100
Texas - Upshur,12,58,0,2,8,40,8,42,6,32,20,100
Texas - Upton,0,0,0,0,1,100,1,100,1,100,1,100
Texas - Uvalde,3,70,0,8,1,23,1,30,1,18,4,100
Texas - Val Verde,2,63,0,0,1,37,1,37,1,30,3,100
Texas - Van Zandt,9,55,1,8,6,38,7,45,3,21,16,100
Texas - Victoria,11,57,1,3,8,41,9,43,6,29,20,100
Texas - Walker,6,55,0,3,4,42,5,45,2,22,10,100
Texas - Waller,12,69,0,2,5,29,5,31,4,24,17,100
Texas - Ward,5,69,0,1,2,30,2,31,2,27,7,100
Texas - Washington,2,30,1,10,4,60,4,70,3,50,6,100
Texas - Webb,9,62,1,4,5,34,5,38,3,21,14,100
Texas - Wharton,9,64,0,2,5,34,5,36,3,24,14,100
Texas - Wheeler,0,0,0,0,1,100,1,100,0,0,1,100
Texas - Wichita,7,57,1,4,5,39,5,43,3,28,12,100
Texas - Wilbarger,1,70,0,0,1,30,1,30,0,20,2,100
Texas - Willacy,1,90,0,0,0,10,0,10,0,0,1,100
Texas - Williamson,21,54,2,5,16,40,18,46,10,25,39,100
Texas - Wilson,8,55,1,4,6,41,7,45,2,16,15,100
Texas - Winkler,3,47,0,0,4,53,4,53,4,53,7,100
Texas - Wise,6,53,0,2,5,45,5,47,5,41,11,100
Texas - Wood,5,43,2,21,4,36,6,57,2,20,11,100
Texas - Young,2,67,0,0,1,33,1,33,1,33,3,100
Texas - Zavala,1,65,0,5,1,30,1,35,0,10,2,100
Total,"1,963",56,205,6,"1,345",38,"1,550",44,909,26,"3,520",100
