State/County,BAC .00 g/dL,,BAC .01-.07 g/dL,,BAC .08+ g/dL,,BAC .01+ g/dL,,BAC .15+ g/dL,,Total,
Texas - Llano,4,60,0,1,3,39,3,40,1,20,7,100
Texas - Loving,1,45,0,0,1,55,1,55,1,50,2,100
Texas - Lubbock,27,47,3,5,28,48,31,53,21,36,58,100
Texas - McCulloch,3,60,0,8,2,32,2,40,1,18,5,100
Texas - McLennan,25,68,2,5,10,26,12,32,7,19,37,100
Texas - McMullen,2,85,0,0,0,15,0,15,0,15,2,100
Texas - Madison,6,59,0,3,4,38,4,41,3,30,10,100
Texas - Marion,3,90,0,0,0,10,0,10,0,7,3,100
Texas - Martin,5,51,0,1,4,48,4,49,4,43,9,100
Texas - Mason,1,90,0,0,0,10,0,10,0,0,1,100
Texas - Matagorda,7,65,1,6,3,29,4,35,2,24,10,100
Texas - Maverick,5,75,0,5,1,20,2,25,1,13,6,100
Texas - Medina,4,51,0,0,4,49,4,49,4,44,8,100
Texas - Menard,1,90,0,0,0,10,0,10,0,10,1,100
Texas - Midland,22,54,2,5,17,42,18,46,13,31,40,100
Texas - Milam,5,51,2,17,3,32,4,49,2,23,9,100
Texas - Mills,5,96,0,0,0,4,0,4,0,0,5,100
Texas - Mitchell,4,88,0,0,1,13,1,13,0,10,4,100
Texas - Montague,5,59,1,14,2,28,3,41,2,21,8,100
Texas - Montgomery,29,57,1,2,21,41,22,43,14,27,51,100
Texas - Moore,3,70,0,3,1,28,1,30,1,28,4,100
Texas - Morris,4,98,0,0,0,3,0,3,0,0,4,100
Texas - Nacogdoches,9,66,0,1,5,32,5,34,2,16,14,100
Texas - Navarro,4,70,0,0,2,30,2,30,1,28,5,100
Texas - Newton,3,43,0,3,3,53,3,57,2,30,6,100
Texas - Nolan,5,61,0,3,3,36,3,39,1,18,8,100
Texas - Nueces,19,45,4,10,20,46,24,55,13,29,43,100
Texas - Ochiltree,2,53,0,0,1,47,1,47,1,43,3,100
Texas - Oldham,4,90,0,3,0,8,0,10,0,5,4,100
Texas - Orange,10,58,1,8,6,34,7,42,5,31,17,100
Texas - Palo Pinto,2,53,0,5,2,43,2,48,1,23,4,100
Texas - Panola,5,76,0,0,2,24,2,24,2,21,7,100
Texas - Parker,14,52,1,5,11,43,13,48,7,27,26,100
Texas - Parmer,2,57,1,33,0,10,1,43,0,7,3,100
Texas - Pecos,6,87,0,4,1,9,1,13,0,1,7,100
Texas - Polk,8,54,3,18,4,29,7,46,2,16,14,100
Texas - Potter,11,44,4,15,11,41,15,56,6,22,26,100
Texas - Presidio,0,20,0,0,2,80,2,80,1,25,2,100
Texas - Rains,3,68,0,3,1,30,1,33,1,15,4,100
Texas - Randall,10,76,0,3,3,21,3,24,2,15,13,100
Texas - Reagan,3,97,0,0,0,3,0,3,0,0,3,100
Texas - Real,1,100,0,0,0,0,0,0,0,0,1,100
Texas - Red River,4,76,0,2,1,22,1,24,1,18,5,100
Texas - Reeves,7,59,1,10,3,31,5,41,2,17,11,100
Texas - Refugio,1,70,0,20,0,10,0,30,0,0,1,100
Texas - Roberts,0,0,0,0,1,100,1,100,0,0,1,100
Texas - Robertson,5,74,0,4,2,21,2,26,1,17,7,100
Texas - Rockwall,2,67,1,23,0,10,1,33,0,10,3,100
Texas - Runnels,1,100,0,0,0,0,0,0,0,0,1,100
Texas - Rusk,6,55,1,11,4,34,5,45,3,24,11,100
Texas - Sabine,1,17,0,10,2,73,3,83,2,63,3,100
Texas - San Augustine,1,40,0,0,1,60,1,60,1,60,2,100
Texas - San Jacinto,3,53,1,12,2,35,3,47,2,27,6,100
Texas - San Patricio,8,63,1,5,4,32,4,37,2,16,12,100
Texas - San Saba,1,100,0,0,0,0,0,0,0,0,1,100
Texas - Schleicher,1,70,0,0,0,30,0,30,0,0,1,100
Texas - Scurry,2,77,0,0,1,23,1,23,0,10,3,100
Texas - Shelby,5,77,0,1,2,21,2,23,1,7,7,100
Texas - Sherman,6,92,0,0,1,8,1,8,1,8,6,100
Texas - Smith,17,49,1,3,16,48,17,51,11,32,34,100
Texas - Somervell,1,90,0,0,0,10,0,10,0,10,1,100
Texas - Starr,2,53,0,3,2,45,2,48,2,40,4,100
Texas - Stephens,1,35,0,5,1,60,1,65,0,10,2,100
Texas - Sterling,2,50,0,3,1,47,2,50,1,47,3,100
Texas - Stonewall,2,80,0,5,0,15,0,20,0,15,2,100
Texas - Sutton,2,90,0,5,0,5,0,10,0,5,2,100
Texas - Tarrant,82,53,10,6,62,40,72,46,41,26,155,100
Texas - Taylor,8,63,1,8,4,28,5,37,3,26,13,100
Texas - Terrell,2,73,0,3,1,23,1,27,1,20,3,100
Texas - Terry,1,65,0,10,1,25,1,35,0,15,2,100
Texas - Titus,4,70,1,20,1,10,2,30,1,8,6,100
Texas - Tom Green,2,33,1,10,3,57,4,67,3,43,6,100
Texas - Travis,66,55,8,7,46,39,54,45,32,27,120,100
Texas - Trinity,1,40,1,40,1,20,2,60,1,17,3,100
Texas - Tyler,4,54,0,6,3,40,3,46,1,14,7,100
Texas - Upshur,7,76,0,3,2,21,2,24,1,11,9,100
Texas - Upton,5,73,0,4,2,23,2,27,0,0,7,100
Texas - Uvalde,4,72,0,2,1,26,1,28,0,6,5,100
Texas - Val Verde,3,57,0,5,2,38,3,43,1,22,6,100
Texas - Van Zandt,8,61,2,15,3,24,5,39,2,15,13,100
Texas - Victoria,6,39,2,14,7,46,10,61,5,34,16,100
Texas - Walker,9,67,1,5,4,28,5,33,3,21,14,100
Texas - Waller,5,58,1,12,3,30,4,42,2,20,9,100
Texas - Ward,6,58,1,11,3,31,5,42,2,19,11,100
Texas - Washington,1,65,0,10,1,25,1,35,1,25,2,100
Texas - Webb,13,71,1,5,4,24,5,29,3,14,18,100
Texas - Wharton,7,80,1,6,1,14,2,20,1,11,9,100
Texas - Wheeler,4,76,1,10,1,14,1,24,1,12,5,100
Texas - Wichita,6,42,1,7,7,51,8,58,5,35,13,100
Texas - Wilbarger,2,95,0,0,0,5,0,5,0,5,2,100
Texas - Willacy,1,23,0,3,3,75,3,78,2,55,4,100
Texas - Williamson,20,56,2,6,14,38,16,44,10,28,36,100
Texas - Wilson,2,44,0,4,3,52,3,56,2,44,5,100
Texas - Winkler,1,30,1,28,2,43,3,70,2,38,4,100
Texas - Wise,10,71,1,10,3,19,4,29,1,7,14,100
Texas - Wood,5,54,0,2,4,44,5,46,3,27,10,100
Texas - Yoakum,0,0,0,0,1,100,1,100,1,100,1,100
Texas - Young,3,90,0,0,0,10,0,10,0,0,3,100
Texas - Zavala,1,47,0,0,2,53,2,53,0,13,3,100
Total,"1,879",57,202,6,"1,211",37,"1,413",43,817,25,"3,296",100
