State/County,BAC .00 g/dL,,BAC .01-.07 g/dL,,BAC .08+ g/dL,,BAC .01+ g/dL,,BAC .15+ g/dL,,Total,
State/County,#,%,#,%,#,%,#,%,#,%,#,%
Texas - Anderson,5,59,1,14,2,28,3,41,2,25,8,100
Texas - Andrews,7,61,1,12,3,27,4,39,2,22,11,100
Texas - Angelina,8,56,1,6,5,39,6,44,4,26,14,100
Texas - Aransas,2,42,0,6,3,52,3,58,2,46,5,100
Texas - Archer,3,54,0,4,1,22,1,26,1,20,5,100
Texas - Armstrong,1,45,0,5,1,50,1,55,1,50,2,100
Texas - Atascosa,5,69,0,0,2,31,2,31,2,30,7,100
Texas - Austin,3,42,0,0,4,58,4,58,2,33,6,100
Texas - Bailey,2,55,0,3,2,43,2,45,2,38,4,100
Texas - Bandera,3,53,0,2,3,45,3,47,2,25,6,100
Texas - Bastrop,13,48,2,9,12,43,14,52,7,27,27,100
Texas - Baylor,1,33,0,7,2,60,2,67,2,57,3,100
Texas - Bee,2,75,0,10,0,15,1,25,0,10,2,100
Texas - Bell,21,53,3,6,16,41,18,47,9,24,39,100
Texas - Bexar,88,50,13,7,75,42,88,50,51,29,176,100
Texas - Blanco,3,80,0,5,1,15,1,20,0,5,4,100
Texas - Borden,2,67,0,0,1,33,1,33,1,20,3,100
Texas - Bosque,3,80,0,3,1,18,1,20,1,13,4,100
Texas - Bowie,9,87,0,1,1,12,1,13,1,6,10,100
Texas - Brazoria,25,59,2,4,16,38,18,41,10,24,43,100
Texas - Brazos,8,54,1,9,5,37,7,46,4,27,14,100
Texas - Brewster,1,100,0,0,0,0,0,0,0,0,1,100
Texas - Briscoe,1,100,0,0,0,0,0,0,0,0,1,100
Texas - Brooks,2,77,0,7,1,17,1,23,0,7,3,100
Texas - Burleson,2,50,0,0,2,50,2,50,2,50,4,100
Texas - Burnet,5,65,0,4,3,31,3,35,2,24,8,100
Texas - Caldwell,4,61,0,3,3,36,3,39,1,20,7,100
Texas - Calhoun,0,20,0,0,2,80,2,80,1,65,2,100
Texas - Callahan,6,91,0,0,1,9,1,9,1,7,7,100
Texas - Cameron,12,68,2,9,4,24,6,32,2,14,17,100
Texas - Camp,2,58,0,5,2,38,2,43,1,18,4,100
Texas - Cass,5,90,0,2,0,8,1,10,0,4,5,100
Texas - Castro,0,0,0,0,2,100,2,100,1,50,2,100
Texas - Chambers,3,48,0,5,3,47,3,52,3,43,6,100
Texas - Cherokee,9,72,0,3,3,25,4,28,3,20,13,100
Texas - Childress,1,50,0,0,1,50,1,50,0,40,1,100
Texas - Clay,2,60,1,37,0,3,1,40,0,3,3,100
Texas - Cochran,0,20,0,20,1,60,1,80,0,30,1,100
Texas - Coleman,1,28,1,35,2,38,3,73,1,28,4,100
Texas - Collin,28,63,2,4,15,32,17,37,9,20,45,100
Texas - Collingsworth,1,65,0,0,1,35,1,35,0,5,2,100
Texas - Colorado,6,81,0,1,1,17,1,19,1,11,7,100
Texas - Comal,9,51,2,14,6,35,8,49,3,16,17,100
Texas - Comanche,4,50,0,1,4,49,4,50,2,28,8,100
Texas - Concho,3,75,0,0,1,25,1,25,1,18,4,100
Texas - Cooke,3,49,1,19,2,33,4,51,1,10,7,100
Texas - Coryell,3,37,0,4,4,59,4,63,2,34,7,100
Texas - Crane,0,0,1,100,0,0,1,100,0,0,1,100
Texas - Crockett,2,48,0,8,1,20,1,28,0,8,4,100
Texas - Crosby,0,0,0,0,1,100,1,100,1,100,1,100
Texas - Culberson,1,40,0,0,1,60,1,60,1,55,2,100
Texas - Dallam,1,45,0,0,1,55,1,55,0,0,2,100
Texas - Dallas,146,57,12,5,97,38,109,43,67,26,255,100
Texas - Dawson,3,63,1,30,0,8,2,38,0,0,4,100
Texas - Deaf Smith,4,93,0,3,0,5,0,8,0,3,4,100
Texas - Denton,27,58,3,5,17,37,20,42,13,28,47,100
Texas - DeWitt,3,62,0,4,2,34,2,38,1,26,5,100
Texas - Dimmit,3,87,0,3,0,10,0,13,0,10,3,100
Texas - Donley,3,78,0,5,1,18,1,23,1,15,4,100
Texas - Duval,2,37,2,25,2,38,4,63,2,25,6,100
Texas - Eastland,5,90,0,0,1,10,1,10,0,6,5,100
Texas - Ector,21,44,2,4,24,52,26,56,16,33,47,100
Texas - Edwards,2,53,0,13,1,33,1,47,1,23,3,100
Texas - Ellis,16,70,0,1,7,29,7,30,4,16,23,100
Texas - El Paso,39,53,5,6,30,41,35,47,21,29,74,100
Texas - Erath,7,57,0,3,5,40,5,43,3,28,12,100
Texas - Falls,4,55,2,25,2,20,4,45,1,16,8,100
Texas - Fannin,7,61,0,3,4,36,5,39,2,16,12,100
Texas - Fayette,10,74,2,11,2,15,4,26,1,4,14,100
Texas - Fisher,1,100,0,0,0,0,0,0,0,0,1,100
Texas - Floyd,1,60,0,10,0,30,0,40,0,20,1,100
Texas - Fort Bend,19,49,1,3,18,48,19,51,14,36,38,100
Texas - Franklin,0,0,0,0,2,100,2,100,2,100,2,100
Texas - Freestone,6,76,1,6,1,18,2,24,1,11,8,100
Texas - Frio,2,60,0,3,1,37,1,40,1,27,3,100
Texas - Gaines,3,60,0,6,2,34,2,40,1,20,5,100
Texas - Galveston,17,46,3,8,17,46,19,54,12,34,36,100
Texas - Gillespie,1,40,1,33,1,27,2,60,1,17,3,100
Texas - Glasscock,4,73,1,10,1,17,2,27,1,13,6,100
Texas - Goliad,2,75,0,0,1,25,1,25,0,20,2,100
Texas - Gonzales,2,63,1,33,0,3,1,37,0,3,3,100
Texas - Gray,3,68,0,4,1,28,2,32,1,24,5,100
Texas - Grayson,12,58,3,15,6,28,9,43,4,20,20,100
Texas - Gregg,15,61,1,5,8,34,9,39,5,22,24,100
Texas - Grimes,7,43,3,18,6,39,9,57,5,33,15,100
Texas - Guadalupe,7,50,0,3,6,47,7,50,5,40,13,100
Texas - Hale,3,85,0,5,0,10,1,15,0,5,4,100
Texas - Hamilton,3,90,0,0,0,10,0,10,0,3,3,100
Texas - Hansford,1,50,0,10,0,40,1,50,0,20,1,100
Texas - Hardeman,2,95,0,0,0,5,0,5,0,5,2,100
Texas - Hardin,6,62,1,13,2,24,3,38,2,21,9,100
Texas - Harris,231,58,22,6,146,37,168,42,98,24,399,100
Texas - Harrison,14,79,0,1,4,20,4,21,2,11,18,100
Texas - Hartley,1,100,0,0,0,0,0,0,0,0,1,100
Texas - Haskell,2,77,0,10,0,13,1,23,0,3,3,100
Texas - Hays,11,41,1,4,14,55,15,59,9,33,26,100
Texas - Hemphill,1,50,0,0,1,50,1,50,1,50,2,100
Texas - Henderson,11,73,0,2,4,25,4,27,1,9,15,100
Texas - Hidalgo,20,50,3,6,18,44,21,50,12,28,41,100
Texas - Hill,6,55,1,10,4,35,5,45,3,31,11,100
Texas - Hockley,3,60,0,2,2,38,2,40,2,30,5,100
Texas - Hood,5,51,0,3,5,46,5,49,3,30,10,100
Texas - Hopkins,3,52,0,4,2,44,2,48,2,42,5,100
Texas - Houston,3,83,0,0,1,18,1,18,1,13,4,100
Texas - Howard,5,46,1,5,5,49,5,54,3,29,10,100
Texas - Hudspeth,6,54,1,7,4,39,5,46,2,21,11,100
Texas - Hunt,12,50,2,8,10,42,12,50,8,32,24,100
Texas - Hutchinson,1,20,1,20,1,35,2,55,0,8,4,100
Texas - Irion,1,90,0,0,0,10,0,10,0,10,1,100
Texas - Jack,2,57,0,10,1,33,1,43,0,13,3,100
Texas - Jackson,1,50,0,0,1,50,1,50,0,0,2,100
Texas - Jasper,2,30,0,2,3,68,4,70,1,20,5,100
Texas - Jeff Davis,1,23,0,7,2,70,2,77,1,37,3,100
Texas - Jefferson,21,60,1,4,13,36,14,40,8,22,35,100
Texas - Jim Wells,5,83,0,0,1,17,1,17,1,12,6,100
Texas - Johnson,18,53,3,8,13,39,16,47,8,24,34,100
Texas - Jones,4,70,0,4,1,26,2,30,1,26,5,100
Texas - Karnes,5,75,1,20,0,5,2,25,0,2,6,100
Texas - Kaufman,15,57,1,2,11,40,11,43,8,29,26,100
Texas - Kendall,5,48,1,5,5,47,5,52,4,37,10,100
Texas - Kenedy,2,60,0,3,1,37,1,40,1,23,3,100
Texas - Kerr,3,41,0,1,4,57,4,59,4,54,7,100
Texas - Kimble,2,55,1,13,1,33,2,45,0,5,4,100
Texas - Kinney,1,50,0,0,1,50,1,50,1,25,2,100
Texas - Kleberg,3,83,0,0,1,18,1,18,1,18,4,100
Texas - Lamar,8,63,1,5,4,32,4,37,3,23,12,100
Texas - Lampasas,6,86,0,1,1,13,1,14,1,7,7,100
Texas - La Salle,2,40,1,23,2,38,2,60,1,28,4,100
Texas - Lavaca,1,23,0,3,2,73,2,77,1,40,3,100
Texas - Lee,5,56,1,14,2,30,4,44,1,18,8,100
Texas - Leon,6,74,0,1,2,25,2,26,1,16,8,100
Texas - Liberty,13,63,1,4,7,32,8,37,6,27,21,100
Texas - Limestone,3,50,0,2,2,48,3,50,2,44,5,100
Texas - Lipscomb,1,60,0,0,0,40,0,40,0,20,1,100
Texas - Live Oak,3,50,1,10,2,40,3,50,2,25,6,100
