State/County,BAC .00 g/dL,,BAC .01-.07 g/dL,,BAC .08+ g/dL,,BAC .01+ g/dL,,BAC .15+ g/dL,,Total,
State/County,#,%,#,%,#,%,#,%,#,%,#,%
Texas - Anderson,8,64,0,2,3,26,4,28,3,19,13,100
Texas - Andrews,5,56,1,16,3,29,4,44,2,19,9,100
Texas - Angelina,7,51,2,12,5,37,6,49,3,22,13,100
Texas - Aransas,3,60,0,6,2,34,2,40,1,22,5,100
Texas - Archer,1,80,0,10,0,10,0,20,0,10,1,100
Texas - Armstrong,1,80,0,0,0,20,0,20,0,20,1,100
Texas - Atascosa,7,68,0,4,3,28,3,32,3,26,10,100
Texas - Austin,2,53,0,3,2,45,2,48,1,35,4,100
Texas - Bailey,1,80,0,0,0,20,0,20,0,0,1,100
Texas - Bandera,3,40,2,33,2,27,4,60,2,26,7,100
Texas - Bastrop,15,54,3,12,8,30,11,42,6,22,27,100
Texas - Baylor,1,100,0,0,0,0,0,0,0,0,1,100
Texas - Bee,1,45,0,0,1,55,1,55,1,45,2,100
Texas - Bell,15,53,2,7,12,40,14,47,7,24,29,100
Texas - Bexar,92,52,9,5,75,43,83,48,50,29,175,100
Texas - Blanco,3,56,1,10,2,34,2,44,1,26,5,100
Texas - Bosque,2,60,0,7,1,33,1,40,1,30,3,100
Texas - Bowie,8,58,0,3,5,38,5,42,4,32,13,100
Texas - Brazoria,18,59,1,4,12,37,13,41,9,27,31,100
Texas - Brazos,8,58,1,4,5,39,6,42,4,29,14,100
Texas - Brewster,0,0,0,0,1,100,1,100,1,100,1,100
Texas - Brooks,2,60,0,3,2,38,2,40,1,33,4,100
Texas - Brown,1,33,0,0,2,67,2,67,0,13,3,100
Texas - Burleson,2,36,1,20,2,44,3,64,1,22,5,100
Texas - Burnet,4,61,0,3,3,36,3,39,1,11,7,100
Texas - Caldwell,4,41,0,4,5,54,5,59,4,42,9,100
Texas - Calhoun,1,40,0,0,1,60,1,60,1,60,2,100
Texas - Callahan,5,70,0,1,2,29,2,30,1,10,7,100
Texas - Cameron,16,49,2,6,15,44,17,51,11,33,33,100
Texas - Camp,2,57,0,7,1,37,1,43,1,17,3,100
Texas - Carson,0,20,0,20,1,60,1,80,0,40,1,100
Texas - Cass,3,83,0,0,1,18,1,18,1,13,4,100
Texas - Castro,2,55,0,8,2,38,2,45,1,33,4,100
Texas - Chambers,7,46,1,6,8,49,9,54,6,38,16,100
Texas - Cherokee,5,36,0,2,9,61,9,64,6,46,14,100
Texas - Childress,1,55,0,10,1,35,1,45,1,25,2,100
Texas - Clay,2,45,0,0,2,55,2,55,2,53,4,100
Texas - Cochran,0,0,0,0,0,0,0,0,0,0,1,100
Texas - Coleman,1,50,1,50,0,0,1,50,0,0,2,100
Texas - Collin,21,52,1,4,18,45,19,48,12,31,40,100
Texas - Collingsworth,1,40,0,0,1,60,1,60,1,60,2,100
Texas - Colorado,5,51,1,6,4,43,4,49,3,32,9,100
Texas - Comal,6,48,2,13,5,38,6,52,4,29,12,100
Texas - Comanche,2,60,0,0,1,40,1,40,1,23,3,100
Texas - Concho,2,50,0,3,1,47,2,50,1,23,3,100
Texas - Cooke,5,45,0,1,6,55,6,55,4,36,11,100
Texas - Coryell,4,62,0,3,2,35,2,38,2,28,6,100
Texas - Cottle,1,50,0,20,0,30,1,50,0,10,1,100
Texas - Crane,3,68,0,0,1,33,1,33,1,30,4,100
Texas - Crockett,2,63,0,3,1,33,1,37,1,27,3,100
Texas - Crosby,1,100,0,0,0,0,0,0,0,0,1,100
Texas - Culberson,4,60,0,4,3,36,3,40,2,26,7,100
Texas - Dallam,1,100,0,0,0,0,0,0,0,0,1,100
Texas - Dallas,149,52,17,6,121,42,138,48,80,28,287,100
Texas - Dawson,1,100,0,0,0,0,0,0,0,0,1,100
Texas - Deaf Smith,4,88,0,0,1,13,1,13,0,8,4,100
Texas - Delta,1,60,0,10,0,30,0,40,0,10,1,100
Texas - Denton,23,49,3,7,20,44,24,51,16,35,46,100
Texas - DeWitt,2,60,0,8,1,33,2,40,1,20,4,100
Texas - Dickens,0,0,0,0,1,100,1,100,1,100,1,100
Texas - Dimmit,4,93,0,0,0,8,0,8,0,8,4,100
Texas - Donley,3,68,1,25,0,8,1,33,0,5,4,100
Texas - Duval,1,47,0,7,1,47,2,53,1,30,3,100
Texas - Eastland,5,56,0,2,4,42,4,44,3,29,9,100
Texas - Ector,25,51,6,11,18,38,24,49,13,27,49,100
Texas - Edwards,2,95,0,0,0,5,0,5,0,0,2,100
Texas - Ellis,10,59,1,8,5,33,7,41,5,31,16,100
Texas - El Paso,42,49,4,4,40,47,44,51,27,32,85,100
Texas - Erath,10,64,1,5,5,31,5,36,3,19,15,100
Texas - Falls,3,75,1,23,0,3,1,25,0,0,4,100
Texas - Fannin,5,50,0,2,5,48,5,50,5,45,10,100
Texas - Fayette,6,80,0,0,1,20,1,20,1,17,7,100
Texas - Fisher,1,100,0,0,0,0,0,0,0,0,1,100
Texas - Fort Bend,15,57,1,2,11,42,11,43,8,32,26,100
Texas - Franklin,1,100,0,0,0,0,0,0,0,0,1,100
Texas - Freestone,7,65,1,12,2,23,4,35,2,16,10,100
Texas - Frio,6,57,0,4,4,39,4,43,3,30,10,100
Texas - Gaines,5,60,0,4,3,36,3,40,2,30,8,100
Texas - Galveston,15,40,2,6,21,54,23,60,16,41,38,100
Texas - Garza,2,44,0,2,3,54,3,56,2,36,5,100
Texas - Gillespie,4,42,0,1,6,57,6,58,5,51,10,100
Texas - Glasscock,4,88,0,0,1,13,1,13,0,0,4,100
Texas - Goliad,1,20,0,3,2,77,2,80,1,40,3,100
Texas - Gonzales,2,48,1,23,1,30,2,53,1,25,4,100
Texas - Gray,2,63,0,0,1,37,1,37,1,27,3,100
Texas - Grayson,9,51,3,18,6,31,9,49,4,21,18,100
Texas - Gregg,12,52,1,3,10,45,11,48,9,37,23,100
Texas - Grimes,6,64,0,4,3,32,4,36,1,13,10,100
Texas - Guadalupe,9,43,1,5,10,52,11,57,8,42,20,100
Texas - Hale,6,70,0,3,2,27,3,30,2,23,9,100
Texas - Hall,2,80,0,0,0,20,0,20,0,15,2,100
Texas - Hamilton,1,43,0,0,2,57,2,57,0,13,3,100
Texas - Hansford,2,100,0,0,0,0,0,0,0,0,2,100
Texas - Hardeman,0,0,0,0,1,100,1,100,1,100,1,100
Texas - Hardin,8,54,1,9,5,37,7,46,2,16,14,100
Texas - Harris,183,50,15,4,167,46,182,50,115,31,365,100
Texas - Harrison,11,39,5,17,12,44,17,61,7,26,27,100
Texas - Hartley,2,50,0,0,2,50,2,50,2,50,4,100
Texas - Haskell,1,100,0,0,0,0,0,0,0,0,1,100
Texas - Hays,12,52,2,8,9,40,11,48,8,35,22,100
Texas - Henderson,10,47,1,2,11,50,11,53,7,31,21,100
Texas - Hidalgo,17,40,3,7,24,54,27,60,14,33,44,100
Texas - Hill,8,78,0,2,2,20,2,22,1,11,10,100
Texas - Hood,4,82,0,0,1,18,1,18,1,10,5,100
Texas - Hopkins,6,59,0,4,4,37,4,41,3,27,10,100
Texas - Houston,2,30,0,7,4,63,4,70,3,45,6,100
Texas - Howard,4,44,3,28,3,28,5,56,2,20,9,100
Texas - Hudspeth,4,70,0,0,2,30,2,30,1,10,6,100
Texas - Hunt,8,49,2,9,7,42,9,51,6,35,17,100
Texas - Hutchinson,3,83,0,0,1,18,1,18,1,15,4,100
Texas - Jack,2,67,1,33,0,0,1,33,0,0,3,100
Texas - Jackson,5,68,1,14,2,19,3,33,1,10,8,100
Texas - Jasper,5,64,0,0,3,36,3,36,2,28,8,100
Texas - Jefferson,21,55,4,11,13,35,17,45,8,20,38,100
Texas - Jim Hogg,1,100,0,0,0,0,0,0,0,0,1,100
Texas - Jim Wells,7,66,2,15,1,9,2,24,0,4,10,100
Texas - Johnson,13,66,0,2,6,32,6,34,5,24,19,100
Texas - Jones,4,95,0,0,0,5,0,5,0,3,4,100
Texas - Karnes,2,55,0,8,2,38,2,45,1,33,4,100
Texas - Kaufman,13,58,2,8,8,34,10,42,4,19,23,100
Texas - Kendall,1,100,0,0,0,0,0,0,0,0,1,100
Texas - Kenedy,2,85,0,0,0,15,0,15,0,5,2,100
Texas - Kerr,6,70,1,6,2,24,3,30,2,21,9,100
Texas - Kimble,5,68,1,6,2,26,3,33,1,16,8,100
Texas - King,1,90,0,10,0,0,0,10,0,0,1,100
Texas - Kinney,1,100,0,0,0,0,0,0,0,0,1,100
Texas - Kleberg,1,50,0,0,1,50,1,50,1,50,2,100
Texas - Lamar,8,50,1,8,6,42,8,50,4,27,15,100
Texas - Lamb,1,16,0,0,4,84,4,84,3,64,5,100
Texas - Lampasas,3,70,0,0,1,30,1,30,0,3,4,100
Texas - La Salle,6,83,0,1,1,16,1,17,0,6,7,100
Texas - Lavaca,2,67,0,0,1,33,1,33,1,33,3,100
Texas - Lee,2,46,2,34,1,20,3,54,1,16,5,100
Texas - Leon,8,53,1,4,6,43,7,47,5,33,15,100
Texas - Liberty,11,57,2,13,6,30,8,43,3,18,19,100
Texas - Limestone,1,47,0,10,1,43,2,53,1,23,3,100
Texas - Live Oak,0,0,0,0,1,100,1,100,0,40,1,100
Texas - Llano,1,50,0,0,1,50,1,50,1,50,2,100
Texas - Loving,2,40,0,0,2,60,2,60,0,8,4,100
Texas - Lubbock,11,44,2,7,12,49,13,56,9,39,24,100
Texas - Lynn,2,67,0,10,1,23,1,33,1,17,3,100
Texas - McCulloch,3,65,0,8,1,28,1,35,1,23,4,100
Texas - McLennan,19,63,1,3,10,33,11,37,7,25,30,100
Texas - McMullen,1,100,0,0,0,0,0,0,0,0,1,100
Texas - Madison,2,80,0,10,0,10,0,20,0,10,2,100
Texas - Marion,1,65,0,5,1,30,1,35,0,10,2,100
Texas - Martin,5,85,0,2,1,13,1,15,1,8,6,100
Texas - Mason,0,0,0,0,1,100,1,100,1,100,1,100
Texas - Matagorda,4,63,0,0,2,37,2,37,2,32,6,100
Texas - Maverick,2,46,0,2,3,52,3,54,2,38,5,100
Texas - Medina,9,61,1,8,4,31,6,39,4,28,14,100
Texas - Menard,1,90,0,0,0,10,0,10,0,10,1,100
Texas - Midland,19,43,3,8,22,50,26,57,15,33,45,100
Texas - Milam,8,51,1,4,7,45,7,49,4,26,15,100
Texas - Mills,2,67,0,0,1,33,1,33,1,33,3,100
Texas - Mitchell,4,84,0,4,1,12,1,16,0,6,5,100
Texas - Montague,3,50,1,18,2,32,3,50,1,12,6,100
Texas - Montgomery,26,54,5,11,17,35,22,46,11,23,48,100
Texas - Moore,5,77,0,0,1,23,1,23,1,22,6,100
Texas - Morris,1,80,0,0,0,20,0,20,0,20,1,100
Texas - Nacogdoches,7,71,0,3,3,26,3,29,2,21,10,100
Texas - Navarro,2,70,0,3,1,27,1,30,1,20,3,100
Texas - Newton,1,50,0,0,1,50,1,50,1,50,2,100
Texas - Nolan,5,54,0,0,4,46,4,46,4,40,9,100
Texas - Nueces,20,57,1,4,14,39,15,43,8,24,35,100
Texas - Ochiltree,1,65,0,10,1,25,1,35,0,20,2,100
Texas - Oldham,0,0,0,0,1,100,1,100,1,100,1,100
Texas - Orange,12,62,1,4,7,35,8,39,5,25,20,100
Texas - Palo Pinto,4,50,0,1,4,49,4,50,2,26,8,100
Texas - Panola,7,60,2,18,3,23,5,40,2,13,12,100
Texas - Parker,14,56,3,10,9,34,11,44,5,22,25,100
Texas - Parmer,3,70,0,5,1,25,1,30,1,25,4,100
Texas - Pecos,7,70,0,0,3,30,3,30,2,22,10,100
Texas - Polk,7,54,2,12,5,35,6,46,2,15,13,100
Texas - Potter,11,59,1,3,7,37,7,41,4,22,18,100
Texas - Rains,0,0,0,0,2,100,2,100,2,100,2,100
Texas - Randall,4,38,1,6,6,56,6,62,4,36,10,100
Texas - Reagan,3,90,0,3,0,7,0,10,0,0,3,100
Texas - Red River,2,63,0,0,1,37,1,37,1,37,3,100
Texas - Reeves,15,62,1,4,9,35,10,38,6,23,25,100
Texas - Refugio,1,50,0,5,1,45,1,50,1,30,2,100
Texas - Roberts,1,80,0,10,0,10,0,20,0,10,1,100
Texas - Robertson,4,55,0,0,4,45,4,45,3,40,8,100
Texas - Rockwall,2,30,2,26,4,44,6,70,2,25,8,100
Texas - Runnels,1,50,0,0,1,50,1,50,1,50,2,100
Texas - Rusk,11,59,2,8,6,33,8,41,5,25,19,100
Texas - San Augustine,2,40,1,17,3,43,4,60,1,18,6,100
Texas - San Jacinto,7,70,1,9,2,21,3,30,2,17,10,100
Texas - San Patricio,5,47,1,14,4,39,5,53,3,33,10,100
Texas - San Saba,1,100,0,0,0,0,0,0,0,0,1,100
Texas - Schleicher,1,80,0,0,0,20,0,20,0,20,1,100
Texas - Scurry,5,63,0,1,3,36,3,38,1,9,8,100
Texas - Shelby,6,57,1,12,3,31,4,43,3,25,10,100
Texas - Sherman,2,95,0,0,0,5,0,5,0,0,2,100
Texas - Smith,29,57,2,4,20,39,22,43,11,21,51,100
Texas - Somervell,3,90,0,0,0,10,0,10,0,7,3,100
Texas - Starr,2,53,0,0,1,47,1,47,1,40,3,100
Texas - Sterling,2,50,1,33,1,18,2,50,1,13,4,100
Texas - Sutton,1,55,0,5,1,40,1,45,1,25,2,100
Texas - Swisher,1,90,0,0,0,10,0,10,0,10,1,100
Texas - Tarrant,72,45,11,7,78,48,88,55,53,33,160,100
Texas - Taylor,12,67,2,9,4,24,6,33,3,16,18,100
Texas - Terry,2,38,1,13,3,48,4,62,3,42,6,100
Texas - Throckmorton,1,45,0,0,1,55,1,55,1,50,2,100
Texas - Titus,4,59,0,4,3,37,3,41,1,14,7,100
Texas - Tom Green,5,48,0,4,5,48,5,52,3,28,10,100
Texas - Travis,58,51,6,6,49,43,55,49,30,27,113,100
Texas - Trinity,0,0,0,0,1,100,1,100,1,100,1,100
Texas - Tyler,4,60,0,2,2,38,2,40,2,25,6,100
Texas - Upshur,6,71,0,3,2,26,2,29,2,19,8,100
Texas - Upton,0,15,0,5,2,80,2,85,1,60,2,100
Texas - Uvalde,0,0,0,0,1,100,1,100,0,0,1,100
Texas - Val Verde,1,30,1,50,0,20,1,70,0,5,2,100
Texas - Van Zandt,5,43,0,2,7,56,7,58,4,34,12,100
Texas - Victoria,9,56,3,16,5,28,7,44,3,19,16,100
Texas - Walker,8,60,1,5,5,35,5,40,4,30,13,100
Texas - Waller,6,58,0,3,4,39,5,42,4,36,11,100
Texas - Ward,10,65,1,6,4,29,5,35,3,21,15,100
Texas - Washington,5,63,1,6,3,31,3,38,1,16,8,100
Texas - Webb,16,48,1,4,16,48,17,52,12,36,33,100
Texas - Wharton,9,62,0,3,5,35,6,38,4,26,15,100
Texas - Wheeler,1,100,0,0,0,0,0,0,0,0,1,100
Texas - Wichita,9,58,1,6,5,36,6,42,4,29,15,100
Texas - Wilbarger,3,73,0,0,1,28,1,28,1,20,4,100
Texas - Willacy,3,87,0,0,0,13,0,13,0,13,3,100
Texas - Williamson,18,49,3,9,15,41,18,51,12,32,36,100
Texas - Wilson,4,60,0,4,3,36,3,40,1,11,7,100
Texas - Winkler,10,61,2,11,5,29,6,39,3,19,16,100
Texas - Wise,9,65,1,4,4,31,5,35,3,18,14,100
Texas - Wood,3,43,0,7,3,50,3,57,2,32,6,100
Texas - Yoakum,3,63,1,28,0,10,2,38,0,3,4,100
Texas - Young,1,50,0,5,1,45,1,50,1,35,2,100
Texas - Zapata,1,45,0,5,1,50,1,55,1,25,2,100
Texas - Zavala,2,44,0,2,3,54,3,56,2,46,5,100
Total,"1,769",53,205,6,"1,334",40,"1,538",46,918,28,"3,311",100
