County,2020 Total Population,2020 LCSW Total,Ratio of 2020 Population to LCSW,"Ratio of LCSWs to 100,000 Population",Rank
Smith,"235,143",44,"5,344.20",18.7,46
Somervell,"9,294",0,-,0,146
Starr,"64,731",0,-,0,146
Stephens,"9,570",0,-,0,146
Sterling,"1,252",0,-,0,146
Stonewall,"1,523",0,-,0,146
Sutton,"4,381",0,-,0,146
Swisher,"7,414",1,"7,414.00",13.5,84
Tarrant,"2,143,755",754,"2,843.20",35.2,17
Taylor,"139,457",35,"3,984.50",25.1,30
Terrell,"1,054",0,-,0,146
Terry,"13,040",0,-,0,146
Throckmorton,"1,519",0,-,0,146
Titus,"32,953",4,"8,238.30",12.1,92
Tom Green,"123,276",33,"3,735.60",26.8,28
Travis,"1,291,502","1,451",890.1,112.3,1
Trinity,"14,233",0,-,0,146
Tyler,"21,343",0,-,0,146
Upshur,"41,655",4,"10,413.80",9.6,104
Upton,"3,983",0,-,0,146
Uvalde,"27,937",1,"27,937.00",3.6,137
Val Verde,"48,253",8,"6,031.60",16.6,58
Van Zandt,"55,469",5,"11,093.80",9,107
Victoria,"97,744",14,"6,981.70",14.3,77
Walker,"73,997",8,"9,249.60",10.8,98
Waller,"50,731",7,"7,247.30",13.8,82
Ward,"13,592",0,-,0,146
Washington,"35,155",4,"8,788.80",11.4,95
Webb,"276,183",8,"34,522.90",2.9,144
Wharton,"41,941",7,"5,991.60",16.7,57
Wheeler,"5,783",0,-,0,146
Wichita,"133,138",42,"3,170.00",31.5,21
Wilbarger,"13,038",12,"1,086.50",92,2
Willacy,"22,134",3,"7,378.00",13.6,83
Williamson,"589,914",237,"2,489.10",40.2,12
Wilson,"51,802",8,"6,475.30",15.4,66
Winkler,"9,295",0,-,0,146
Wise,"65,807",10,"6,580.70",15.2,69
Wood,"45,292",3,"15,097.30",6.6,116
Yoakum,"9,225",0,-,0,146
Young,"18,712",3,"6,237.30",16,62
Zapata,"14,409",0,-,0,146
Zavala,"12,682",0,-,0,146
Texas Total,"29,677,668","8,799","3,372.80",29.6,-
