,Hispanic,Non-Hispanic Black,Non-Hispanic Other,Non-Hispanic White
Andrews,---,0,0,---
Angelina,---,---,0,---
Aransas,0,0,---,0
Atascosa,---,0,0,0
Bandera,0,0,0,---
Bastrop,---,---,---,---
Bee,---,0,0,0
Bell,---,11,0,---
Bexar,110,35,---,34
Blanco,0,0,0,---
Bosque,0,0,0,---
Bowie,0,---,0,---
Brazoria,---,---,---,10
Brazos,---,---,0,---
Brooks,---,0,0,0
Brown,0,0,0,---
Caldwell,---,0,0,0
Cameron,22,0,0,---
Cass,0,---,0,0
Cherokee,---,---,0,---
Childress,---,0,0,0
Collin,11,---,11,14
Collingsworth,0,0,0,---
Colorado,---,---,0,---
Comal,---,0,0,---
Comanche,0,0,0,---
Cooke,---,---,0,---
Coryell,---,---,0,---
Cottle,---,0,0,0
Crosby,---,0,0,0
Dallam,---,0,0,---
Dallas,89,98,14,26
Dawson,---,0,0,---
Deaf Smith,---,0,0,---
Delta,0,0,0,---
Denton,10,10,---,13
Dewitt,---,0,0,0
Dimmit,0,0,0,---
Donley,0,0,0,---
Duval,---,0,0,0
Ector,12,---,---,---
Edwards,---,0,0,0
El Paso,30,---,0,---
Ellis,---,---,---,---
Erath,0,0,0,---
Falls,0,---,0,0
Fannin,0,0,0,---
Floyd,---,0,0,0
Fort Bend,---,16,---,---
Franklin,0,0,0,---
Freestone,---,---,0,0
Frio,---,0,0,0
Galveston,---,---,---,10
Garza,0,0,---,0
Gillespie,0,0,0,---
Glasscock,0,0,0,---
Goliad,0,---,0,0
Gonzales,0,0,0,---
Grayson,---,0,---,---
Gregg,---,---,0,---
Grimes,0,0,0,---
Guadalupe,---,---,0,---
Hale,---,0,0,0
Hamilton,0,0,0,---
Hardin,---,---,0,---
Harris,168,141,27,65
Harrison,---,---,0,---
Hays,---,0,0,---
Henderson,---,---,0,---
Hidalgo,62,0,0,---
Hill,---,0,0,0
Hockley,---,0,0,---
Hood,0,0,0,---
Hopkins,---,0,0,---
Houston,0,0,0,---
Howard,---,---,0,0
Hunt,0,---,0,---
Jack,0,0,0,---
Jasper,---,0,0,---
Jefferson,---,16,0,11
Jim Wells,---,0,0,0
Johnson,---,0,---,12
Jones,0,0,0,---
Karnes,---,0,0,0
Kaufman,---,---,0,---
Kendall,---,0,0,0
Kerr,0,---,0,---
Kleberg,---,0,0,0
Knox,0,0,0,---
La Salle,---,0,0,0
Lamar,0,0,---,---
Lavaca,0,---,0,0
Liberty,---,---,0,---
Limestone,0,0,0,---
Llano,0,0,0,---
Lubbock,13,---,---,---
Madison,---,0,0,---
Martin,0,0,0,---
Matagorda,0,---,0,---
Maverick,---,0,---,0
Mclennan,11,---,0,---
Midland,---,0,---,---
Milam,---,0,0,0
Montgomery,11,---,0,21
Moore,---,0,0,0
Morris,0,---,0,---
Motley,---,0,0,0
Nacogdoches,---,---,0,0
Navarro,---,0,0,---
Nolan,0,---,0,0
Nueces,21,---,---,---
Ochiltree,---,0,0,0
Orange,0,0,0,---
Palo Pinto,0,0,0,---
Panola,0,0,0,---
Parker,---,0,---,---
Parmer,---,0,0,---
Pecos,---,0,0,0
Polk,0,0,0,---
Potter,0,---,---,---
Randall,---,---,---,---
Red River,0,0,0,---
Robertson,---,0,0,0
Rockwall,---,---,0,---
Rusk,0,0,0,---
Sabine,0,0,0,---
San Jacinto,0,---,0,0
San Patricio,---,0,0,---
San Saba,---,0,0,0
Smith,---,---,0,---
Somervell,---,0,0,0
Starr,---,0,0,0
Swisher,---,0,0,0
Tarrant,54,58,14,48
Taylor,---,0,0,---
Terry,---,0,0,0
Titus,0,---,0,---
Tom Green,---,0,---,---
Travis,27,10,---,---
Trinity,0,---,0,0
Tyler,0,0,0,---
Upshur,0,0,0,---
Val Verde,---,0,0,---
Van Zandt,---,0,0,---
Victoria,---,---,0,---
Walker,0,---,0,---
Waller,---,0,0,---
Ward,0,0,0,---
Washington,---,0,0,0
Webb,17,0,0,---
Wharton,0,---,---,---
Wheeler,---,0,0,0
Wichita,---,---,0,---
Wilbarger,---,0,---,0
Willacy,---,0,0,0
Williamson,---,---,---,11
Wilson,0,0,0,---
Winkler,---,0,0,0
Wise,---,0,0,---
Wood,0,0,0,---
Young,0,0,0,---
Zapata,0,0,---,0
Zavala,---,0,0,0
