County,2020 Total Population,2020 LBSW Total,Ratio of 2020 Population to LBSW,"Ratio of LBSWs to 100,000 Population",Rank
Somervell,"9,294",4,"2,323.50",43,27
Starr,"64,731",10,"6,473.10",15.4,105
Stephens,"9,570",2,"4,785.00",20.9,79
Sterling,"1,252",0,-,0,-
Stonewall,"1,523",1,"1,523.00",65.7,9
Sutton,"4,381",0,-,0,-
Swisher,"7,414",1,"7,414.00",13.5,125
Tarrant,"2,143,755",415,"5,165.70",19.4,84
Taylor,"139,457",68,"2,050.80",48.8,18
Terrell,"1,054",0,-,0,-
Terry,"13,040",1,"13,040.00",7.7,178
Throckmorton,"1,519",0,-,0,-
Titus,"32,953",10,"3,295.30",30.3,43
Tom Green,"123,276",42,"2,935.10",34.1,35
Travis,"1,291,502",176,"7,338.10",13.6,124
Trinity,"14,233",0,-,0,-
Tyler,"21,343",4,"5,335.80",18.7,89
Upshur,"41,655",8,"5,206.90",19.2,87
Upton,"3,983",0,-,0,-
Uvalde,"27,937",3,"9,312.30",10.7,154
Val Verde,"48,253",2,"24,126.50",4.1,196
Van Zandt,"55,469",9,"6,163.20",16.2,102
Victoria,"97,744",14,"6,981.70",14.3,116
Walker,"73,997",12,"6,166.40",16.2,103
Waller,"50,731",4,"12,682.80",7.9,177
Ward,"13,592",1,"13,592.00",7.4,181
Washington,"35,155",6,"5,859.20",17.1,98
Webb,"276,183",35,"7,890.90",12.7,131
Wharton,"41,941",6,"6,990.20",14.3,117
Wheeler,"5,783",1,"5,783.00",17.3,96
Wichita,"133,138",117,"1,137.90",87.9,5
Wilbarger,"13,038",17,766.9,130.4,2
Willacy,"22,134",5,"4,426.80",22.6,71
Williamson,"589,914",56,"10,534.20",9.5,161
Wilson,"51,802",6,"8,633.70",11.6,141
Winkler,"9,295",0,-,0,-
Wise,"65,807",8,"8,225.90",12.2,134
Wood,"45,292",11,"4,117.50",24.3,60
Yoakum,"9,225",0,-,0,-
Young,"18,712",9,"2,079.10",48.1,19
Zapata,"14,409",0,-,0,-
Zavala,"12,682",3,"4,227.30",23.7,64
Texas Total,"29,677,668","4,339","6,839.70",14.6,-
