County,2020 Total Population,2020 LPC Total,Ratio of 2020 Population to LPC,"Ratio of LPCs to 100,000 Population",Rank
Loving,92,0,-,0,-
Lubbock,"317,210",379,837,119.5,11
Lynn,"5,588",5,"1,117.60",89.5,32
Madison,"14,527",2,"7,263.50",13.8,201
Marion,"10,294",4,"2,573.50",38.9,137
Martin,"6,044",0,-,0,-
Mason,"3,899",2,"1,949.50",51.3,99
Matagorda,"37,064",11,"3,369.50",29.7,163
Maverick,"59,938",12,"4,994.80",20,188
McCulloch,"8,660",7,"1,237.10",80.8,39
McLennan,"253,066",220,"1,150.30",86.9,33
McMullen,783,1,783,127.7,9
Medina,"50,594",24,"2,108.10",47.4,114
Menard,"2,188",1,"2,188.00",45.7,118
Midland,"187,364",129,"1,452.40",68.8,50
Milam,"24,635",8,"3,079.40",32.5,154
Mills,"4,870",7,695.7,143.7,2
Mitchell,"9,865",1,"9,865.00",10.1,209
Montague,"19,199",6,"3,199.80",31.3,156
Montgomery,"613,951",429,"1,431.10",69.9,49
Moore,"21,575",3,"7,191.70",13.9,200
Morris,"12,448",5,"2,489.60",40.2,130
Motley,"1,172",0,-,0,-
Nacogdoches,"64,106",76,843.5,118.6,12
Navarro,"47,985",30,"1,599.50",62.5,66
Newton,"13,724",1,"13,724.00",7.3,211
Nolan,"15,642",8,"1,955.30",51.1,100
Nueces,"383,718",363,"1,057.10",94.6,25
Ochiltree,"11,309",3,"3,769.70",26.5,171
Oldham,"2,200",6,366.7,272.7,1
Orange,"86,155",22,"3,916.10",25.5,172
Palo Pinto,"27,859",4,"6,964.80",14.4,199
Panola,"24,576",5,"4,915.20",20.3,186
Parker,"135,621",91,"1,490.30",67.1,54
Parmer,"9,200",0,-,0,-
Pecos,"16,533",1,"16,533.00",6,215
Polk,"49,080",22,"2,230.90",44.8,121
Potter,"122,706",139,882.8,113.3,13
Presidio,"5,906",3,"1,968.70",50.8,103
Rains,"11,378",2,"5,689.00",17.6,192
Randall,"138,104",137,"1,008.10",99.2,23
Reagan,"4,226",0,-,0,-
Real,"3,407",0,-,0,-
Red River,"12,610",5,"2,522.00",39.7,133
Reeves,"15,707",1,"15,707.00",6.4,214
Refugio,"7,573",3,"2,524.30",39.6,134
Roberts,983,0,-,0,-
Robertson,"16,888",5,"3,377.60",29.6,164
Rockwall,"102,243",102,"1,002.40",99.8,22
Runnels,"11,009",2,"5,504.50",18.2,191
Rusk,"52,767",21,"2,512.70",39.8,131
Sabine,"9,936",2,"4,968.00",20.1,187
San Augustine,"8,405",1,"8,405.00",11.9,205
San Jacinto,"28,844",2,"14,422.00",6.9,213
San Patricio,"71,325",22,"3,242.00",30.8,159
San Saba,"5,873",3,"1,957.70",51.1,102
Schleicher,"3,312",1,"3,312.00",30.2,161
Scurry,"18,368",3,"6,122.70",16.3,196
Shackelford,"3,405",2,"1,702.50",58.7,76
Shelby,"25,545",18,"1,419.20",70.5,48
Sherman,"3,276",0,-,0,-
Smith,"235,143",212,"1,109.20",90.2,31
Somervell,"9,294",5,"1,858.80",53.8,87
Starr,"64,731",19,"3,406.90",29.4,166
Stephens,"9,570",5,"1,914.00",52.2,92
Sterling,"1,252",0,-,0,-
Stonewall,"1,523",0,-,0,-
Sutton,"4,381",0,-,0,-
Swisher,"7,414",1,"7,414.00",13.5,203
