,Hispanic,Non-Hispanic Black,Non-Hispanic Other,Non-Hispanic White
Anderson,0,0,0,---
Andrews,---,0,0,---
Angelina,---,---,---,---
Archer,0,0,0,---
Atascosa,---,0,0,0
Bailey,---,0,0,0
Bandera,0,0,0,---
Bastrop,---,0,0,---
Bee,---,0,0,0
Bell,12,16,---,10
Bexar,112,22,---,39
Blanco,0,0,0,---
Bosque,0,0,0,---
Bowie,0,---,0,---
Brazoria,---,---,---,10
Brazos,---,---,---,---
Brooks,---,0,0,0
Brown,---,0,0,---
Burleson,0,0,0,---
Burnet,0,0,0,---
Caldwell,---,0,0,---
Calhoun,0,0,---,0
Callahan,---,0,0,---
Cameron,36,0,0,---
Camp,0,0,0,---
Chambers,0,0,0,---
Cherokee,---,---,0,---
Childress,0,---,0,---
Cochran,0,0,0,---
Collin,---,10,10,22
Colorado,0,---,0,0
Comal,---,0,---,---
Comanche,---,0,0,---
Cooke,---,0,0,---
Coryell,---,---,0,---
Crosby,---,0,0,0
Dallam,---,0,0,0
Dallas,103,90,12,34
Dawson,---,0,0,0
Deaf Smith,---,0,0,---
Denton,14,---,---,25
Dimmit,---,0,0,0
Eastland,0,0,0,---
Ector,22,0,0,---
El Paso,40,---,0,---
Ellis,---,---,0,---
Erath,---,0,0,---
Falls,---,---,---,0
Fannin,---,0,---,---
Fayette,0,0,0,---
Fort Bend,---,14,10,16
Frio,---,0,0,0
Galveston,---,---,---,---
Gillespie,---,0,0,0
Goliad,0,0,0,---
Gonzales,---,0,0,---
Gray,---,0,0,---
Grayson,---,0,---,---
Gregg,---,---,0,---
Grimes,---,---,0,0
Guadalupe,---,---,---,---
Hale,---,0,0,0
Hall,---,0,0,0
Hardin,0,---,0,---
Harris,175,165,18,78
Harrison,---,---,0,---
Hays,---,---,0,---
Henderson,---,---,0,---
Hidalgo,67,0,0,---
Hill,---,---,0,---
Hood,---,0,0,---
Hopkins,0,0,0,---
Howard,---,0,0,0
Hudspeth,---,0,0,0
Hunt,---,0,0,---
Hutchinson,---,0,0,---
Jackson,---,0,0,0
Jasper,0,0,0,---
Jefferson,---,23,---,---
Jim Wells,---,0,0,0
Johnson,---,0,0,12
Jones,0,0,0,---
Karnes,---,0,0,0
Kaufman,---,---,0,---
Kendall,0,0,0,---
Kerr,0,0,0,---
Kimble,0,0,0,---
Kleberg,---,---,0,0
Lamar,0,---,0,---
Lamb,0,0,0,---
Lavaca,0,0,0,---
Lee,---,---,0,---
Liberty,---,---,0,---
Limestone,0,0,0,---
Lipscomb,---,0,0,0
Llano,---,0,0,0
Lubbock,---,---,---,11
Lynn,---,0,0,0
Madison,---,0,0,---
Marion,0,0,0,---
Martin,0,---,0,0
Matagorda,---,---,---,0
Maverick,---,0,0,0
Mcculloch,0,0,0,---
Mclennan,---,---,---,---
Medina,---,0,0,0
Midland,12,---,0,---
Milam,0,---,0,0
Montague,0,0,0,---
Montgomery,19,---,0,23
Moore,---,0,---,0
Morris,0,0,0,---
Nacogdoches,0,0,0,---
Navarro,---,---,0,---
Nolan,---,0,0,---
Nueces,16,---,0,---
Ochiltree,0,0,0,---
Orange,0,0,0,10
Palo Pinto,0,0,0,---
Panola,---,---,0,---
Parker,---,0,0,---
Parmer,---,0,0,0
Pecos,---,0,0,0
Polk,0,0,0,---
Potter,---,---,---,---
Randall,---,---,---,---
Reagan,---,0,0,0
Red River,0,0,0,---
Reeves,---,0,0,---
Refugio,---,0,0,0
Robertson,---,---,0,0
Rockwall,---,0,0,0
Runnels,---,0,0,0
Rusk,---,---,0,---
Sabine,0,0,0,---
San Augustine,0,0,0,---
San Jacinto,---,0,0,---
San Patricio,---,0,0,0
Scurry,---,0,0,0
Shelby,0,0,0,---
Smith,---,---,---,---
Somervell,---,0,0,0
Starr,---,0,0,0
Stephens,0,0,0,---
Swisher,---,0,0,0
Tarrant,61,48,11,58
Taylor,---,---,---,---
Terry,---,0,0,---
Titus,---,0,0,0
Tom Green,---,0,0,---
Travis,30,13,---,15
Trinity,0,---,0,0
Tyler,0,0,0,---
Upshur,---,---,0,---
Uvalde,---,0,---,0
Val Verde,---,---,0,0
Van Zandt,0,0,0,---
Victoria,---,0,0,0
Walker,0,---,0,---
Waller,---,0,---,---
Ward,---,0,0,0
Washington,0,---,0,---
Webb,20,0,0,0
Wharton,---,---,0,---
Wheeler,0,---,0,---
Wichita,0,---,0,---
Wilbarger,0,0,0,---
Williamson,---,---,---,20
Wilson,0,0,0,---
Wise,---,0,0,---
Wood,0,---,0,---
Yoakum,---,0,0,---
Young,0,0,0,---
Zapata,---,0,0,0
Zavala,---,0,0,0
