County,2020 Total Population,2020 LMSW Total,Ratio of 2020 Population to LMSW,"Ratio of LMSWs to 100,000 Population",Rank
Collin,"1,039,369",364,"2,855.40",35,41
Collingsworth,"3,210",0,-,0,181
Colorado,"21,273",1,"21,273.00",4.7,173
Comal,"147,330",56,"2,630.90",38,31
Comanche,"13,075",1,"13,075.00",7.6,158
Concho,"4,147",0,-,0,181
Cooke,"39,727",2,"19,863.50",5,168
Coryell,"78,317",31,"2,526.40",39.6,27
Cottle,"1,510",0,-,0,181
Crane,"6,209",0,-,0,181
Crockett,"4,040",0,-,0,181
Crosby,"6,464",1,"6,464.00",15.5,116
Culberson,"2,245",0,-,0,181
Dallam,"7,237",0,-,0,181
Dallas,"2,734,111","1,224","2,233.80",44.8,21
Dawson,"13,592",2,"6,796.00",14.7,120
De Witt,"21,737",6,"3,622.80",27.6,61
Deaf Smith,"18,143",5,"3,628.60",27.6,62
Delta,"5,367",1,"5,367.00",18.6,102
Denton,"897,953",322,"2,788.70",35.9,38
Dickens,"2,174",0,-,0,181
Dimmit,"11,743",0,-,0,181
Donley,"3,410",0,-,0,181
Duval,"11,796",1,"11,796.00",8.5,155
Eastland,"18,205",4,"4,551.30",22,88
Ector,"184,841",8,"23,105.10",4.3,178
Edwards,"1,991",0,-,0,181
El Paso,"876,120",368,"2,380.80",42,24
Ellis,"177,721",60,"2,962.00",33.8,46
Erath,"41,526",17,"2,442.70",40.9,25
Falls,"16,603",2,"8,301.50",12,137
Fannin,"34,597",13,"2,661.30",37.6,33
Fayette,"26,086",4,"6,521.50",15.3,117
Fisher,"3,985",1,"3,985.00",25.1,76
Floyd,"5,786",1,"5,786.00",17.3,104
Foard,"1,240",1,"1,240.00",80.6,2
Fort Bend,"840,383",256,"3,282.70",30.5,54
Franklin,"10,924",4,"2,731.00",36.6,35
Freestone,"19,860",1,"19,860.00",5,167
Frio,"20,023",1,"20,023.00",5,169
Gaines,"22,121",1,"22,121.00",4.5,175
Galveston,"355,196",92,"3,860.80",25.9,72
Garza,"6,784",1,"6,784.00",14.7,119
Gillespie,"26,191",7,"3,741.60",26.7,66
Glasscock,"1,365",0,-,0,181
Goliad,"7,717",2,"3,858.50",25.9,71
Gonzales,"21,347",4,"5,336.80",18.7,101
Gray,"24,252",4,"6,063.00",16.5,108
Grayson,"131,710",46,"2,863.30",34.9,43
Gregg,"125,730",44,"2,857.50",35,42
Grimes,"28,930",0,-,0,181
Guadalupe,"170,266",80,"2,128.30",47,16
Hale,"33,202",4,"8,300.50",12,136
Hall,"3,305",0,-,0,181
Hamilton,"8,220",1,"8,220.00",12.2,135
Hansford,"5,820",0,-,0,181
Hardeman,"3,870",0,-,0,181
Hardin,"56,486",7,"8,069.40",12.4,132
Harris,"4,978,845","1,771","2,811.30",35.6,40
Harrison,"68,247",11,"6,204.30",16.1,112
Hartley,"6,067",1,"6,067.00",16.5,109
Haskell,"6,197",1,"6,197.00",16.1,111
Hays,"234,896",121,"1,941.30",51.5,11
Hemphill,"4,644",0,-,0,181
Henderson,"81,179",5,"16,235.80",6.2,164
Hidalgo,"870,366",249,"3,495.40",28.6,59
Hill,"35,673",8,"4,459.10",22.4,85
Hockley,"24,636",3,"8,212.00",12.2,134
Hood,"58,643",15,"3,909.50",25.6,74
Hopkins,"37,040",17,"2,178.80",45.9,19
Houston,"22,620",5,"4,524.00",22.1,87
Howard,"41,236",11,"3,748.70",26.7,67
Hudspeth,"3,400",0,-,0,181
Hunt,"95,324",36,"2,647.90",37.8,32
Hutchinson,"21,461",2,"10,730.50",9.3,152
Irion,"1,508",0,-,0,181
Jack,"8,841",0,-,0,181
Jackson,"15,899",2,"7,949.50",12.6,130
Jasper,"35,525",8,"4,440.60",22.5,82
Jeff Davis,"2,113",1,"2,113.00",47.3,15
Jefferson,"258,678",70,"3,695.40",27.1,65
Jim Hogg,"5,077",2,"2,538.50",39.4,28
Jim Wells,"42,890",6,"7,148.30",14,125
Johnson,"171,701",49,"3,504.10",28.5,60
Jones,"19,735",2,"9,867.50",10.1,148
Karnes,"15,393",4,"3,848.30",26,70
Kaufman,"125,134",47,"2,662.40",37.6,34
Kendall,"46,278",9,"5,142.00",19.4,96
Kenedy,476,0,-,0,181
Kent,795,0,-,0,181
Kerr,"52,267",26,"2,010.30",49.7,13
Kimble,"4,344",2,"2,172.00",46,17
King,309,0,-,0,181
Kinney,"3,462",0,-,0,181
Kleberg,"30,987",7,"4,426.70",22.6,81
Knox,"3,937",0,-,0,181
La Salle,"8,309",0,-,0,181
Lamar,"50,014",18,"2,778.60",36,37
Lamb,"12,776",2,"6,388.00",15.7,115
Lampasas,"21,037",7,"3,005.30",33.3,47
Lavaca,"20,735",1,"20,735.00",4.8,170
Lee,"17,595",3,"5,865.00",17.1,105
Leon,"17,707",1,"17,707.00",5.6,166
Liberty,"85,284",4,"21,321.00",4.7,174
Limestone,"23,544",3,"7,848.00",12.7,129
Lipscomb,"3,651",0,-,0,181
Live Oak,"12,030",0,-,0,181
Llano,"19,452",2,"9,726.00",10.3,147
Loving,92,0,-,0,181
Lubbock,"317,210",123,"2,578.90",38.8,29
Lynn,"5,588",0,-,0,181
Madison,"14,527",1,"14,527.00",6.9,161
Marion,"10,294",0,-,0,181
Martin,"6,044",1,"6,044.00",16.5,107
Mason,"3,899",1,"3,899.00",25.6,73
Matagorda,"37,064",3,"12,354.70",8.1,156
Maverick,"59,938",7,"8,562.60",11.7,140
McCulloch,"8,660",2,"4,330.00",23.1,79
