,Hispanic,Non-Hispanic Black,Non-Hispanic Other,Non-Hispanic White
Andrews,0,0,0,---
Angelina,---,0,0,---
Aransas,0,0,0,---
Archer,---,0,0,---
Armstrong,0,0,0,---
Atascosa,---,0,0,---
Bailey,0,0,0,---
Bandera,0,0,0,---
Bastrop,---,0,0,0
Bee,---,0,0,---
Bell,---,15,---,18
Bexar,117,22,---,35
Bosque,---,0,0,---
Bowie,---,11,0,---
Brazoria,---,---,0,10
Brazos,---,---,0,---
Brown,0,---,0,---
Burleson,0,---,0,---
Caldwell,0,0,0,---
Calhoun,0,0,---,---
Cameron,36,0,0,0
Camp,0,---,0,0
Carson,0,0,0,---
Cass,0,---,0,---
Chambers,---,0,0,---
Cherokee,---,0,0,---
Childress,0,0,0,---
Collin,---,---,---,24
Colorado,0,---,0,---
Comal,---,---,0,10
Comanche,---,0,0,0
Cooke,0,0,0,---
Coryell,0,---,---,---
Crane,0,0,0,---
Dallam,0,0,0,---
Dallas,118,118,10,27
Deaf Smith,---,0,0,0
Delta,0,0,0,---
Denton,---,---,0,21
Dewitt,---,---,0,0
Dimmit,---,0,0,0
Donley,---,0,0,0
Duval,---,0,0,0
Eastland,0,---,0,---
Ector,11,0,0,---
Edwards,---,0,0,0
El Paso,47,---,---,---
Ellis,---,---,0,---
Erath,---,0,0,---
Falls,0,---,0,0
Fayette,0,---,0,0
Fort Bend,12,14,---,15
Frio,---,0,0,0
Gaines,0,0,0,---
Galveston,---,---,0,13
Garza,---,0,0,0
Gonzales,---,0,0,---
Grayson,0,---,0,---
Gregg,---,---,0,---
Grimes,0,0,0,---
Guadalupe,---,---,0,---
Hale,---,---,0,---
Hamilton,0,0,0,---
Hardin,0,0,0,---
Harris,173,139,29,82
Harrison,0,---,0,---
Hays,---,0,0,---
Hemphill,0,0,0,---
Henderson,---,---,---,---
Hidalgo,72,0,---,---
Hill,0,0,---,---
Hockley,---,0,0,0
Hood,---,0,---,---
Hopkins,0,---,0,0
Howard,---,0,0,0
Hunt,---,---,0,---
Jasper,0,---,0,0
Jefferson,---,13,0,---
Jim Wells,---,0,0,0
Johnson,---,---,0,---
Jones,---,0,0,---
Kaufman,---,---,---,---
Kendall,---,0,0,---
Kerr,---,0,0,---
Kleberg,---,0,0,---
Lamar,0,---,0,---
Lampasas,0,0,0,---
Lavaca,---,0,0,0
Lee,---,0,0,---
Leon,0,0,0,---
Liberty,---,0,0,---
Limestone,0,0,0,---
Lubbock,---,---,0,---
Madison,0,0,0,---
Martin,---,0,0,0
Matagorda,---,0,0,0
Maverick,---,0,0,0
Mcculloch,---,0,0,0
Mclennan,---,---,---,13
Medina,---,0,0,0
Midland,11,---,0,---
Milam,---,---,0,---
Mitchell,0,0,0,---
Montague,---,0,0,---
Montgomery,---,---,---,19
Moore,---,0,---,0
Morris,0,0,0,---
Nacogdoches,---,0,0,---
Navarro,---,---,---,---
Newton,0,0,0,---
Nueces,23,---,---,---
Orange,0,---,0,---
Palo Pinto,---,0,0,0
Panola,0,---,0,---
Parker,0,0,---,---
Parmer,---,0,0,0
Pecos,---,0,0,0
Polk,0,0,0,---
Potter,---,---,0,---
Rains,0,0,0,---
Randall,---,0,0,---
Reagan,---,0,0,0
Red River,---,0,0,---
Reeves,---,0,0,0
Robertson,0,0,0,---
Rockwall,0,0,0,---
Runnels,0,0,0,---
Rusk,0,---,0,---
Sabine,0,0,0,---
San Jacinto,0,0,0,---
San Patricio,---,0,0,---
Scurry,---,0,0,0
Shelby,0,---,0,---
Smith,---,---,0,15
Somervell,0,0,0,---
Starr,---,0,0,0
Stephens,---,0,0,---
Swisher,---,0,0,0
Tarrant,67,47,13,48
Taylor,---,---,---,---
Titus,---,---,0,0
Tom Green,---,0,0,---
Travis,21,16,---,24
Tyler,0,0,0,---
Upshur,---,0,0,---
Upton,---,0,0,0
Uvalde,---,0,0,0
Val Verde,---,0,0,0
Van Zandt,---,0,0,---
Victoria,---,0,0,---
Walker,---,0,0,---
Waller,---,---,0,---
Ward,0,0,0,---
Webb,25,0,0,0
Wharton,---,---,0,0
Wheeler,---,0,0,0
Wichita,---,---,0,---
Wilbarger,---,0,0,0
Willacy,---,0,0,0
Williamson,---,---,---,17
Wilson,---,0,0,---
Wise,---,0,0,---
Wood,---,0,0,---
Young,0,0,0,---
