County,"Dentist, Total Active Dentist (County Level File)","Population, All (County Level File)","Rate (per 100,000 population)",Source
"Delta County, TX",1,5349,18.70,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Denton County, TX",570,919324,62.00,ADA Masterfile 2019; Census County Pop. Estimates 2020
"DeWitt County, TX",4,20174,19.83,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Dickens County, TX",0,2140,0.00,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Dimmit County, TX",2,9925,20.15,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Donley County, TX",0,3308,0.00,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Duval County, TX",0,11058,0.00,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Eastland County, TX",2,18388,10.88,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Ector County, TX",45,167701,26.83,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Edwards County, TX",0,1923,0.00,ADA Masterfile 2019; Census County Pop. Estimates 2020
"El Paso County, TX",288,841286,34.23,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Ellis County, TX",56,191760,29.20,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Erath County, TX",17,43224,39.33,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Falls County, TX",2,17275,11.58,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Fannin County, TX",5,35913,13.92,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Fayette County, TX",8,25547,31.31,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Fisher County, TX",0,3784,0.00,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Floyd County, TX",3,5672,52.89,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Foard County, TX",0,1135,0.00,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Fort Bend County, TX",662,839706,78.84,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Franklin County, TX",2,10821,18.48,ADA Masterfile 2019; Census County Pop. Estimates 2020
