County,"Dentist, Total Active Dentist (County Level File)","Population, All (County Level File)","Rate (per 100,000 population)",Source
"Harris County, TX",3093,4728030,65.42,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Harrison County, TX",16,69150,23.14,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Hartley County, TX",0,5397,0.00,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Haskell County, TX",1,5411,18.48,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Hays County, TX",99,255397,38.76,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Hemphill County, TX",2,3271,61.14,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Henderson County, TX",22,83667,26.29,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Hidalgo County, TX",263,880356,29.87,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Hill County, TX",5,36471,13.71,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Hockley County, TX",4,21363,18.72,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Hood County, TX",32,64222,49.83,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Hopkins County, TX",9,37211,24.19,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Houston County, TX",4,22241,17.98,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Howard County, TX",14,34128,41.02,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Hudspeth County, TX",0,3287,0.00,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Hunt County, TX",30,103394,29.02,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Hutchinson County, TX",8,20495,39.03,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Irion County, TX",0,1552,0.00,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Jack County, TX",1,8712,11.48,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Jackson County, TX",4,15121,26.45,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Jasper County, TX",14,32975,42.46,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Jeff Davis County, TX",0,1949,0.00,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Jefferson County, TX",128,253704,50.45,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Jim Hogg County, TX",0,4801,0.00,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Jim Wells County, TX",13,38847,33.46,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Johnson County, TX",74,187280,39.51,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Jones County, TX",1,19873,5.03,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Karnes County, TX",6,14754,40.67,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Kaufman County, TX",52,157768,32.96,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Kendall County, TX",48,46788,102.59,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Kenedy County, TX",0,340,0.00,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Kent County, TX",0,749,0.00,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Kerr County, TX",33,53161,62.08,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Kimble County, TX",2,4365,45.82,ADA Masterfile 2020; Census County Pop. Estimates 2021
"King County, TX",0,258,0.00,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Kinney County, TX",0,3130,0.00,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Kleberg County, TX",10,30635,32.64,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Knox County, TX",0,3351,0.00,ADA Masterfile 2020; Census County Pop. Estimates 2021
"La Salle County, TX",0,6670,0.00,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Lamar County, TX",20,50098,39.92,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Lamb County, TX",4,12898,31.01,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Lampasas County, TX",4,22252,17.98,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Lavaca County, TX",7,20544,34.07,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Lee County, TX",4,17706,22.59,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Leon County, TX",3,15959,18.80,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Liberty County, TX",27,97621,27.66,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Limestone County, TX",3,22119,13.56,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Lipscomb County, TX",1,2931,34.12,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Live Oak County, TX",1,11377,8.79,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Llano County, TX",9,21978,40.95,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Loving County, TX",0,57,0.00,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Lubbock County, TX",161,314451,51.20,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Lynn County, TX",0,5688,0.00,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Madison County, TX",1,13718,7.29,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Marion County, TX",1,9645,10.37,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Martin County, TX",1,5211,19.19,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Mason County, TX",1,3943,25.36,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Matagorda County, TX",10,36344,27.51,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Maverick County, TX",7,58056,12.06,ADA Masterfile 2020; Census County Pop. Estimates 2021
"McCulloch County, TX",2,7533,26.55,ADA Masterfile 2020; Census County Pop. Estimates 2021
"McLennan County, TX",118,263115,44.85,ADA Masterfile 2020; Census County Pop. Estimates 2021
"McMullen County, TX",0,608,0.00,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Medina County, TX",11,51981,21.16,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Menard County, TX",0,1982,0.00,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Midland County, TX",76,167969,45.25,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Milam County, TX",5,25106,19.92,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Mills County, TX",3,4480,66.96,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Mitchell County, TX",0,9070,0.00,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Montague County, TX",4,20409,19.60,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Montgomery County, TX",285,648886,43.92,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Moore County, TX",5,21118,23.68,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Morris County, TX",3,12030,24.94,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Motley County, TX",0,1067,0.00,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Nacogdoches County, TX",28,64668,43.30,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Navarro County, TX",17,53591,31.72,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Newton County, TX",0,12241,0.00,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Nolan County, TX",5,14597,34.25,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Nueces County, TX",159,353079,45.03,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Ochiltree County, TX",1,9782,10.22,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Oldham County, TX",0,1717,0.00,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Orange County, TX",24,84742,28.32,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Palo Pinto County, TX",8,28686,27.89,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Panola County, TX",3,22675,13.23,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Parker County, TX",55,156764,35.08,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Parmer County, TX",1,9813,10.19,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Pecos County, TX",1,15118,6.61,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Polk County, TX",17,51899,32.76,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Potter County, TX",53,116547,45.48,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Presidio County, TX",2,6140,32.57,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Rains County, TX",2,12509,15.99,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Randall County, TX",83,143854,57.70,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Reagan County, TX",1,3253,30.74,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Real County, TX",0,2826,0.00,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Red River County, TX",2,11555,17.31,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Reeves County, TX",0,14487,0.00,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Refugio County, TX",2,6756,29.60,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Roberts County, TX",0,797,0.00,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Robertson County, TX",1,16958,5.90,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Rockwall County, TX",88,116381,75.61,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Runnels County, TX",0,9943,0.00,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Rusk County, TX",13,52743,24.65,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Sabine County, TX",2,10039,19.92,ADA Masterfile 2020; Census County Pop. Estimates 2021
"San Augustine County, TX",3,7922,37.87,ADA Masterfile 2020; Census County Pop. Estimates 2021
"San Jacinto County, TX",1,27878,3.59,ADA Masterfile 2020; Census County Pop. Estimates 2021
"San Patricio County, TX",16,69699,22.96,ADA Masterfile 2020; Census County Pop. Estimates 2021
"San Saba County, TX",3,5827,51.48,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Schleicher County, TX",0,2429,0.00,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Scurry County, TX",7,16824,41.61,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Shackelford County, TX",0,3212,0.00,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Shelby County, TX",7,23939,29.24,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Sherman County, TX",0,2798,0.00,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Smith County, TX",137,237186,57.76,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Somervell County, TX",3,9469,31.68,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Starr County, TX",8,66049,12.11,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Stephens County, TX",4,9173,43.61,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Sterling County, TX",0,1381,0.00,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Stonewall County, TX",0,1217,0.00,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Sutton County, TX",1,3319,30.13,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Swisher County, TX",1,7008,14.27,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Tarrant County, TX",1178,2126477,55.40,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Taylor County, TX",93,143326,64.89,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Terrell County, TX",0,724,0.00,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Terry County, TX",3,11754,25.52,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Throckmorton County, TX",0,1495,0.00,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Titus County, TX",16,31183,51.31,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Tom Green County, TX",58,119411,48.57,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Travis County, TX",911,1305154,69.80,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Trinity County, TX",1,13827,7.23,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Tyler County, TX",1,20077,4.98,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Upshur County, TX",4,41774,9.58,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Upton County, TX",0,3265,0.00,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Uvalde County, TX",9,24729,36.39,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Val Verde County, TX",11,47564,23.13,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Van Zandt County, TX",12,61275,19.58,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Victoria County, TX",48,90964,52.77,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Walker County, TX",23,77977,29.50,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Waller County, TX",8,59781,13.38,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Ward County, TX",1,11194,8.93,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Washington County, TX",14,35891,39.01,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Webb County, TX",72,267945,26.87,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Wharton County, TX",18,41721,43.14,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Wheeler County, TX",1,4927,20.30,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Wichita County, TX",73,130069,56.12,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Wilbarger County, TX",3,12731,23.56,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Willacy County, TX",3,20316,14.77,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Williamson County, TX",373,643026,58.01,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Wilson County, TX",12,51257,23.41,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Winkler County, TX",0,7415,0.00,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Wise County, TX",15,71714,20.92,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Wood County, TX",14,45875,30.52,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Yoakum County, TX",1,7607,13.15,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Young County, TX",9,17977,50.06,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Zapata County, TX",3,13908,21.57,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Zavala County, TX",3,9534,31.47,ADA Masterfile 2020; Census County Pop. Estimates 2021
,,,,
,,,,
Note: Blank cells indicate that data are not available.,,,,
