County,"Dentist, Total Active Dentist (County Level File)","Population, All (County Level File)","Rate (per 100,000 population)",Source
"Anderson County, TX",23,58402,39.38,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Andrews County, TX",3,18440,16.27,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Angelina County, TX",29,86506,33.52,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Aransas County, TX",5,24510,20.40,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Archer County, TX",0,8681,0.00,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Armstrong County, TX",1,1839,54.38,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Atascosa County, TX",15,49939,30.04,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Austin County, TX",11,30380,36.21,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Bailey County, TX",2,6835,29.26,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Bandera County, TX",9,21565,41.73,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Bastrop County, TX",28,102058,27.44,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Baylor County, TX",1,3477,28.76,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Bee County, TX",3,30924,9.70,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Bell County, TX",196,379617,51.63,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Bexar County, TX",1502,2028236,74.05,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Blanco County, TX",6,11886,50.48,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Borden County, TX",0,617,0.00,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Bosque County, TX",7,18503,37.83,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Bowie County, TX",56,92581,60.49,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Brazoria County, TX",197,379689,51.88,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Brazos County, TX",103,237032,43.45,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Brewster County, TX",2,9450,21.16,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Briscoe County, TX",0,1403,0.00,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Brooks County, TX",1,6994,14.30,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Brown County, TX",9,38192,23.57,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Burleson County, TX",1,18051,5.54,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Burnet County, TX",30,50954,58.88,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Caldwell County, TX",15,46791,32.06,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Calhoun County, TX",5,19727,25.35,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Callahan County, TX",2,14115,14.17,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Cameron County, TX",106,423029,25.06,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Camp County, TX",2,12616,15.85,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Carson County, TX",0,5746,0.00,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Cass County, TX",8,28560,28.01,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Castro County, TX",0,7374,0.00,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Chambers County, TX",5,48865,10.23,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Cherokee County, TX",16,51097,31.31,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Childress County, TX",2,6736,29.69,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Clay County, TX",0,10263,0.00,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Cochran County, TX",0,2516,0.00,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Coke County, TX",0,3321,0.00,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Coleman County, TX",2,7735,25.86,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Collin County, TX",814,1109462,73.37,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Collingsworth County, TX",0,2615,0.00,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Colorado County, TX",4,20630,19.39,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Comal County, TX",109,174986,62.29,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Comanche County, TX",5,13775,36.30,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Concho County, TX",2,3341,59.86,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Cooke County, TX",16,42244,37.88,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Coryell County, TX",13,84232,15.43,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Cottle County, TX",0,1381,0.00,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Crane County, TX",1,4680,21.37,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Crockett County, TX",0,3068,0.00,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Crosby County, TX",0,5106,0.00,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Culberson County, TX",0,2193,0.00,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Dallam County, TX",2,7172,27.89,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Dallas County, TX",1912,2586050,73.94,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Dawson County, TX",3,12413,24.17,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Deaf Smith County, TX",4,18329,21.82,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Delta County, TX",1,5392,18.55,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Denton County, TX",586,941647,62.23,ADA Masterfile 2020; Census County Pop. Estimates 2021
"DeWitt County, TX",4,19918,20.08,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Dickens County, TX",0,1740,0.00,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Dimmit County, TX",3,8473,35.41,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Donley County, TX",0,3268,0.00,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Duval County, TX",0,9756,0.00,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Eastland County, TX",3,17864,16.79,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Ector County, TX",59,161091,36.63,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Edwards County, TX",0,1438,0.00,ADA Masterfile 2020; Census County Pop. Estimates 2021
"El Paso County, TX",309,867947,35.60,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Ellis County, TX",68,202678,33.55,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Erath County, TX",16,43378,36.89,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Falls County, TX",1,17313,5.78,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Fannin County, TX",9,36569,24.61,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Fayette County, TX",9,24687,36.46,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Fisher County, TX",0,3706,0.00,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Floyd County, TX",2,5350,37.38,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Foard County, TX",0,1080,0.00,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Fort Bend County, TX",549,858527,63.95,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Franklin County, TX",4,10464,38.23,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Freestone County, TX",3,19774,15.17,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Frio County, TX",6,18436,32.55,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Gaines County, TX",2,21895,9.13,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Galveston County, TX",156,355062,43.94,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Garza County, TX",1,5863,17.06,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Gillespie County, TX",18,27297,65.94,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Glasscock County, TX",0,1149,0.00,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Goliad County, TX",3,7163,41.88,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Gonzales County, TX",5,19641,25.46,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Gray County, TX",6,21030,28.53,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Grayson County, TX",65,139336,46.65,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Gregg County, TX",86,124201,69.24,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Grimes County, TX",5,30287,16.51,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Guadalupe County, TX",69,177036,38.98,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Hale County, TX",5,32220,15.52,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Hall County, TX",0,2845,0.00,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Hamilton County, TX",4,8229,48.61,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Hansford County, TX",1,5159,19.38,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Hardeman County, TX",1,3552,28.15,ADA Masterfile 2020; Census County Pop. Estimates 2021
"Hardin County, TX",14,56973,24.57,ADA Masterfile 2020; Census County Pop. Estimates 2021
