County,"Dentist, Total Active Dentist (County Level File)","Population, All (County Level File)","Rate (per 100,000 population)",Source
"Anderson County, TX",20,57735,34.64,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Andrews County, TX",4,18705,21.38,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Angelina County, TX",28,86715,32.29,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Aransas County, TX",4,23510,17.01,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Archer County, TX",0,8553,0.00,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Armstrong County, TX",0,1887,0.00,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Atascosa County, TX",15,51153,29.32,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Austin County, TX",15,30032,49.95,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Bailey County, TX",2,7000,28.57,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Bandera County, TX",7,23112,30.29,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Bastrop County, TX",26,88723,29.30,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Baylor County, TX",1,3509,28.50,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Bee County, TX",6,32565,18.42,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Bell County, TX",202,362924,55.66,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Bexar County, TX",1506,2003554,75.17,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Blanco County, TX",5,11931,41.91,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Borden County, TX",0,654,0.00,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Bosque County, TX",6,18685,32.11,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Bowie County, TX",50,93245,53.62,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Brazoria County, TX",190,374264,50.77,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Brazos County, TX",101,229211,44.06,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Brewster County, TX",3,9203,32.60,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Briscoe County, TX",0,1546,0.00,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Brooks County, TX",1,7093,14.10,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Brown County, TX",10,37864,26.41,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Burleson County, TX",1,18443,5.42,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Burnet County, TX",31,48155,64.38,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Caldwell County, TX",14,43664,32.06,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Calhoun County, TX",8,21290,37.58,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Callahan County, TX",2,13943,14.34,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Cameron County, TX",112,423163,26.47,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Camp County, TX",3,13094,22.91,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Carson County, TX",0,5926,0.00,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Cass County, TX",9,30026,29.97,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Castro County, TX",0,7530,0.00,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Chambers County, TX",5,43837,11.41,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Cherokee County, TX",14,52646,26.59,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Childress County, TX",2,7306,27.37,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Clay County, TX",0,10471,0.00,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Cochran County, TX",0,2853,0.00,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Coke County, TX",0,3387,0.00,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Coleman County, TX",3,8175,36.70,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Collin County, TX",740,1034730,71.52,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Collingsworth County, TX",0,2920,0.00,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Colorado County, TX",4,21493,18.61,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Comal County, TX",107,156209,68.50,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Comanche County, TX",4,13635,29.34,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Concho County, TX",0,2726,0.00,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Cooke County, TX",16,41257,38.78,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Coryell County, TX",11,75951,14.48,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Cottle County, TX",0,1398,0.00,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Crane County, TX",2,4797,41.69,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Crockett County, TX",0,3464,0.00,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Crosby County, TX",1,5737,17.43,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Culberson County, TX",0,2171,0.00,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Dallam County, TX",2,7287,27.45,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Dallas County, TX",1901,2635516,72.13,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Dawson County, TX",3,12728,23.57,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Deaf Smith County, TX",5,18546,26.96,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Delta County, TX",1,5331,18.76,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Denton County, TX",532,887207,59.96,ADA Masterfile 2018; Census County Pop. Estimates 2019
"DeWitt County, TX",4,20160,19.84,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Dickens County, TX",0,2211,0.00,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Dimmit County, TX",3,10124,29.63,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Donley County, TX",1,3278,30.51,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Duval County, TX",0,11157,0.00,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Eastland County, TX",3,18360,16.34,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Ector County, TX",58,166223,34.89,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Edwards County, TX",0,1932,0.00,ADA Masterfile 2018; Census County Pop. Estimates 2019
"El Paso County, TX",294,839238,35.03,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Ellis County, TX",62,184826,33.55,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Erath County, TX",14,42698,32.79,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Falls County, TX",1,17297,5.78,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Fannin County, TX",7,35514,19.71,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Fayette County, TX",7,25346,27.62,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Fisher County, TX",0,3830,0.00,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Floyd County, TX",2,5712,35.01,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Foard County, TX",0,1155,0.00,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Fort Bend County, TX",494,811688,60.86,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Franklin County, TX",3,10725,27.97,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Freestone County, TX",3,19717,15.22,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Frio County, TX",6,20306,29.55,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Gaines County, TX",2,21492,9.31,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Galveston County, TX",130,342139,38.00,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Garza County, TX",1,6229,16.05,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Gillespie County, TX",17,26988,62.99,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Glasscock County, TX",0,1409,0.00,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Goliad County, TX",2,7658,26.12,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Gonzales County, TX",6,20837,28.79,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Gray County, TX",7,21886,31.98,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Grayson County, TX",57,136212,41.85,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Gregg County, TX",85,123945,68.58,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Grimes County, TX",5,28880,17.31,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Guadalupe County, TX",53,166847,31.77,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Hale County, TX",7,33406,20.95,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Hall County, TX",0,2964,0.00,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Hamilton County, TX",4,8461,47.28,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Hansford County, TX",1,5399,18.52,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Hardeman County, TX",1,3933,25.43,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Hardin County, TX",12,57602,20.83,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Harris County, TX",2957,4713325,62.74,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Harrison County, TX",16,66553,24.04,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Hartley County, TX",0,5576,0.00,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Haskell County, TX",1,5658,17.67,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Hays County, TX",89,230191,38.66,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Hemphill County, TX",1,3819,26.18,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Henderson County, TX",21,82737,25.38,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Hidalgo County, TX",235,868707,27.05,ADA Masterfile 2018; Census County Pop. Estimates 2019
