County,"Dentist, Total Active Dentist (County Level File)","Population, All (County Level File)","Rate (per 100,000 population)",Source
"Hill County, TX",6,36649,16.37,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Hockley County, TX",6,23021,26.06,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Hood County, TX",31,61643,50.29,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Hopkins County, TX",10,37084,26.97,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Houston County, TX",4,22968,17.42,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Howard County, TX",11,36664,30.00,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Hudspeth County, TX",0,4886,0.00,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Hunt County, TX",30,98594,30.43,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Hutchinson County, TX",8,20938,38.21,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Irion County, TX",0,1536,0.00,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Jack County, TX",1,8935,11.19,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Jackson County, TX",4,14760,27.10,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Jasper County, TX",12,35529,33.78,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Jeff Davis County, TX",0,2274,0.00,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Jefferson County, TX",127,251565,50.48,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Jim Hogg County, TX",0,5200,0.00,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Jim Wells County, TX",13,40482,32.11,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Johnson County, TX",62,175817,35.26,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Jones County, TX",1,20083,4.98,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Karnes County, TX",7,15601,44.87,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Kaufman County, TX",48,136154,35.25,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Kendall County, TX",41,47431,86.44,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Kenedy County, TX",0,404,0.00,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Kent County, TX",0,762,0.00,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Kerr County, TX",31,52600,58.94,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Kimble County, TX",1,4337,23.06,ADA Masterfile 2018; Census County Pop. Estimates 2019
"King County, TX",0,272,0.00,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Kinney County, TX",0,3667,0.00,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Kleberg County, TX",10,30680,32.59,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Knox County, TX",0,3664,0.00,ADA Masterfile 2018; Census County Pop. Estimates 2019
"La Salle County, TX",1,7520,13.30,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Lamar County, TX",21,49859,42.12,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Lamb County, TX",4,12893,31.02,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Lampasas County, TX",4,21428,18.67,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Lavaca County, TX",8,20154,39.69,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Lee County, TX",4,17239,23.20,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Leon County, TX",4,17404,22.98,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Liberty County, TX",21,88219,23.80,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Limestone County, TX",4,23437,17.07,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Lipscomb County, TX",0,3233,0.00,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Live Oak County, TX",2,12207,16.38,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Llano County, TX",9,21795,41.29,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Loving County, TX",0,169,0.00,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Lubbock County, TX",151,310569,48.62,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Lynn County, TX",1,5951,16.80,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Madison County, TX",1,14284,7.00,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Marion County, TX",1,9854,10.15,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Martin County, TX",1,5771,17.33,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Mason County, TX",1,4274,23.40,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Matagorda County, TX",9,36643,24.56,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Maverick County, TX",8,58722,13.62,ADA Masterfile 2018; Census County Pop. Estimates 2019
"McCulloch County, TX",2,7984,25.05,ADA Masterfile 2018; Census County Pop. Estimates 2019
"McLennan County, TX",116,256623,45.20,ADA Masterfile 2018; Census County Pop. Estimates 2019
"McMullen County, TX",0,743,0.00,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Medina County, TX",13,51584,25.20,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Menard County, TX",0,2138,0.00,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Midland County, TX",72,176832,40.72,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Milam County, TX",6,24823,24.17,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Mills County, TX",3,4873,61.56,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Mitchell County, TX",0,8545,0.00,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Montague County, TX",5,19818,25.23,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Montgomery County, TX",294,607391,48.40,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Moore County, TX",5,20940,23.88,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Morris County, TX",5,12388,40.36,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Motley County, TX",1,1200,83.33,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Nacogdoches County, TX",28,65204,42.94,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Navarro County, TX",17,50113,33.92,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Newton County, TX",0,13595,0.00,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Nolan County, TX",4,14714,27.19,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Nueces County, TX",157,362294,43.34,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Ochiltree County, TX",3,9836,30.50,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Oldham County, TX",0,2112,0.00,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Orange County, TX",20,83396,23.98,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Palo Pinto County, TX",7,29189,23.98,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Panola County, TX",4,23194,17.25,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Parker County, TX",43,142878,30.10,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Parmer County, TX",1,9605,10.41,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Pecos County, TX",3,15823,18.96,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Polk County, TX",16,51353,31.16,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Potter County, TX",53,117415,45.14,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Presidio County, TX",0,6704,0.00,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Rains County, TX",2,12514,15.98,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Randall County, TX",80,137713,58.09,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Reagan County, TX",1,3849,25.98,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Real County, TX",1,3452,28.97,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Red River County, TX",2,12023,16.63,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Reeves County, TX",1,15976,6.26,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Refugio County, TX",2,6948,28.79,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Roberts County, TX",0,854,0.00,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Robertson County, TX",2,17074,11.71,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Rockwall County, TX",82,104915,78.16,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Runnels County, TX",0,10264,0.00,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Rusk County, TX",14,54406,25.73,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Sabine County, TX",2,10542,18.97,ADA Masterfile 2018; Census County Pop. Estimates 2019
"San Augustine County, TX",3,8237,36.42,ADA Masterfile 2018; Census County Pop. Estimates 2019
"San Jacinto County, TX",1,28859,3.47,ADA Masterfile 2018; Census County Pop. Estimates 2019
"San Patricio County, TX",17,66730,25.48,ADA Masterfile 2018; Census County Pop. Estimates 2019
"San Saba County, TX",3,6055,49.55,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Schleicher County, TX",0,2793,0.00,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Scurry County, TX",6,16703,35.92,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Shackelford County, TX",0,3265,0.00,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Shelby County, TX",8,25274,31.65,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Sherman County, TX",0,3022,0.00,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Smith County, TX",119,232751,51.13,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Somervell County, TX",2,9128,21.91,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Starr County, TX",7,64633,10.83,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Stephens County, TX",4,9366,42.71,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Sterling County, TX",0,1291,0.00,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Stonewall County, TX",0,1350,0.00,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Sutton County, TX",1,3776,26.48,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Swisher County, TX",1,7397,13.52,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Tarrant County, TX",1123,2102515,53.41,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Taylor County, TX",84,138034,60.85,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Terrell County, TX",0,776,0.00,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Terry County, TX",2,12337,16.21,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Throckmorton County, TX",0,1501,0.00,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Titus County, TX",13,32750,39.69,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Tom Green County, TX",55,119200,46.14,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Travis County, TX",857,1273954,67.27,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Trinity County, TX",1,14651,6.83,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Tyler County, TX",1,21672,4.61,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Upshur County, TX",4,41753,9.58,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Upton County, TX",0,3657,0.00,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Uvalde County, TX",10,26741,37.40,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Val Verde County, TX",12,49025,24.48,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Van Zandt County, TX",13,56590,22.97,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Victoria County, TX",42,92084,45.61,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Walker County, TX",25,72971,34.26,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Waller County, TX",6,55246,10.86,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Ward County, TX",1,11998,8.33,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Washington County, TX",13,35882,36.23,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Webb County, TX",66,276652,23.86,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Wharton County, TX",15,41556,36.10,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Wheeler County, TX",2,5056,39.56,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Wichita County, TX",84,132230,63.53,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Wilbarger County, TX",4,12769,31.33,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Willacy County, TX",1,21358,4.68,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Williamson County, TX",351,590551,59.44,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Wilson County, TX",13,51070,25.46,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Winkler County, TX",1,8010,12.48,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Wise County, TX",14,69984,20.00,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Wood County, TX",12,45539,26.35,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Yoakum County, TX",1,8713,11.48,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Young County, TX",10,18010,55.52,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Zapata County, TX",1,14179,7.05,ADA Masterfile 2018; Census County Pop. Estimates 2019
"Zavala County, TX",2,11840,16.89,ADA Masterfile 2018; Census County Pop. Estimates 2019
,,,,
,,,,
Note: Blank cells indicate that data are not available.,,,,
